config,module,mode,n_forward,covered
DQ_first_only_W4A4,projection_first,fake_w4a4,943,True
DQ_recurrent_only_W4A4,projection_recurrent,fake_w4a4,2684,True
DQ_both_proj_W4A4,projection_first,fake_w4a4,1027,True
DQ_both_proj_W4A4,projection_recurrent,fake_w4a4,4108,True
DQ_ar_only_W4A4,ar.q_proj,fake_w4a4,2165,True
DQ_ar_only_W4A4,ar.k_proj,fake_w4a4,2165,True
DQ_ar_only_W4A4,ar.v_proj,fake_w4a4,2165,True
DQ_ar_only_W4A4,ar.o_proj,fake_w4a4,2165,True
DQ_ar_only_W4A4,ar.gate_proj,fake_w4a4,2165,True
DQ_ar_only_W4A4,ar.up_proj,fake_w4a4,2165,True
DQ_ar_only_W4A4,ar.down_proj,fake_w4a4,2165,True
Q01_targetFP16rot_draftW4A4_full,projection_first,fake_w4a4,1032,True
Q01_targetFP16rot_draftW4A4_full,projection_recurrent,fake_w4a4,4128,True
Q01_targetFP16rot_draftW4A4_full,ar.q_proj,fake_w4a4,5160,True
Q01_targetFP16rot_draftW4A4_full,ar.k_proj,fake_w4a4,5160,True
Q01_targetFP16rot_draftW4A4_full,ar.v_proj,fake_w4a4,5160,True
Q01_targetFP16rot_draftW4A4_full,ar.o_proj,fake_w4a4,5160,True
Q01_targetFP16rot_draftW4A4_full,ar.gate_proj,fake_w4a4,5160,True
Q01_targetFP16rot_draftW4A4_full,ar.up_proj,fake_w4a4,5160,True
Q01_targetFP16rot_draftW4A4_full,ar.down_proj,fake_w4a4,5160,True
DQ_first_only_W4A16,projection_first,fake_w4a16,529,True
DQ_recurrent_only_W4A16,projection_recurrent,fake_w4a16,2032,True
