config,mean_acceptance,n_prompts,exact_match_rate
DQ_ar_only_W4A4,3.229,20,0.95
DQ_both_proj_W4A4,1.2741,20,1.0
DQ_first_only_W4A16,2.6795,20,1.0
DQ_first_only_W4A4,1.4119,20,1.0
DQ_recurrent_only_W4A16,2.6862,20,0.95
DQ_recurrent_only_W4A4,1.9723,20,1.0
FP02_B2split_draftFP16,3.4116,20,0.95
Q00_targetFP16_draftFP16_stock,3.4158,20,1.0
Q01_targetFP16rot_draftW4A4_full,1.2684,20,1.0
Q10_targetW4A4_draftFP16_archA,3.0079,20,0.0
Q10s_targetW4A4_draftFP16_B2split,3.0079,20,0.0
Q11_targetW4A4_draftW4A4_B2split,1.1692,20,0.0
TQ1_targetW4A16_draftFP16_archA,3.1045,20,0.95
TQ4_targetW4A4KV4_draftFP16_archA,2.923,20,0.0
