config,depth,alpha,n_cycles_reaching
DQ_ar_only_W4A4,1,0.87409200968523,413
DQ_ar_only_W4A4,2,0.7202216066481995,361
DQ_ar_only_W4A4,3,0.6307692307692307,260
DQ_ar_only_W4A4,4,0.39634146341463417,164
DQ_ar_only_W4A4,5,0.49230769230769234,65
DQ_both_proj_W4A4,1,0.2641509433962264,1007
DQ_both_proj_W4A4,2,0.018796992481203006,266
DQ_both_proj_W4A4,3,0.0,5
DQ_both_proj_W4A4,4,,0
DQ_both_proj_W4A4,5,,0
DQ_first_only_W4A16,1,0.7229862475442044,509
DQ_first_only_W4A16,2,0.625,368
DQ_first_only_W4A16,3,0.5608695652173913,230
DQ_first_only_W4A16,4,0.3488372093023256,129
DQ_first_only_W4A16,5,0.37777777777777777,45
DQ_first_only_W4A4,1,0.24810400866738894,923
DQ_first_only_W4A4,2,0.3930131004366812,229
DQ_first_only_W4A4,3,0.28888888888888886,90
DQ_first_only_W4A4,4,0.34615384615384615,26
DQ_first_only_W4A4,5,0.5555555555555556,9
DQ_recurrent_only_W4A16,1,0.889344262295082,488
DQ_recurrent_only_W4A16,2,0.5576036866359447,434
DQ_recurrent_only_W4A16,3,0.4380165289256198,242
DQ_recurrent_only_W4A16,4,0.16037735849056603,106
DQ_recurrent_only_W4A16,5,0.35294117647058826,17
DQ_recurrent_only_W4A4,1,0.8878648233486943,651
DQ_recurrent_only_W4A4,2,0.08131487889273356,578
DQ_recurrent_only_W4A4,3,0.06382978723404255,47
DQ_recurrent_only_W4A4,4,0.0,3
DQ_recurrent_only_W4A4,5,,0
FP02_B2split_draftFP16,1,0.9081632653061225,392
FP02_B2split_draftFP16,2,0.7528089887640449,356
FP02_B2split_draftFP16,3,0.6380597014925373,268
FP02_B2split_draftFP16,4,0.42105263157894735,171
FP02_B2split_draftFP16,5,0.5833333333333334,72
Q00_targetFP16_draftFP16_stock,1,0.9051282051282051,390
Q00_targetFP16_draftFP16_stock,2,0.7563739376770539,353
Q00_targetFP16_draftFP16_stock,3,0.6441947565543071,267
Q00_targetFP16_draftFP16_stock,4,0.4186046511627907,172
Q00_targetFP16_draftFP16_stock,5,0.6111111111111112,72
Q01_targetFP16rot_draftW4A4_full,1,0.25592885375494073,1012
Q01_targetFP16rot_draftW4A4_full,2,0.02702702702702703,259
Q01_targetFP16rot_draftW4A4_full,3,0.0,7
Q01_targetFP16rot_draftW4A4_full,4,,0
Q01_targetFP16rot_draftW4A4_full,5,,0
Q10_targetW4A4_draftFP16_archA,1,0.7907488986784141,454
Q10_targetW4A4_draftFP16_archA,2,0.7353760445682451,359
Q10_targetW4A4_draftFP16_archA,3,0.5378787878787878,264
Q10_targetW4A4_draftFP16_archA,4,0.44366197183098594,142
Q10_targetW4A4_draftFP16_archA,5,0.5238095238095238,63
Q10s_targetW4A4_draftFP16_B2split,1,0.7907488986784141,454
Q10s_targetW4A4_draftFP16_B2split,2,0.7353760445682451,359
Q10s_targetW4A4_draftFP16_B2split,3,0.5378787878787878,264
Q10s_targetW4A4_draftFP16_B2split,4,0.44366197183098594,142
Q10s_targetW4A4_draftFP16_B2split,5,0.5238095238095238,63
Q11_targetW4A4_draftW4A4_B2split,1,0.16196542311191992,1099
Q11_targetW4A4_draftW4A4_B2split,2,0.02247191011235955,178
Q11_targetW4A4_draftW4A4_B2split,3,0.0,4
Q11_targetW4A4_draftW4A4_B2split,4,,0
Q11_targetW4A4_draftW4A4_B2split,5,,0
TQ1_targetW4A16_draftFP16_archA,1,0.8237986270022883,437
TQ1_targetW4A16_draftFP16_archA,2,0.7166666666666667,360
TQ1_targetW4A16_draftFP16_archA,3,0.627906976744186,258
TQ1_targetW4A16_draftFP16_archA,4,0.36419753086419754,162
TQ1_targetW4A16_draftFP16_archA,5,0.576271186440678,59
TQ4_targetW4A4KV4_draftFP16_archA,1,0.8260869565217391,460
TQ4_targetW4A4KV4_draftFP16_archA,2,0.65,380
TQ4_targetW4A4KV4_draftFP16_archA,3,0.5668016194331984,247
TQ4_targetW4A4KV4_draftFP16_archA,4,0.34285714285714286,140
TQ4_targetW4A4KV4_draftFP16_archA,5,0.6041666666666666,48
