family,treatment,baseline,target_precision,draft_precision,baseline_mean,treatment_mean,paired_delta_mean,paired_delta_median,delta_std,effect_size_dz,ci95_lo,ci95_hi,n_prompts,epsilon,decision,decision_eps_0.02,decision_eps_0.05,decision_eps_0.10,target_ppl,baseline_target_ppl
target_only,Q10_targetW4A4_draftFP16_archA,Q00_targetFP16_draftFP16_stock,fake_W4A4,FP16,3.4158,3.0079,-0.4079,-0.4079,0.3676,-1.11,-0.5724,-0.2547,20,0.05,meaningful_decrease,meaningful_decrease,meaningful_decrease,meaningful_decrease,10.627,6.945
target_only,Q10s_targetW4A4_draftFP16_B2split,Q00_targetFP16_draftFP16_stock,fake_W4A4,FP16,3.4158,3.0079,-0.4079,-0.4079,0.3676,-1.11,-0.5724,-0.2547,20,0.05,meaningful_decrease,meaningful_decrease,meaningful_decrease,meaningful_decrease,10.627,6.945
target_only,TQ1_targetW4A16_draftFP16_archA,Q00_targetFP16_draftFP16_stock,fake_W4A16,FP16,3.4158,3.1045,-0.3113,-0.3315,0.2986,-1.043,-0.4364,-0.1837,20,0.05,meaningful_decrease,meaningful_decrease,meaningful_decrease,meaningful_decrease,8.938,6.945
target_only,TQ4_targetW4A4KV4_draftFP16_archA,Q00_targetFP16_draftFP16_stock,fake_W4A4KV4,FP16,3.4158,2.923,-0.4928,-0.5674,0.4928,-1.0,-0.7136,-0.287,20,0.05,meaningful_decrease,meaningful_decrease,meaningful_decrease,meaningful_decrease,10.939,6.945
rotation_control,FP02_B2split_draftFP16,Q00_targetFP16_draftFP16_stock,FP16_rotated,FP16,3.4158,3.4116,-0.0042,0.0,0.0999,-0.042,-0.0509,0.0319,20,0.05,inconclusive,inconclusive,inconclusive,practically_equivalent,6.945,6.945
draft_only,DQ_first_only_W4A4,FP02_B2split_draftFP16,FP16_rotated,fake_W4A4(first proj only),3.4116,1.4119,-1.9997,-1.9104,0.4773,-4.19,-2.2128,-1.7972,20,0.05,meaningful_decrease,meaningful_decrease,meaningful_decrease,meaningful_decrease,6.945,6.945
draft_only,DQ_recurrent_only_W4A4,FP02_B2split_draftFP16,FP16_rotated,fake_W4A4(recurrent proj only),3.4116,1.9723,-1.4393,-1.395,0.5176,-2.781,-1.6672,-1.2195,20,0.05,meaningful_decrease,meaningful_decrease,meaningful_decrease,meaningful_decrease,6.945,6.945
draft_only,DQ_both_proj_W4A4,FP02_B2split_draftFP16,FP16_rotated,fake_W4A4(both projections),3.4116,1.2741,-2.1374,-2.1307,0.5506,-3.882,-2.3813,-1.9029,20,0.05,meaningful_decrease,meaningful_decrease,meaningful_decrease,meaningful_decrease,6.945,6.945
draft_only,DQ_ar_only_W4A4,FP02_B2split_draftFP16,FP16_rotated,fake_W4A4(AR head only),3.4116,3.229,-0.1826,-0.2253,0.2205,-0.828,-0.2728,-0.085,20,0.05,meaningful_decrease,meaningful_decrease,meaningful_decrease,inconclusive,6.945,6.945
draft_only,Q01_targetFP16rot_draftW4A4_full,FP02_B2split_draftFP16,FP16_rotated,fake_W4A4(full draft),3.4116,1.2684,-2.1431,-2.1416,0.5558,-3.856,-2.3904,-1.9063,20,0.05,meaningful_decrease,meaningful_decrease,meaningful_decrease,meaningful_decrease,6.945,6.945
draft_only,DQ_first_only_W4A16,FP02_B2split_draftFP16,FP16_rotated,fake_W4A16(first proj only),3.4116,2.6795,-0.732,-0.821,0.3018,-2.426,-0.8535,-0.5925,20,0.05,meaningful_decrease,meaningful_decrease,meaningful_decrease,meaningful_decrease,6.945,6.945
draft_only,DQ_recurrent_only_W4A16,FP02_B2split_draftFP16,FP16_rotated,fake_W4A16(recurrent proj only),3.4116,2.6862,-0.7253,-0.7317,0.373,-1.945,-0.8901,-0.568,20,0.05,meaningful_decrease,meaningful_decrease,meaningful_decrease,meaningful_decrease,6.945,6.945
both,Q11_targetW4A4_draftW4A4_B2split,Q00_targetFP16_draftFP16_stock,fake_W4A4,fake_W4A4,3.4158,1.1692,-2.2466,-2.1452,0.5638,-3.985,-2.4967,-2.0125,20,0.05,meaningful_decrease,meaningful_decrease,meaningful_decrease,meaningful_decrease,10.627,6.945
both_vs_targetonly,Q11_targetW4A4_draftW4A4_B2split,Q10_targetW4A4_draftFP16_archA,fake_W4A4,fake_W4A4,3.0079,1.1692,-1.8387,-1.7803,0.5726,-3.211,-2.0887,-1.597,20,0.05,meaningful_decrease,meaningful_decrease,meaningful_decrease,meaningful_decrease,10.627,10.627
both_vs_draftonly,Q11_targetW4A4_draftW4A4_B2split,Q01_targetFP16rot_draftW4A4_full,fake_W4A4,fake_W4A4,1.2684,1.1692,-0.0992,-0.0966,0.0825,-1.204,-0.1362,-0.0655,20,0.05,meaningful_decrease,meaningful_decrease,meaningful_decrease,inconclusive,10.627,6.945
