family,config,baseline,n_prompts,al,al_base,diff,ci_lo,ci_hi,verdict
draft_ar,draft_ar__w16a4,draft_ar__w8a8,20,3.3301,3.424,-0.0939,-0.1471,-0.0453,inconclusive
draft_ar,draft_ar__w16a8,draft_ar__w8a8,20,3.3997,3.424,-0.0243,-0.0499,-0.0024,practically_equivalent
draft_ar,draft_ar__w4a16,draft_ar__w8a8,20,3.3904,3.424,-0.0336,-0.0879,0.0156,inconclusive
draft_ar,draft_ar__w4a4,draft_ar__w8a8,20,3.2779,3.424,-0.1461,-0.2433,-0.0485,inconclusive
draft_ar,draft_ar__w8a16,draft_ar__w8a8,20,3.4224,3.424,-0.0016,-0.0309,0.0278,practically_equivalent
draft_embed,draft_embed__w16a4,draft_embed__w8a8,20,3.4222,3.437,-0.0147,-0.0597,0.023,inconclusive
draft_embed,draft_embed__w16a8,draft_embed__w8a8,20,3.4158,3.437,-0.0212,-0.0501,0.0024,inconclusive
draft_embed,draft_embed__w4a16,draft_embed__w8a8,20,3.407,3.437,-0.0299,-0.0766,0.0167,inconclusive
draft_embed,draft_embed__w4a4,draft_embed__w8a8,20,3.407,3.437,-0.0299,-0.0757,0.0165,inconclusive
draft_embed,draft_embed__w8a16,draft_embed__w8a8,20,3.422,3.437,-0.015,-0.0386,0.0,practically_equivalent
draft_first,draft_first__w16a4,draft_first__w8a16,20,1.7218,3.4041,-1.6823,-1.8682,-1.5005,different
draft_first,draft_first__w16a8,draft_first__w8a16,20,2.1658,3.4041,-1.2383,-1.3806,-1.1074,different
draft_first,draft_first__w4a16,draft_first__w8a16,20,1.2755,3.4041,-2.1286,-2.3334,-1.928,different
draft_first,draft_first__w4a4,draft_first__w8a16,20,1.0423,3.4041,-2.3618,-2.5916,-2.1377,different
draft_first,draft_first__w8a8,draft_first__w8a16,20,2.1031,3.4041,-1.301,-1.4848,-1.1332,different
draft_full,draft_full__w16a4,draft_full__w8a16,20,1.4241,3.4075,-1.9834,-2.1945,-1.7683,different
draft_full,draft_full__w16a8,draft_full__w8a16,20,2.0434,3.4075,-1.364,-1.5308,-1.21,different
draft_full,draft_full__w4a16,draft_full__w8a16,20,1.2716,3.4075,-2.1358,-2.3518,-1.9104,different
draft_full,draft_full__w4a4,draft_full__w8a16,20,1.0393,3.4075,-2.3681,-2.6192,-2.1209,different
draft_full,draft_full__w8a8,draft_full__w8a16,20,2.0037,3.4075,-1.4038,-1.5771,-1.233,different
draft_head,draft_head__w16a4,draft_head__w4a4,20,3.4271,3.4321,-0.005,-0.0439,0.0314,practically_equivalent
draft_head,draft_head__w16a8,draft_head__w4a4,20,3.4134,3.4321,-0.0187,-0.0503,0.0105,inconclusive
draft_head,draft_head__w4a16,draft_head__w4a4,20,3.3933,3.4321,-0.0388,-0.0855,-0.0005,inconclusive
draft_head,draft_head__w8a16,draft_head__w4a4,20,3.422,3.4321,-0.0101,-0.0458,0.0254,practically_equivalent
draft_head,draft_head__w8a8,draft_head__w4a4,20,3.4273,3.4321,-0.0048,-0.0419,0.032,practically_equivalent
draft_recurrent,draft_recurrent__w16a4,draft_recurrent__w8a16,20,2.1984,3.4005,-1.2021,-1.3911,-1.0175,different
draft_recurrent,draft_recurrent__w16a8,draft_recurrent__w8a16,20,3.2643,3.4005,-0.1363,-0.2391,-0.0342,inconclusive
draft_recurrent,draft_recurrent__w4a16,draft_recurrent__w8a16,20,2.6105,3.4005,-0.79,-0.94,-0.6422,different
draft_recurrent,draft_recurrent__w4a4,draft_recurrent__w8a16,20,1.9651,3.4005,-1.4355,-1.6444,-1.2399,different
draft_recurrent,draft_recurrent__w8a8,draft_recurrent__w8a16,20,3.2662,3.4005,-0.1344,-0.2257,-0.0461,inconclusive
target_body,target_body__w16a4,target_body__w16a8,20,3.2465,3.43,-0.1835,-0.418,0.0478,inconclusive
target_body,target_body__w4a16,target_body__w16a8,20,3.1045,3.43,-0.3255,-0.4674,-0.1735,different
target_body,target_body__w4a4,target_body__w16a8,20,3.0079,3.43,-0.4221,-0.5936,-0.2546,different
target_body,target_body__w8a16,target_body__w16a8,20,3.3948,3.43,-0.0352,-0.0963,0.0217,inconclusive
target_body,target_body__w8a8,target_body__w16a8,20,3.3922,3.43,-0.0378,-0.0982,0.0204,inconclusive
target_embedding,target_embedding__w16a8,target_embedding__w16a4,20,3.4134,3.4608,-0.0474,-0.1141,-0.0012,inconclusive
target_embedding,target_embedding__w4a16,target_embedding__w16a4,20,3.3879,3.4608,-0.0729,-0.1639,0.0095,inconclusive
