cell,accepted_depth,count,frac
T16_D16,0,226,0.081
T16_D16,1,506,0.1814
T16_D16,2,605,0.2169
T16_D16,3,762,0.2732
T16_D16,4,267,0.0957
T16_D16,5,423,0.1517
T16_D4,0,8899,0.9524
T16_D4,1,441,0.0472
T16_D4,2,4,0.0004
T16_D8,0,2118,0.4512
T16_D8,1,958,0.2041
T16_D8,2,874,0.1862
T16_D8,3,541,0.1153
T16_D8,4,120,0.0256
T16_D8,5,83,0.0177
T4_D16,0,490,0.153
T4_D16,1,676,0.2111
T4_D16,2,711,0.222
T4_D16,3,757,0.2364
T4_D16,4,245,0.0765
T4_D16,5,323,0.1009
T4_D4,0,6130,0.7696
T4_D4,1,1743,0.2188
T4_D4,2,89,0.0112
T4_D4,3,3,0.0004
T4_D8,0,542,0.1585
T4_D8,1,916,0.2679
T4_D8,2,844,0.2469
T4_D8,3,687,0.2009
T4_D8,4,233,0.0681
T4_D8,5,197,0.0576
T8_D16,0,242,0.086
T8_D16,1,521,0.1852
T8_D16,2,600,0.2133
T8_D16,3,766,0.2723
T8_D16,4,256,0.091
T8_D16,5,428,0.1522
T8_D4,0,5748,0.738
T8_D4,1,1974,0.2534
T8_D4,2,66,0.0085
T8_D4,3,1,0.0001
T8_D8,0,265,0.0891
T8_D8,1,604,0.203
T8_D8,2,744,0.2501
T8_D8,3,795,0.2672
T8_D8,4,259,0.0871
T8_D8,5,308,0.1035
