contrast,cell,baseline,n_prompts,al_cell,al_base,diff,ci_lo,ci_hi,verdict
target_effect@D16,T8_D16,T16_D16,80,3.6076,3.6276,-0.02,-0.0635,0.023,inconclusive
target_effect@D16,T4_D16,T16_D16,80,3.2791,3.6276,-0.3485,-0.4388,-0.2569,different
target_effect@D8,T8_D8,T16_D8,80,3.4156,2.1328,1.2828,1.2195,1.3497,different
target_effect@D8,T4_D8,T16_D8,80,2.9881,2.1328,0.8553,0.7787,0.9299,different
target_effect@D4,T8_D4,T16_D4,80,1.2747,1.05,0.2247,0.2123,0.2374,different
target_effect@D4,T4_D4,T16_D4,80,1.2443,1.05,0.1943,0.1825,0.2064,different
draft_effect@T16,T16_D8,T16_D16,80,2.1328,3.6276,-1.4948,-1.5679,-1.4257,different
draft_effect@T16,T16_D4,T16_D16,80,1.05,3.6276,-2.5776,-2.6755,-2.4814,different
draft_effect@T8,T8_D8,T8_D16,80,3.4156,3.6076,-0.192,-0.2339,-0.1503,different
draft_effect@T8,T8_D4,T8_D16,80,1.2747,3.6076,-2.333,-2.4265,-2.2409,different
draft_effect@T4,T4_D8,T4_D16,80,2.9881,3.2791,-0.291,-0.3687,-0.2154,different
draft_effect@T4,T4_D4,T4_D16,80,1.2443,3.2791,-2.0348,-2.1506,-1.9193,different
vs_stock,T16_D4,T16_D16,80,1.05,3.6276,-2.5776,-2.676,-2.4817,different
vs_stock,T16_D8,T16_D16,80,2.1328,3.6276,-1.4948,-1.5677,-1.4258,different
vs_stock,T4_D16,T16_D16,80,3.2791,3.6276,-0.3485,-0.4415,-0.2544,different
vs_stock,T4_D4,T16_D16,80,1.2443,3.6276,-2.3833,-2.4782,-2.2903,different
vs_stock,T4_D8,T16_D16,80,2.9881,3.6276,-0.6395,-0.7251,-0.5571,different
vs_stock,T8_D16,T16_D16,80,3.6076,3.6276,-0.02,-0.0634,0.0211,inconclusive
vs_stock,T8_D4,T16_D16,80,1.2747,3.6276,-2.353,-2.4473,-2.2622,different
vs_stock,T8_D8,T16_D16,80,3.4156,3.6276,-0.212,-0.262,-0.163,different
