cell,prompt_id,mean_acceptance,acceptance_list,accepted_depths,first_rejection_depths,n_new_tokens,n_cycles,tree_size,exact_match,first_mismatch
T4_D16,81,2.9111,"[3, 2, 3, 2, 2, 5, 6, 2, 3, 1, 1, 3, 4, 2, 3, 2, 1, 2, 3, 3, 5, 4, 3, 3, 2, 4, 4, 2, 3, 3, 1, 2, 2, 4, 2, 3, 4, 4, 3, 1, 4, 4, 4, 3, 4]","[2, 1, 2, 1, 1, 4, 5, 1, 2, 0, 0, 2, 3, 1, 2, 1, 0, 1, 2, 2, 4, 3, 2, 2, 1, 3, 3, 1, 2, 2, 0, 1, 1, 3, 1, 2, 3, 3, 2, 0, 3, 3, 3, 2, 3]","[3, 2, 3, 2, 2, 5, 5, 2, 3, 1, 1, 3, 4, 2, 3, 2, 1, 2, 3, 3, 5, 4, 3, 3, 2, 4, 4, 2, 3, 3, 1, 2, 2, 4, 2, 3, 4, 4, 3, 1, 4, 4, 4, 3, 4]",128,45,26,False,3
T4_D16,82,3.359,"[4, 4, 2, 3, 2, 4, 6, 5, 4, 4, 2, 1, 3, 6, 4, 2, 3, 3, 6, 2, 4, 4, 1, 4, 3, 4, 1, 2, 3, 4, 4, 4, 2, 6, 2, 4, 2, 3, 4]","[3, 3, 1, 2, 1, 3, 5, 4, 3, 3, 1, 0, 2, 5, 3, 1, 2, 2, 5, 1, 3, 3, 0, 3, 2, 3, 0, 1, 2, 3, 3, 3, 1, 5, 1, 3, 1, 2, 3]","[4, 4, 2, 3, 2, 4, 5, 5, 4, 4, 2, 1, 3, 5, 4, 2, 3, 3, 5, 2, 4, 4, 1, 4, 3, 4, 1, 2, 3, 4, 4, 4, 2, 5, 2, 4, 2, 3, 4]",128,39,26,False,39
T4_D16,83,3.5556,"[4, 6, 3, 6, 2, 6, 2, 3, 4, 4, 6, 6, 5, 3, 2, 4, 3, 4, 2, 2, 1, 3, 2, 1, 3, 1, 6, 2, 2, 3, 4, 4, 6, 3, 4, 6]","[3, 5, 2, 5, 1, 5, 1, 2, 3, 3, 5, 5, 4, 2, 1, 3, 2, 3, 1, 1, 0, 2, 1, 0, 2, 0, 5, 1, 1, 2, 3, 3, 5, 2, 3, 5]","[4, 5, 3, 5, 2, 5, 2, 3, 4, 4, 5, 5, 5, 3, 2, 4, 3, 4, 2, 2, 1, 3, 2, 1, 3, 1, 5, 2, 2, 3, 4, 4, 5, 3, 4, 5]",128,36,26,False,1
T4_D16,84,2.9091,"[4, 1, 2, 1, 5, 4, 3, 3, 2, 6, 4, 5, 1, 3, 4, 3, 6, 2, 1, 3, 3, 3, 3, 3, 3, 1, 2, 3, 3, 4, 2, 2, 1, 4, 3, 4, 4, 2, 2, 3, 4, 3, 1, 2]","[3, 0, 1, 0, 4, 3, 2, 2, 1, 5, 3, 4, 0, 2, 3, 2, 5, 1, 0, 2, 2, 2, 2, 2, 2, 0, 1, 2, 2, 3, 1, 1, 0, 3, 2, 3, 3, 1, 1, 2, 3, 2, 0, 1]","[4, 1, 2, 1, 5, 4, 3, 3, 2, 5, 4, 5, 1, 3, 4, 3, 5, 2, 1, 3, 3, 3, 3, 3, 3, 1, 2, 3, 3, 4, 2, 2, 1, 4, 3, 4, 4, 2, 2, 3, 4, 3, 1, 2]",128,44,26,False,4
T4_D16,85,2.8478,"[1, 6, 4, 4, 3, 2, 4, 1, 2, 1, 1, 4, 3, 4, 3, 4, 3, 1, 2, 3, 4, 2, 6, 1, 2, 2, 2, 2, 5, 4, 1, 3, 3, 4, 1, 6, 2, 2, 4, 2, 2, 1, 3, 3, 4, 4]","[0, 5, 3, 3, 2, 1, 3, 0, 1, 0, 0, 3, 2, 3, 2, 3, 2, 0, 1, 2, 3, 1, 5, 0, 1, 1, 1, 1, 4, 3, 0, 2, 2, 3, 0, 5, 1, 1, 3, 1, 1, 0, 2, 2, 3, 3]","[1, 5, 4, 4, 3, 2, 4, 1, 2, 1, 1, 4, 3, 4, 3, 4, 3, 1, 2, 3, 4, 2, 5, 1, 2, 2, 2, 2, 5, 4, 1, 3, 3, 4, 1, 5, 2, 2, 4, 2, 2, 1, 3, 3, 4, 4]",128,46,26,False,13
T4_D16,86,2.1148,"[1, 1, 1, 6, 4, 1, 1, 2, 1, 2, 4, 2, 2, 3, 2, 3, 2, 2, 3, 3, 3, 1, 3, 2, 2, 2, 1, 2, 5, 3, 2, 2, 2, 2, 1, 1, 1, 2, 1, 3, 3, 2, 1, 2, 2, 3, 2, 3, 2, 2, 2, 2, 3, 2, 1, 2, 2, 1, 2, 1, 2]","[0, 0, 0, 5, 3, 0, 0, 1, 0, 1, 3, 1, 1, 2, 1, 2, 1, 1, 2, 2, 2, 0, 2, 1, 1, 1, 0, 1, 4, 2, 1, 1, 1, 1, 0, 0, 0, 1, 0, 2, 2, 1, 0, 1, 1, 2, 1, 2, 1, 1, 1, 1, 2, 1, 0, 1, 1, 0, 1, 0, 1]","[1, 1, 1, 5, 4, 1, 1, 2, 1, 2, 4, 2, 2, 3, 2, 3, 2, 2, 3, 3, 3, 1, 3, 2, 2, 2, 1, 2, 5, 3, 2, 2, 2, 2, 1, 1, 1, 2, 1, 3, 3, 2, 1, 2, 2, 3, 2, 3, 2, 2, 2, 2, 3, 2, 1, 2, 2, 1, 2, 1, 2]",128,61,26,False,21
T4_D16,87,2.6122,"[5, 6, 6, 6, 4, 3, 1, 1, 4, 1, 3, 3, 1, 1, 2, 2, 3, 4, 1, 3, 3, 2, 1, 3, 1, 1, 2, 1, 1, 3, 4, 2, 3, 3, 3, 3, 3, 3, 2, 1, 2, 1, 3, 1, 3, 5, 1, 2, 5]","[4, 5, 5, 5, 3, 2, 0, 0, 3, 0, 2, 2, 0, 0, 1, 1, 2, 3, 0, 2, 2, 1, 0, 2, 0, 0, 1, 0, 0, 2, 3, 1, 2, 2, 2, 2, 2, 2, 1, 0, 1, 0, 2, 0, 2, 4, 0, 1, 4]","[5, 5, 5, 5, 4, 3, 1, 1, 4, 1, 3, 3, 1, 1, 2, 2, 3, 4, 1, 3, 3, 2, 1, 3, 1, 1, 2, 1, 1, 3, 4, 2, 3, 3, 3, 3, 3, 3, 2, 1, 2, 1, 3, 1, 3, 5, 1, 2, 5]",128,49,26,False,28
T4_D16,88,2.1311,"[1, 3, 2, 3, 2, 1, 2, 4, 2, 2, 2, 3, 2, 1, 2, 3, 2, 1, 1, 2, 1, 3, 3, 1, 1, 3, 1, 2, 2, 3, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 4, 3, 1, 2, 2, 1, 3, 2, 3, 4, 3, 2, 3, 3, 4, 4, 3, 2, 4]","[0, 2, 1, 2, 1, 0, 1, 3, 1, 1, 1, 2, 1, 0, 1, 2, 1, 0, 0, 1, 0, 2, 2, 0, 0, 2, 0, 1, 1, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 3, 2, 0, 1, 1, 0, 2, 1, 2, 3, 2, 1, 2, 2, 3, 3, 2, 1, 3]","[1, 3, 2, 3, 2, 1, 2, 4, 2, 2, 2, 3, 2, 1, 2, 3, 2, 1, 1, 2, 1, 3, 3, 1, 1, 3, 1, 2, 2, 3, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 4, 3, 1, 2, 2, 1, 3, 2, 3, 4, 3, 2, 3, 3, 4, 4, 3, 2, 4]",128,61,26,False,9
T4_D16,89,3.4595,"[1, 4, 6, 3, 3, 6, 5, 5, 4, 3, 2, 4, 6, 4, 4, 3, 4, 2, 2, 4, 3, 2, 1, 1, 2, 4, 4, 3, 4, 4, 3, 4, 1, 4, 2, 5, 6]","[0, 3, 5, 2, 2, 5, 4, 4, 3, 2, 1, 3, 5, 3, 3, 2, 3, 1, 1, 3, 2, 1, 0, 0, 1, 3, 3, 2, 3, 3, 2, 3, 0, 3, 1, 4, 5]","[1, 4, 5, 3, 3, 5, 5, 5, 4, 3, 2, 4, 5, 4, 4, 3, 4, 2, 2, 4, 3, 2, 1, 1, 2, 4, 4, 3, 4, 4, 3, 4, 1, 4, 2, 5, 5]",128,37,26,False,23
T4_D16,90,3.6875,"[3, 6, 4, 5, 4, 5, 4, 3, 2, 3, 3, 3, 4, 1, 3, 4, 2, 5, 3, 3, 6, 6, 4, 3, 3, 3, 4, 3, 3, 6, 6, 1]","[2, 5, 3, 4, 3, 4, 3, 2, 1, 2, 2, 2, 3, 0, 2, 3, 1, 4, 2, 2, 5, 5, 3, 2, 2, 2, 3, 2, 2, 5, 5, 0]","[3, 5, 4, 5, 4, 5, 4, 3, 2, 3, 3, 3, 4, 1, 3, 4, 2, 5, 3, 3, 5, 5, 4, 3, 3, 3, 4, 3, 3, 5, 5, 1]",118,32,26,False,45
