target,prompt_idx,round,fp_accept,q_accept,accept_delta,recheck_accept,recheck_accept_delta,recheck_top1_same_fp,accept_delta_vs_recheck,fp_q_top1_same,q_top1_in_tree,fp_top1_in_tree,entropy_delta,margin_delta,top1_prob_delta,kl_fp_q,tv,tree_mass_fp,tree_mass_q,tree_mass_delta,ce_delta,category
W8A8,0,0,2,2,0,2,0,True,0,True,True,True,-0.0144,0.0156,0.0081,0.0011,0.0106,0.8941,0.9018,0.0077,0.0017,UNCHANGED
W8A8,0,1,5,5,0,5,0,True,0,True,True,True,-0.0004,0.0312,0.0001,0.0,0.0001,0.9995,0.9996,0.0,0.0017,UNCHANGED
W8A8,0,2,0,0,0,0,0,True,0,True,False,False,0.0515,-0.0781,-0.0168,0.002,0.0169,0.1014,0.1177,0.0164,0.0017,UNCHANGED
W8A8,0,3,3,3,0,3,0,True,0,True,True,True,0.0,-0.1406,-0.0,0.0,0.0,1.0,1.0,-0.0,0.0017,UNCHANGED
W8A8,0,4,5,5,0,5,0,True,0,True,True,True,0.0001,-0.3594,-0.0,0.0,0.0,1.0,1.0,-0.0,0.0017,UNCHANGED
W8A8,0,5,4,4,0,4,0,True,0,True,True,True,-0.0002,0.0625,0.0,0.0,0.0,1.0,1.0,-0.0,0.0017,UNCHANGED
W8A8,0,6,4,4,0,4,0,True,0,True,True,True,-0.0126,-0.1406,0.0021,0.0017,0.0088,1.0,1.0,0.0,0.0017,UNCHANGED
W8A8,0,7,3,3,0,3,0,True,0,True,True,True,-0.0021,0.1406,0.0003,0.0,0.0003,1.0,1.0,0.0,0.0017,UNCHANGED
W8A8,0,8,3,3,0,3,0,True,0,True,True,True,0.0,-0.1719,-0.0,0.0,0.0,1.0,1.0,-0.0,0.0017,UNCHANGED
W8A8,0,9,2,2,0,2,0,True,0,True,True,True,0.0297,-0.3125,-0.0076,0.0012,0.0076,0.9991,0.9987,-0.0005,0.0017,UNCHANGED
W8A8,0,10,1,1,0,1,0,True,0,True,True,True,-0.0,0.1562,0.0,0.0,0.0,1.0,1.0,0.0,0.0017,UNCHANGED
