cell,accepted_depth,count,frac
T16_D16,0,37,0.0949
T16_D16,1,86,0.2205
T16_D16,2,95,0.2436
T16_D16,3,100,0.2564
T16_D16,4,28,0.0718
T16_D16,5,44,0.1128
T16_D4,0,1177,0.9616
T16_D4,1,47,0.0384
T16_D8,0,325,0.4939
T16_D8,1,129,0.196
T16_D8,2,127,0.193
T16_D8,3,65,0.0988
T16_D8,4,6,0.0091
T16_D8,5,6,0.0091
T4_D16,0,95,0.2093
T4_D16,1,95,0.2093
T4_D16,2,122,0.2687
T4_D16,3,79,0.174
T4_D16,4,30,0.0661
T4_D16,5,33,0.0727
T4_D4,0,843,0.7953
T4_D4,1,212,0.2
T4_D4,2,5,0.0047
T4_D8,0,104,0.2093
T4_D8,1,144,0.2897
T4_D8,2,133,0.2676
T4_D8,3,80,0.161
T4_D8,4,22,0.0443
T4_D8,5,14,0.0282
T8_D16,0,41,0.1046
T8_D16,1,90,0.2296
T8_D16,2,92,0.2347
T8_D16,3,95,0.2423
T8_D16,4,31,0.0791
T8_D16,5,43,0.1097
T8_D4,0,779,0.7622
T8_D4,1,232,0.227
T8_D4,2,11,0.0108
T8_D8,0,52,0.1259
T8_D8,1,92,0.2228
T8_D8,2,105,0.2542
T8_D8,3,104,0.2518
T8_D8,4,30,0.0726
T8_D8,5,30,0.0726
