cell,prompt_id,mean_acceptance,acceptance_list,accepted_depths,first_rejection_depths,n_new_tokens,n_cycles,tree_size,exact_match,first_mismatch
T8_D16,81,3.4737,"[3, 6, 1, 4, 6, 5, 5, 4, 4, 3, 2, 4, 4, 1, 3, 4, 2, 2, 3]","[2, 5, 0, 3, 5, 4, 4, 3, 3, 2, 1, 3, 3, 0, 2, 3, 1, 1, 2]","[3, 5, 1, 4, 5, 5, 5, 4, 4, 3, 2, 4, 4, 1, 3, 4, 2, 2, 3]",64,19,26,False,20
T8_D16,82,4.125,"[4, 4, 3, 4, 4, 4, 6, 6, 6, 2, 5, 6, 4, 2, 3, 3]","[3, 3, 2, 3, 3, 3, 5, 5, 5, 1, 4, 5, 3, 1, 2, 2]","[4, 4, 3, 4, 4, 4, 5, 5, 5, 2, 5, 5, 4, 2, 3, 3]",64,16,26,True,-1
T8_D16,83,4.5714,"[6, 4, 4, 6, 6, 3, 4, 3, 4, 6, 4, 4, 4, 6]","[5, 3, 3, 5, 5, 2, 3, 2, 3, 5, 3, 3, 3, 5]","[5, 4, 4, 5, 5, 3, 4, 3, 4, 5, 4, 4, 4, 5]",64,14,26,True,-1
T8_D16,84,3.25,"[4, 2, 3, 4, 3, 6, 2, 2, 6, 5, 4, 2, 3, 2, 2, 4, 2, 4, 1, 4]","[3, 1, 2, 3, 2, 5, 1, 1, 5, 4, 3, 1, 2, 1, 1, 3, 1, 3, 0, 3]","[4, 2, 3, 4, 3, 5, 2, 2, 5, 5, 4, 2, 3, 2, 2, 4, 2, 4, 1, 4]",64,20,26,True,-1
T8_D16,85,2.68,"[1, 5, 3, 2, 3, 3, 4, 4, 1, 1, 5, 3, 4, 2, 3, 3, 1, 3, 2, 1, 2, 3, 2, 2, 4]","[0, 4, 2, 1, 2, 2, 3, 3, 0, 0, 4, 2, 3, 1, 2, 2, 0, 2, 1, 0, 1, 2, 1, 1, 3]","[1, 5, 3, 2, 3, 3, 4, 4, 1, 1, 5, 3, 4, 2, 3, 3, 1, 3, 2, 1, 2, 3, 2, 2, 4]",64,25,26,True,-1
T8_D16,86,2.8261,"[3, 4, 6, 6, 3, 4, 1, 4, 1, 2, 3, 3, 1, 2, 4, 3, 2, 1, 4, 3, 2, 1, 2]","[2, 3, 5, 5, 2, 3, 0, 3, 0, 1, 2, 2, 0, 1, 3, 2, 1, 0, 3, 2, 1, 0, 1]","[3, 4, 5, 5, 3, 4, 1, 4, 1, 2, 3, 3, 1, 2, 4, 3, 2, 1, 4, 3, 2, 1, 2]",64,23,26,False,41
T8_D16,87,3.3684,"[3, 4, 5, 3, 5, 6, 3, 4, 6, 3, 3, 2, 3, 5, 1, 1, 2, 2, 3]","[2, 3, 4, 2, 4, 5, 2, 3, 5, 2, 2, 1, 2, 4, 0, 0, 1, 1, 2]","[3, 4, 5, 3, 5, 5, 3, 4, 5, 3, 3, 2, 3, 5, 1, 1, 2, 2, 3]",64,19,26,False,60
T8_D16,88,3.0476,"[1, 3, 3, 2, 4, 4, 3, 2, 2, 4, 5, 4, 3, 3, 4, 3, 1, 4, 2, 4, 3]","[0, 2, 2, 1, 3, 3, 2, 1, 1, 3, 4, 3, 2, 2, 3, 2, 0, 3, 1, 3, 2]","[1, 3, 3, 2, 4, 4, 3, 2, 2, 4, 5, 4, 3, 3, 4, 3, 1, 4, 2, 4, 3]",64,21,26,True,-1
T8_D16,89,4.2667,"[3, 3, 6, 4, 3, 2, 6, 3, 5, 5, 4, 3, 6, 5, 6]","[2, 2, 5, 3, 2, 1, 5, 2, 4, 4, 3, 2, 5, 4, 5]","[3, 3, 5, 4, 3, 2, 5, 3, 5, 5, 4, 3, 5, 5, 5]",64,15,26,False,13
T8_D16,90,3.5556,"[3, 6, 5, 4, 2, 4, 3, 4, 3, 3, 1, 4, 4, 5, 2, 2, 5, 4]","[2, 5, 4, 3, 1, 3, 2, 3, 2, 2, 0, 3, 3, 4, 1, 1, 4, 3]","[3, 5, 5, 4, 2, 4, 3, 4, 3, 3, 1, 4, 4, 5, 2, 2, 5, 4]",64,18,26,False,32
