config,mean_acceptance,n_prompts,exact_match_rate
CS_fp16_baseline,3.4116,20,0.95
DQ_ar_only_W4A4,3.3103,20,0.9
DQ_both_proj_W4A4,1.2574,20,1.0
DQ_embed_only_W4A16,3.418,20,1.0
DQ_first_only_W4A16,2.6108,20,0.95
DQ_first_only_W4A4,1.3614,20,0.95
DQ_recurrent_only_W4A16,2.6085,20,1.0
DQ_recurrent_only_W4A4,1.9652,20,1.0
Q00_targetFP16_draftFP16_stock,3.4158,20,1.0
Q01_new_draft_full_W4A4,1.245,20,1.0
Q01_prevB2_draft_full_W4A4,1.2684,20,1.0
Q10_targetW4A4_draftFP16_archA,3.0079,20,0.0
Q11_new_targetW4A4_draftW4A4_concat,1.214,20,0.0
Q11_prevB2_targetW4A4_draftW4A4,1.1692,20,0.0
