target,prompt,path,n_positions,rel_l2,max_abs,top1_agree,certified_frac
fp16,0,chunked_kv,32,0.001501,0.0312,1.0,1.0
fp16,0,incremental_kv,32,0.001467,0.0312,1.0,1.0
fp16,1,chunked_kv,32,0.00182,0.0312,1.0,1.0
fp16,1,incremental_kv,32,0.001731,0.0312,1.0,1.0
fp16,2,chunked_kv,32,0.001726,0.0312,1.0,1.0
fp16,2,incremental_kv,32,0.001692,0.0312,1.0,0.9688
fp16,3,chunked_kv,32,0.001837,0.0293,1.0,1.0
fp16,3,incremental_kv,32,0.001781,0.043,1.0,1.0
fp16,4,chunked_kv,32,0.001735,0.0254,1.0,0.9688
fp16,4,incremental_kv,32,0.001723,0.0312,1.0,0.9688
fp16,5,chunked_kv,32,0.001625,0.0312,1.0,1.0
fp16,5,incremental_kv,32,0.001557,0.0312,1.0,1.0
fake_W8A8,0,chunked_kv,32,0.018019,0.3164,0.9688,0.9062
fake_W8A8,0,incremental_kv,32,0.018399,0.5156,0.9375,0.9062
fake_W8A8,1,chunked_kv,32,0.023018,0.4375,1.0,0.9688
fake_W8A8,1,incremental_kv,32,0.023255,0.4375,1.0,0.9688
fake_W8A8,2,chunked_kv,32,0.020766,0.3552,1.0,0.9688
fake_W8A8,2,incremental_kv,32,0.020607,0.3438,1.0,0.9688
fake_W8A8,3,chunked_kv,32,0.022631,0.3906,1.0,1.0
fake_W8A8,3,incremental_kv,32,0.022313,0.4193,1.0,1.0
fake_W8A8,4,chunked_kv,32,0.022561,0.4609,1.0,0.9062
fake_W8A8,4,incremental_kv,32,0.022565,0.4922,1.0,0.9062
fake_W8A8,5,chunked_kv,32,0.020193,0.4023,1.0,0.9375
fake_W8A8,5,incremental_kv,32,0.020302,0.4297,1.0,0.9375
fake_W4A4,0,chunked_kv,32,0.282755,4.127,0.9375,0.3438
fake_W4A4,0,incremental_kv,32,0.318998,4.8242,0.9375,0.3125
fake_W4A4,1,chunked_kv,32,0.341967,5.353,1.0,0.5312
fake_W4A4,1,incremental_kv,32,0.324343,4.749,1.0,0.6562
fake_W4A4,2,chunked_kv,32,0.314228,5.1768,0.9688,0.5
fake_W4A4,2,incremental_kv,32,0.321768,10.0469,0.9375,0.4688
fake_W4A4,3,chunked_kv,32,0.343039,8.499,0.9375,0.3125
fake_W4A4,3,incremental_kv,32,0.327917,7.8752,0.9375,0.3438
fake_W4A4,4,chunked_kv,32,0.302468,6.1094,0.9062,0.375
fake_W4A4,4,incremental_kv,32,0.31311,5.9922,0.9062,0.3438
fake_W4A4,5,chunked_kv,32,0.275745,5.8906,0.9688,0.25
fake_W4A4,5,incremental_kv,32,0.274409,6.1484,1.0,0.2812
