config,projection,calls
F1_prev_B2_rotated_embedding,projection_first,117
F1_prev_B2_rotated_embedding,projection_recurrent,468
F2_concat_selective_explicit,projection_first_preR,117
F2_concat_selective_explicit,projection_recurrent_preR,468
F3_concat_selective_folded,projection_first_preR,117
F3_concat_selective_folded,projection_recurrent_preR,468
F4_embedding_rotated,projection_first_preR,266
F4_embedding_rotated,projection_recurrent_preR,1064
F5_orig_PL_recurrent,projection_first_preR,178
F5_orig_PL_recurrent,projection_recurrent_preR,712
N_R_before_PL,projection_first_preR,377
N_R_before_PL,projection_recurrent_preR,1508
N_first_for_recurrent,projection_first_preR,655
N_no_output_R,projection_first_preR,391
N_no_output_R,projection_recurrent_preR,1564
N_recurrent_for_first,projection_recurrent_preR,1745
