config,group,target_precision,draft_precision,prompt_id,mean_acceptance,acceptance_list,exact_match,n_new_tokens,n_cycles
Q00_targetFP16_draftFP16_stock,stock,FP16,FP16,81,3.4737,"[3, 6, 1, 4, 6, 5, 5, 4, 4, 3, 2, 4, 4, 1, 3, 4, 2, 2, 3]",True,64,19
Q00_targetFP16_draftFP16_stock,stock,FP16,FP16,82,4.4,"[4, 4, 3, 4, 6, 4, 6, 6, 6, 5, 6, 4, 2, 3, 3]",True,64,15
Q00_targetFP16_draftFP16_stock,stock,FP16,FP16,83,4.4,"[6, 4, 4, 6, 6, 6, 3, 4, 4, 4, 4, 2, 6, 4, 3]",True,64,15
Q00_targetFP16_draftFP16_stock,stock,FP16,FP16,84,3.25,"[4, 2, 3, 4, 3, 6, 2, 2, 6, 5, 4, 2, 3, 2, 2, 4, 2, 4, 1, 4]",True,64,20
Q00_targetFP16_draftFP16_stock,stock,FP16,FP16,85,2.6667,"[1, 5, 3, 2, 3, 3, 4, 4, 1, 3, 3, 3, 4, 2, 3, 3, 2, 1, 3, 2, 2, 3, 2, 2]",True,64,24
Q00_targetFP16_draftFP16_stock,stock,FP16,FP16,86,2.8261,"[3, 4, 6, 6, 3, 4, 1, 4, 1, 2, 3, 3, 1, 2, 4, 3, 2, 1, 4, 3, 2, 1, 2]",True,64,23
Q00_targetFP16_draftFP16_stock,stock,FP16,FP16,87,3.4211,"[3, 4, 5, 3, 5, 6, 3, 4, 6, 3, 3, 2, 3, 5, 1, 2, 2, 2, 3]",True,64,19
Q00_targetFP16_draftFP16_stock,stock,FP16,FP16,88,3.0476,"[1, 3, 3, 2, 4, 4, 3, 2, 2, 4, 5, 4, 3, 3, 4, 3, 1, 2, 3, 5, 3]",True,64,21
Q00_targetFP16_draftFP16_stock,stock,FP16,FP16,89,4.3333,"[3, 3, 6, 6, 2, 6, 4, 4, 5, 4, 3, 6, 5, 6, 2]",True,64,15
Q00_targetFP16_draftFP16_stock,stock,FP16,FP16,90,3.5789,"[3, 6, 5, 4, 2, 4, 3, 4, 3, 3, 1, 4, 4, 5, 2, 2, 4, 4, 5]",True,64,19
Q00_targetFP16_draftFP16_stock,stock,FP16,FP16,91,3.1429,"[1, 4, 3, 4, 3, 1, 4, 6, 4, 2, 4, 5, 2, 2, 2, 3, 2, 4, 3, 4, 3]",True,64,21
Q00_targetFP16_draftFP16_stock,stock,FP16,FP16,92,2.56,"[3, 3, 3, 3, 3, 3, 2, 3, 4, 4, 1, 1, 1, 4, 4, 1, 3, 2, 4, 4, 1, 2, 1, 3, 1]",True,64,25
Q00_targetFP16_draftFP16_stock,stock,FP16,FP16,93,4.125,"[6, 6, 3, 3, 4, 4, 6, 2, 4, 4, 4, 4, 5, 4, 2, 5]",True,64,16
Q00_targetFP16_draftFP16_stock,stock,FP16,FP16,94,3.2353,"[6, 5, 1, 2, 5, 6, 4, 4, 2, 2, 2, 3, 2, 2, 3, 4, 2]",True,55,17
Q00_targetFP16_draftFP16_stock,stock,FP16,FP16,95,3.0476,"[5, 6, 2, 3, 2, 2, 3, 4, 4, 2, 1, 2, 1, 4, 2, 3, 2, 2, 4, 4, 6]",True,64,21
Q00_targetFP16_draftFP16_stock,stock,FP16,FP16,96,3.8824,"[1, 3, 5, 4, 3, 4, 6, 4, 2, 4, 5, 6, 3, 4, 4, 5, 3]",True,64,17
Q00_targetFP16_draftFP16_stock,stock,FP16,FP16,97,3.8333,"[4, 6, 3, 2, 6, 4, 2, 2, 6, 6, 2, 3, 4, 4, 4, 4, 1, 6]",True,64,18
Q00_targetFP16_draftFP16_stock,stock,FP16,FP16,98,2.8696,"[3, 2, 1, 3, 2, 3, 2, 5, 4, 6, 1, 1, 2, 4, 4, 2, 2, 3, 2, 3, 4, 3, 4]",True,64,23
Q00_targetFP16_draftFP16_stock,stock,FP16,FP16,99,3.5556,"[1, 2, 3, 4, 4, 3, 2, 6, 6, 2, 5, 4, 6, 6, 3, 3, 2, 2]",True,64,18
Q00_targetFP16_draftFP16_stock,stock,FP16,FP16,100,2.6667,"[3, 1, 2, 2, 4, 3, 3, 4, 2, 2, 1, 3, 2, 4, 3, 1, 3, 5, 3, 5, 1, 2, 2, 3]",True,64,24
