config,module,n_forward,covered
DQ_first_only_W4A4,projection_first_preR,966,True
DQ_recurrent_only_W4A4,projection_recurrent_preR,2692,True
DQ_both_proj_W4A4,projection_first_preR,1037,True
DQ_both_proj_W4A4,projection_recurrent_preR,4148,True
DQ_ar_only_W4A4,ar.q_proj,2120,True
DQ_ar_only_W4A4,ar.k_proj,2120,True
DQ_ar_only_W4A4,ar.v_proj,2120,True
DQ_ar_only_W4A4,ar.o_proj,2120,True
DQ_ar_only_W4A4,ar.gate_proj,2120,True
DQ_ar_only_W4A4,ar.up_proj,2120,True
DQ_ar_only_W4A4,ar.down_proj,2120,True
Q01_new_draft_full_W4A4,projection_first_preR,1046,True
Q01_new_draft_full_W4A4,projection_recurrent_preR,4184,True
Q01_new_draft_full_W4A4,ar.q_proj,5230,True
Q01_new_draft_full_W4A4,ar.k_proj,5230,True
Q01_new_draft_full_W4A4,ar.v_proj,5230,True
Q01_new_draft_full_W4A4,ar.o_proj,5230,True
Q01_new_draft_full_W4A4,ar.gate_proj,5230,True
Q01_new_draft_full_W4A4,ar.up_proj,5230,True
Q01_new_draft_full_W4A4,ar.down_proj,5230,True
Q01_prevB2_draft_full_W4A4,ar.q_proj,5160,True
Q01_prevB2_draft_full_W4A4,ar.k_proj,5160,True
Q01_prevB2_draft_full_W4A4,ar.v_proj,5160,True
Q01_prevB2_draft_full_W4A4,ar.o_proj,5160,True
Q01_prevB2_draft_full_W4A4,ar.gate_proj,5160,True
Q01_prevB2_draft_full_W4A4,ar.up_proj,5160,True
Q01_prevB2_draft_full_W4A4,ar.down_proj,5160,True
DQ_first_only_W4A16,projection_first_preR,536,True
DQ_recurrent_only_W4A16,projection_recurrent_preR,2076,True
