config,depth,alpha,n_cycles_reaching
CS_fp16_baseline,1,0.9056122448979592,392
CS_fp16_baseline,2,0.752112676056338,355
CS_fp16_baseline,3,0.6441947565543071,267
CS_fp16_baseline,4,0.42441860465116277,172
CS_fp16_baseline,5,0.5753424657534246,73
DQ_ar_only_W4A4,1,0.8836633663366337,404
DQ_ar_only_W4A4,2,0.7366946778711485,357
DQ_ar_only_W4A4,3,0.6387832699619772,263
DQ_ar_only_W4A4,4,0.4166666666666667,168
DQ_ar_only_W4A4,5,0.5,70
DQ_both_proj_W4A4,1,0.2448377581120944,1017
DQ_both_proj_W4A4,2,0.0321285140562249,249
DQ_both_proj_W4A4,3,0.0,8
DQ_both_proj_W4A4,4,,0
DQ_both_proj_W4A4,5,,0
DQ_embed_only_W4A16,1,0.8948717948717949,390
DQ_embed_only_W4A16,2,0.7707736389684814,349
DQ_embed_only_W4A16,3,0.6691449814126395,269
DQ_embed_only_W4A16,4,0.4,180
DQ_embed_only_W4A16,5,0.5972222222222222,72
DQ_first_only_W4A16,1,0.7403100775193798,516
DQ_first_only_W4A16,2,0.56282722513089,382
DQ_first_only_W4A16,3,0.5534883720930233,215
DQ_first_only_W4A16,4,0.33613445378151263,119
DQ_first_only_W4A16,5,0.4,40
DQ_first_only_W4A4,1,0.2357293868921776,946
DQ_first_only_W4A4,2,0.3632286995515695,223
DQ_first_only_W4A4,3,0.2222222222222222,81
DQ_first_only_W4A4,4,0.3333333333333333,18
DQ_first_only_W4A4,5,0.16666666666666666,6
DQ_recurrent_only_W4A16,1,0.8717434869739479,499
DQ_recurrent_only_W4A16,2,0.542528735632184,435
DQ_recurrent_only_W4A16,3,0.423728813559322,236
DQ_recurrent_only_W4A16,4,0.15,100
DQ_recurrent_only_W4A16,5,0.26666666666666666,15
DQ_recurrent_only_W4A4,1,0.8820826952526799,653
DQ_recurrent_only_W4A4,2,0.0798611111111111,576
DQ_recurrent_only_W4A4,3,0.10869565217391304,46
DQ_recurrent_only_W4A4,4,0.0,5
DQ_recurrent_only_W4A4,5,,0
Q00_targetFP16_draftFP16_stock,1,0.9051282051282051,390
Q00_targetFP16_draftFP16_stock,2,0.7563739376770539,353
Q00_targetFP16_draftFP16_stock,3,0.6441947565543071,267
Q00_targetFP16_draftFP16_stock,4,0.4186046511627907,172
Q00_targetFP16_draftFP16_stock,5,0.6111111111111112,72
Q01_new_draft_full_W4A4,1,0.2309941520467836,1026
Q01_new_draft_full_W4A4,2,0.0379746835443038,237
Q01_new_draft_full_W4A4,3,0.0,9
Q01_new_draft_full_W4A4,4,,0
Q01_new_draft_full_W4A4,5,,0
Q01_prevB2_draft_full_W4A4,1,0.25592885375494073,1012
Q01_prevB2_draft_full_W4A4,2,0.02702702702702703,259
Q01_prevB2_draft_full_W4A4,3,0.0,7
Q01_prevB2_draft_full_W4A4,4,,0
Q01_prevB2_draft_full_W4A4,5,,0
Q10_targetW4A4_draftFP16_archA,1,0.7907488986784141,454
Q10_targetW4A4_draftFP16_archA,2,0.7353760445682451,359
Q10_targetW4A4_draftFP16_archA,3,0.5378787878787878,264
Q10_targetW4A4_draftFP16_archA,4,0.44366197183098594,142
Q10_targetW4A4_draftFP16_archA,5,0.5238095238095238,63
Q11_new_targetW4A4_draftW4A4_concat,1,0.20471698113207548,1060
Q11_new_targetW4A4_draftW4A4_concat,2,0.02304147465437788,217
Q11_new_targetW4A4_draftW4A4_concat,3,0.0,5
Q11_new_targetW4A4_draftW4A4_concat,4,,0
Q11_new_targetW4A4_draftW4A4_concat,5,,0
Q11_prevB2_targetW4A4_draftW4A4,1,0.16196542311191992,1099
Q11_prevB2_targetW4A4_draftW4A4,2,0.02247191011235955,178
Q11_prevB2_targetW4A4_draftW4A4,3,0.0,4
Q11_prevB2_targetW4A4_draftW4A4,4,,0
Q11_prevB2_targetW4A4_draftW4A4,5,,0
