family,treatment,baseline,baseline_mean,treatment_mean,paired_delta_mean,delta_std,effect_size_dz,ci95_lo,ci95_hi,n_prompts,epsilon,decision
target_only,Q10_targetW4A4_draftFP16_archA,Q00_targetFP16_draftFP16_stock,3.4158,3.0079,-0.4079,0.3676,-1.11,-0.5724,-0.2547,20,0.05,meaningful_decrease
rotation_control,CS_fp16_baseline,Q00_targetFP16_draftFP16_stock,3.4158,3.4116,-0.0042,0.0999,-0.042,-0.0509,0.0319,20,0.05,inconclusive
draft_only,DQ_first_only_W4A4,CS_fp16_baseline,3.4116,1.3614,-2.0501,0.4861,-4.217,-2.2651,-1.8436,20,0.05,meaningful_decrease
draft_only,DQ_recurrent_only_W4A4,CS_fp16_baseline,3.4116,1.9652,-1.4464,0.5213,-2.775,-1.6799,-1.2259,20,0.05,meaningful_decrease
draft_only,DQ_both_proj_W4A4,CS_fp16_baseline,3.4116,1.2574,-2.1542,0.5467,-3.94,-2.3962,-1.9224,20,0.05,meaningful_decrease
draft_only,DQ_ar_only_W4A4,CS_fp16_baseline,3.4116,3.3103,-0.1013,0.1879,-0.539,-0.1807,-0.0194,20,0.05,inconclusive
draft_only,Q01_new_draft_full_W4A4,CS_fp16_baseline,3.4116,1.245,-2.1665,0.5578,-3.884,-2.4148,-1.9296,20,0.05,meaningful_decrease
draft_only,Q01_prevB2_draft_full_W4A4,CS_fp16_baseline,3.4116,1.2684,-2.1431,0.5558,-3.856,-2.3904,-1.9063,20,0.05,meaningful_decrease
draft_only,DQ_first_only_W4A16,CS_fp16_baseline,3.4116,2.6108,-0.8008,0.367,-2.182,-0.956,-0.6452,20,0.05,meaningful_decrease
draft_only,DQ_recurrent_only_W4A16,CS_fp16_baseline,3.4116,2.6085,-0.8031,0.3882,-2.068,-0.9745,-0.6405,20,0.05,meaningful_decrease
draft_only,DQ_embed_only_W4A16,CS_fp16_baseline,3.4116,3.418,0.0064,0.134,0.048,-0.0485,0.0664,20,0.05,inconclusive
both,Q11_new_targetW4A4_draftW4A4_concat,Q00_targetFP16_draftFP16_stock,3.4158,1.214,-2.2018,0.5501,-4.002,-2.4459,-1.9726,20,0.05,meaningful_decrease
both,Q11_prevB2_targetW4A4_draftW4A4,Q00_targetFP16_draftFP16_stock,3.4158,1.1692,-2.2466,0.5638,-3.985,-2.4967,-2.0125,20,0.05,meaningful_decrease
arch_contrast,Q01_new_draft_full_W4A4,Q01_prevB2_draft_full_W4A4,1.2684,1.245,-0.0234,0.0712,-0.329,-0.0557,0.005,20,0.05,inconclusive
arch_contrast,Q11_new_targetW4A4_draftW4A4_concat,Q11_prevB2_targetW4A4_draftW4A4,1.1692,1.214,0.0448,0.0561,0.798,0.0204,0.0678,20,0.05,inconclusive
