name,sha,shape
gamma_f,7a13f5fb93070d6a,[4096]
lm_head_weight,89ad3853f57938a4,"[32000, 4096]"
embed_weight,b4f79a4374a649df,"[32000, 4096]"
R1,199aa4efb7968fc2,"[4096, 4096]"
R.bin:R1,199aa4efb7968fc2,"[4096, 4096]"
R.bin:model.layers.0.self_attn.R2,8e53773673a4c6a6,"[128, 128]"
R.bin:model.layers.1.self_attn.R2,e12a9422208bfc87,"[128, 128]"
R.bin:model.layers.2.self_attn.R2,4bbab08fcb807f8a,"[128, 128]"
R.bin:model.layers.3.self_attn.R2,6632cc904016db91,"[128, 128]"
R.bin:model.layers.4.self_attn.R2,070bd6166dee7211,"[128, 128]"
R.bin:model.layers.5.self_attn.R2,2973e66b6f845fd7,"[128, 128]"
R.bin:model.layers.6.self_attn.R2,0fd2dc837f162e22,"[128, 128]"
R.bin:model.layers.7.self_attn.R2,21947080877410ca,"[128, 128]"
R.bin:model.layers.8.self_attn.R2,175ec0bf08caaf84,"[128, 128]"
R.bin:model.layers.9.self_attn.R2,88eb3230ec29e4c7,"[128, 128]"
R.bin:model.layers.10.self_attn.R2,1f49c2e19a077745,"[128, 128]"
R.bin:model.layers.11.self_attn.R2,ad23c590233aae51,"[128, 128]"
R.bin:model.layers.12.self_attn.R2,3f758d33c4db8ea4,"[128, 128]"
R.bin:model.layers.13.self_attn.R2,894e27227a575635,"[128, 128]"
R.bin:model.layers.14.self_attn.R2,fff1d252233a9cda,"[128, 128]"
R.bin:model.layers.15.self_attn.R2,baf93893f3f567a8,"[128, 128]"
R.bin:model.layers.16.self_attn.R2,2d593189e9ac04cc,"[128, 128]"
R.bin:model.layers.17.self_attn.R2,f14a49c0f01524b6,"[128, 128]"
R.bin:model.layers.18.self_attn.R2,f8891eb79d2691a3,"[128, 128]"
R.bin:model.layers.19.self_attn.R2,d2148bbc8fa99a75,"[128, 128]"
R.bin:model.layers.20.self_attn.R2,c5bcd3821998bd6c,"[128, 128]"
R.bin:model.layers.21.self_attn.R2,937359c8e186116b,"[128, 128]"
R.bin:model.layers.22.self_attn.R2,34c55468ea7de65d,"[128, 128]"
R.bin:model.layers.23.self_attn.R2,b102027e3c31f152,"[128, 128]"
R.bin:model.layers.24.self_attn.R2,7697f70870be9992,"[128, 128]"
R.bin:model.layers.25.self_attn.R2,3202dc7c7a3a123a,"[128, 128]"
R.bin:model.layers.26.self_attn.R2,fcc3c2a689580b09,"[128, 128]"
R.bin:model.layers.27.self_attn.R2,bd1c47c27a5055c2,"[128, 128]"
R.bin:model.layers.28.self_attn.R2,7b596db3bbb3284c,"[128, 128]"
R.bin:model.layers.29.self_attn.R2,c302ad66b37bfd43,"[128, 128]"
R.bin:model.layers.30.self_attn.R2,b79537e49c6e0b0d,"[128, 128]"
R.bin:model.layers.31.self_attn.R2,444ec2e199b5f81a,"[128, 128]"
