window,start,end,n_pred,sum_nll,mean_nll
0,0,2049,2048,2803.321533,1.368809
1,2048,4097,2048,3872.715576,1.890974
2,4096,6145,2048,4339.88916,2.119087
3,6144,8193,2048,3922.66333,1.915363
4,8192,10241,2048,3054.899902,1.49165
5,10240,12289,2048,3308.370605,1.615415
6,12288,14337,2048,2669.225586,1.303333
7,14336,16385,2048,2479.833008,1.210856
8,16384,18433,2048,3216.98877,1.570795
9,18432,20481,2048,3426.783691,1.673234
10,20480,22529,2048,3684.377686,1.799013
11,22528,24577,2048,3589.219482,1.752549
12,24576,26625,2048,3252.7229,1.588244
13,26624,28673,2048,3730.908936,1.821733
14,28672,30721,2048,3932.661377,1.920245
15,30720,32768,2047,4065.174316,1.985918
