window,start,end,n_pred,sum_nll,mean_nll
0,0,2048,2047,2801.34326171875,1.3685115575790405
1,2048,4096,2047,3871.742431640625,1.8914227485656738
2,4096,6144,2047,4337.74462890625,2.1190741062164307
3,6144,8192,2047,3922.73583984375,1.9163340330123901
4,8192,10240,2047,3054.178466796875,1.4920265674591064
5,10240,12288,2047,3305.2666015625,1.6146881580352783
6,12288,14336,2047,2669.1494140625,1.3039323091506958
7,14336,16384,2047,2477.457275390625,1.2102868556976318
8,16384,18432,2047,3216.29248046875,1.5712225437164307
9,18432,20480,2047,3425.488037109375,1.673418641090393
10,20480,22528,2047,3683.0517578125,1.799243688583374
11,22528,24576,2047,3589.02392578125,1.7533092498779297
12,24576,26624,2047,3252.578369140625,1.5889488458633423
13,26624,28672,2047,3724.966796875,1.8197200298309326
14,28672,30720,2047,3931.557373046875,1.9206435680389404
15,30720,32768,2047,4065.035400390625,1.985850214958191
16,32768,34816,2047,3925.39306640625,1.9176322221755981
17,34816,36864,2047,4023.2919921875,1.965457797050476
18,36864,38912,2047,4295.43798828125,2.0984065532684326
19,38912,40960,2047,3822.38134765625,1.8673088550567627
20,40960,43008,2047,3602.16748046875,1.7597301006317139
21,43008,45056,2047,3127.85205078125,1.5280176401138306
22,45056,47104,2047,3025.93701171875,1.4782301187515259
23,47104,49152,2047,3891.06396484375,1.9008617401123047
24,49152,51200,2047,3921.67431640625,1.9158154726028442
25,51200,53248,2047,3806.500244140625,1.8595507144927979
26,53248,55296,2047,3937.166015625,1.9233834743499756
27,55296,57344,2047,3757.044677734375,1.8353906869888306
28,57344,59392,2047,4159.5302734375,2.032012939453125
29,59392,61440,2047,3602.22607421875,1.759758710861206
30,61440,63488,2047,4508.33203125,2.202409505844116
31,63488,65536,2047,4066.11376953125,1.9863770008087158
32,65536,67584,2047,3999.42138671875,1.9537965059280396
33,67584,69632,2047,3593.8251953125,1.7556546926498413
34,69632,71680,2047,3198.35986328125,1.5624620914459229
35,71680,73728,2047,3013.356689453125,1.472084403038025
36,73728,75776,2047,2868.63427734375,1.4013845920562744
37,75776,77824,2047,3386.60986328125,1.6544259786605835
38,77824,79872,2047,3432.34814453125,1.6767699718475342
39,79872,81920,2047,3877.54248046875,1.8942562341690063
40,81920,83968,2047,3591.7119140625,1.7546223402023315
41,83968,86016,2047,2539.40966796875,1.2405518293380737
42,86016,88064,2047,2219.7451171875,1.0843894481658936
43,88064,90112,2047,2629.115234375,1.2843748331069946
44,90112,92160,2047,2270.373046875,1.1091221570968628
45,92160,94208,2047,2515.520263671875,1.2288813591003418
46,94208,96256,2047,2793.02197265625,1.3644465208053589
47,96256,98304,2047,3556.7177734375,1.7375270128250122
48,98304,100352,2047,4550.3984375,2.2229597568511963
49,100352,102400,2047,4581.587890625,2.23819637298584
50,102400,104448,2047,4232.7763671875,2.0677950382232666
51,104448,106496,2047,4057.232421875,1.9820382595062256
52,106496,108544,2047,3896.849853515625,1.9036883115768433
53,108544,110592,2047,3656.27783203125,1.7861640453338623
54,110592,112640,2047,3828.269775390625,1.8701854944229126
55,112640,114688,2047,3952.830322265625,1.9310358762741089
56,114688,116736,2047,2981.688720703125,1.4566138982772827
57,116736,118784,2047,3978.40234375,1.9435282945632935
58,118784,120832,2047,3351.21044921875,1.6371326446533203
59,120832,122880,2047,2939.58935546875,1.4360475540161133
60,122880,124928,2047,2990.20751953125,1.4607754945755005
61,124928,126976,2047,3032.72998046875,1.481548547744751
62,126976,129024,2047,2757.526611328125,1.3471063375473022
63,129024,131072,2047,2952.216796875,1.4422162771224976
64,131072,133120,2047,2611.827880859375,1.275929570198059
65,133120,135168,2047,2517.74853515625,1.2299699783325195
66,135168,137216,2047,2637.484375,1.2884633541107178
67,137216,139264,2047,3299.251708984375,1.6117497682571411
68,139264,141312,2047,3728.9609375,1.8216712474822998
69,141312,143360,2047,3885.83056640625,1.898305058479309
70,143360,145408,2047,4049.43798828125,1.978230595588684
71,145408,147456,2047,4197.4521484375,2.0505385398864746
72,147456,149504,2047,4396.6181640625,2.1478350162506104
73,149504,151552,2047,2635.58251953125,1.287534236907959
74,151552,153600,2047,2782.63916015625,1.3593742847442627
75,153600,155648,2047,3336.22412109375,1.6298115253448486
76,155648,157696,2047,2923.262451171875,1.4280714988708496
77,157696,159744,2047,2886.82666015625,1.4102718830108643
78,159744,161792,2047,3030.737548828125,1.4805752038955688
79,161792,163840,2047,2884.002197265625,1.4088921546936035
80,163840,165888,2047,1896.3792724609375,0.9264187812805176
81,165888,167936,2047,3716.67431640625,1.8156689405441284
82,167936,169984,2047,3759.46142578125,1.8365713357925415
83,169984,172032,2047,3973.78662109375,1.9412733316421509
84,172032,174080,2047,3769.13037109375,1.841294765472412
85,174080,176128,2047,3263.74853515625,1.5944057703018188
86,176128,178176,2047,3500.352294921875,1.7099913358688354
87,178176,180224,2047,3489.890869140625,1.704880714416504
88,180224,182272,2047,3668.093017578125,1.7919360399246216
89,182272,184320,2047,3425.1044921875,1.6732313632965088
90,184320,186368,2047,3535.203369140625,1.727016806602478
91,186368,188416,2047,3672.58837890625,1.794132113456726
92,188416,190464,2047,4195.70703125,2.0496859550476074
93,190464,192512,2047,3296.035400390625,1.6101784706115723
94,192512,194560,2047,3321.70361328125,1.6227179765701294
95,194560,196608,2047,3394.91259765625,1.6584819555282593
96,196608,198656,2047,3437.193115234375,1.679136872291565
97,198656,200704,2047,3122.67138671875,1.525486707687378
98,200704,202752,2047,2970.60107421875,1.4511973857879639
