window,start,end,n_pred,sum_nll,mean_nll
0,0,2049,2048,3272.004395,1.597658
1,2048,4097,2048,4341.351074,2.1198
2,4096,6145,2048,4875.321289,2.380528
3,6144,8193,2048,4473.844727,2.184494
4,8192,10241,2048,3509.690918,1.713716
5,10240,12289,2048,3872.240479,1.890742
6,12288,14337,2048,3190.295898,1.557762
7,14336,16385,2048,3006.386475,1.467962
8,16384,18433,2048,3684.682617,1.799161
9,18432,20481,2048,3970.481934,1.938712
10,20480,22529,2048,4190.630371,2.046206
11,22528,24577,2048,4049.900635,1.977491
12,24576,26625,2048,3644.408936,1.779497
13,26624,28673,2048,4144.028809,2.023452
14,28672,30721,2048,4371.60791,2.134574
15,30720,32768,2047,4531.916992,2.213931
