window,start,end,n_pred,sum_nll,mean_nll
0,0,2048,2047,3270.174072265625,1.59754478931427
1,2048,4096,2047,4339.80078125,2.1200785636901855
2,4096,6144,2047,4871.89111328125,2.3800151348114014
3,6144,8192,2047,4473.9140625,2.1855955123901367
4,8192,10240,2047,3508.92822265625,1.714180827140808
5,10240,12288,2047,3868.6591796875,1.8899165391921997
6,12288,14336,2047,3189.8662109375,1.5583127737045288
7,14336,16384,2047,3005.02978515625,1.468016505241394
8,16384,18432,2047,3683.25,1.7993404865264893
9,18432,20480,2047,3969.5244140625,1.939191222190857
10,20480,22528,2047,4188.7314453125,2.046278238296509
11,22528,24576,2047,4049.381103515625,1.9782028198242188
12,24576,26624,2047,3643.769287109375,1.7800533771514893
13,26624,28672,2047,4137.9111328125,2.021451473236084
14,28672,30720,2047,4370.376953125,2.1350157260894775
15,30720,32768,2047,4531.72314453125,2.213836431503296
16,32768,34816,2047,4398.74267578125,2.1488728523254395
17,34816,36864,2047,4496.0087890625,2.1963891983032227
18,36864,38912,2047,4788.94189453125,2.3394927978515625
19,38912,40960,2047,4243.7939453125,2.0731773376464844
20,40960,43008,2047,4233.208984375,2.0680062770843506
21,43008,45056,2047,3626.68798828125,1.7717088460922241
22,45056,47104,2047,3538.052978515625,1.728408932685852
23,47104,49152,2047,4378.37939453125,2.138925075531006
24,49152,51200,2047,4294.63818359375,2.098015785217285
25,51200,53248,2047,4295.462890625,2.098418712615967
26,53248,55296,2047,4437.8505859375,2.167977809906006
27,55296,57344,2047,4247.6328125,2.0750527381896973
28,57344,59392,2047,4590.19970703125,2.242403268814087
29,59392,61440,2047,4066.23779296875,1.9864375591278076
30,61440,63488,2047,4992.30859375,2.4388415813446045
31,63488,65536,2047,4573.60546875,2.2342967987060547
32,65536,67584,2047,4509.18505859375,2.2028260231018066
33,67584,69632,2047,4107.70703125,2.0066962242126465
34,69632,71680,2047,3578.191650390625,1.748017430305481
35,71680,73728,2047,3556.98193359375,1.7376559972763062
36,73728,75776,2047,3347.5078125,1.6353237628936768
37,75776,77824,2047,3874.0107421875,1.892530918121338
38,77824,79872,2047,3908.8701171875,1.9095604419708252
39,79872,81920,2047,4367.61669921875,2.133667230606079
40,81920,83968,2047,4107.111328125,2.0064051151275635
41,83968,86016,2047,2996.98828125,1.4640880823135376
42,86016,88064,2047,2670.661865234375,1.3046711683273315
43,88064,90112,2047,3108.046875,1.51834237575531
44,90112,92160,2047,2705.45849609375,1.3216700553894043
45,92160,94208,2047,2985.396728515625,1.4584254026412964
46,94208,96256,2047,3255.31640625,1.5902864933013916
47,96256,98304,2047,4002.379638671875,1.9552416801452637
48,98304,100352,2047,5023.54638671875,2.454101800918579
49,100352,102400,2047,5104.1318359375,2.493469476699829
50,102400,104448,2047,4730.20556640625,2.3107991218566895
51,104448,106496,2047,4568.2744140625,2.2316925525665283
52,106496,108544,2047,4312.98779296875,2.1069798469543457
53,108544,110592,2047,4110.841796875,2.008227586746216
54,110592,112640,2047,4288.60107421875,2.095066547393799
55,112640,114688,2047,4417.7587890625,2.1581625938415527
56,114688,116736,2047,3362.53125,1.6426630020141602
57,116736,118784,2047,4422.474609375,2.160466432571411
58,118784,120832,2047,3908.379638671875,1.9093208312988281
59,120832,122880,2047,3514.61376953125,1.7169584035873413
60,122880,124928,2047,3435.599609375,1.6783584356307983
61,124928,126976,2047,3538.3125,1.7285356521606445
62,126976,129024,2047,3240.8798828125,1.5832339525222778
63,129024,131072,2047,3435.071533203125,1.678100347518921
64,131072,133120,2047,3090.389892578125,1.5097166299819946
65,133120,135168,2047,2970.258056640625,1.4510297775268555
66,135168,137216,2047,3347.74560546875,1.6354399919509888
67,137216,139264,2047,3796.668701171875,1.8547477722167969
68,139264,141312,2047,4346.62890625,2.1234142780303955
69,141312,143360,2047,4330.384765625,2.115478515625
70,143360,145408,2047,4507.91455078125,2.2022054195404053
71,145408,147456,2047,4613.02880859375,2.2535557746887207
72,147456,149504,2047,4862.095703125,2.375229835510254
73,149504,151552,2047,3146.05029296875,1.5369077920913696
74,151552,153600,2047,3331.33837890625,1.627424716949463
75,153600,155648,2047,3818.015625,1.8651762008666992
76,155648,157696,2047,3422.10107421875,1.6717641353607178
77,157696,159744,2047,3405.29736328125,1.6635551452636719
78,159744,161792,2047,3494.35986328125,1.707063913345337
79,161792,163840,2047,3430.274658203125,1.6757570505142212
80,163840,165888,2047,2378.63818359375,1.1620118618011475
81,165888,167936,2047,4205.78125,2.054607391357422
82,167936,169984,2047,4292.5009765625,2.0969717502593994
83,169984,172032,2047,4545.3837890625,2.2205100059509277
84,172032,174080,2047,4311.4892578125,2.106247901916504
85,174080,176128,2047,3802.5234375,1.8576079607009888
86,176128,178176,2047,4023.48779296875,1.9655534029006958
87,178176,180224,2047,3905.89697265625,1.9081079959869385
88,180224,182272,2047,4226.1357421875,2.0645508766174316
89,182272,184320,2047,4071.88818359375,1.9891979694366455
90,184320,186368,2047,4033.258056640625,1.97032630443573
91,186368,188416,2047,4093.9404296875,1.9999709129333496
92,188416,190464,2047,4672.279296875,2.282500982284546
93,190464,192512,2047,3786.7216796875,1.8498884439468384
94,192512,194560,2047,3820.22021484375,1.866253137588501
95,194560,196608,2047,3876.86279296875,1.8939242362976074
96,196608,198656,2047,3900.755859375,1.905596375465393
97,198656,200704,2047,3614.8720703125,1.7659364938735962
98,200704,202752,2047,3513.0283203125,1.7161837816238403
99,202752,204800,2047,3363.417724609375,1.6430960893630981
100,204800,206848,2047,4093.80810546875,1.999906301498413
101,206848,208896,2047,4241.7119140625,2.072160243988037
102,208896,210944,2047,4184.3623046875,2.0441436767578125
103,210944,212992,2047,4377.775390625,2.138629913330078
104,212992,215040,2047,5396.58984375,2.636340856552124
105,215040,217088,2047,5108.1455078125,2.4954302310943604
106,217088,219136,2047,4769.5859375,2.3300371170043945
107,219136,221184,2047,4741.244140625,2.3161916732788086
108,221184,223232,2047,4969.8466796875,2.427868366241455
109,223232,225280,2047,4815.3291015625,2.352383613586426
110,225280,227328,2047,4409.2080078125,2.1539852619171143
111,227328,229376,2047,4262.04296875,2.08209228515625
112,229376,231424,2047,4013.443359375,1.9606465101242065
113,231424,233472,2047,4342.37353515625,2.12133526802063
114,233472,235520,2047,3427.725341796875,1.6745116710662842
115,235520,237568,2047,3727.632568359375,1.8210222721099854
116,237568,239616,2047,4111.5986328125,2.0085973739624023
117,239616,241664,2047,3900.216796875,1.9053330421447754
118,241664,243712,2047,3744.54345703125,1.829283595085144
119,243712,245760,2047,4055.42041015625,1.981153130531311
120,245760,247808,2047,3748.51953125,1.8312259912490845
121,247808,249856,2047,4096.50537109375,2.0012240409851074
122,249856,251904,2047,3955.97216796875,1.9325706958770752
123,251904,253952,2047,3542.625,1.7306424379348755
124,253952,256000,2047,3499.689697265625,1.709667682647705
125,256000,258048,2047,3330.642822265625,1.6270849704742432
126,258048,260096,2047,3340.889404296875,1.6320905685424805
127,260096,262144,2047,3581.953369140625,1.7498550415039062
128,262144,264192,2047,3713.26806640625,1.814004898071289
129,264192,266240,2047,4007.06591796875,1.9575309753417969
130,266240,268288,2047,4307.2666015625,2.104184865951538
131,268288,270336,2047,4213.71484375,2.058483123779297
132,270336,272384,2047,4233.67431640625,2.0682337284088135
133,272384,274432,2047,4389.44921875,2.1443328857421875
134,274432,276480,2047,3326.89306640625,1.6252530813217163
135,276480,278528,2047,4020.606689453125,1.9641458988189697
136,278528,280576,2047,4058.4638671875,1.9826399087905884
137,280576,282624,2047,4269.380859375,2.085676908493042
138,282624,284672,2047,3741.559326171875,1.8278257846832275
139,284672,286720,2047,3687.892578125,1.8016084432601929
140,286720,288768,2047,3573.14892578125,1.745553970336914
141,288768,290816,2047,3794.2646484375,1.8535733222961426
142,290816,292864,2047,3543.4697265625,1.7310550212860107
143,292864,294912,2047,4402.39794921875,2.15065860748291
144,294912,296960,2047,3767.373046875,1.8404362201690674
145,296960,299008,2047,3984.521728515625,1.9465177059173584
146,299008,301056,2047,3671.408203125,1.793555498123169
