module,official_sha,inprocess_sha,identical
lm_head,5b5f0fd9faa44278,5b5f0fd9faa44278,True
lm_head.module,5b5f0fd9faa44278,5b5f0fd9faa44278,True
model.embed_tokens,a057bfa1b2ad7055,a057bfa1b2ad7055,True
model.layers.0.mlp.down_proj,affdc2337984569a,affdc2337984569a,True
model.layers.0.mlp.down_proj.module,affdc2337984569a,affdc2337984569a,True
model.layers.0.mlp.gate_proj,395c79fab3784b89,395c79fab3784b89,True
model.layers.0.mlp.gate_proj.module,395c79fab3784b89,395c79fab3784b89,True
model.layers.0.mlp.up_proj,86c72e694f7c2d57,86c72e694f7c2d57,True
model.layers.0.mlp.up_proj.module,86c72e694f7c2d57,86c72e694f7c2d57,True
model.layers.0.self_attn.k_proj,e405948352a9bbc5,e405948352a9bbc5,True
model.layers.0.self_attn.k_proj.module,e405948352a9bbc5,e405948352a9bbc5,True
model.layers.0.self_attn.o_proj,22ae7a6d424b61f9,22ae7a6d424b61f9,True
model.layers.0.self_attn.o_proj.module,22ae7a6d424b61f9,22ae7a6d424b61f9,True
model.layers.0.self_attn.q_proj,9b4a20d94aa77783,9b4a20d94aa77783,True
model.layers.0.self_attn.q_proj.module,9b4a20d94aa77783,9b4a20d94aa77783,True
model.layers.0.self_attn.v_proj,96fbfdbc2c05c759,96fbfdbc2c05c759,True
model.layers.0.self_attn.v_proj.module,96fbfdbc2c05c759,96fbfdbc2c05c759,True
model.layers.1.mlp.down_proj,99875bf2901068bf,99875bf2901068bf,True
model.layers.1.mlp.down_proj.module,99875bf2901068bf,99875bf2901068bf,True
model.layers.1.mlp.gate_proj,8a9f73f8502b747e,8a9f73f8502b747e,True
model.layers.1.mlp.gate_proj.module,8a9f73f8502b747e,8a9f73f8502b747e,True
model.layers.1.mlp.up_proj,a792826b6a9bb408,a792826b6a9bb408,True
model.layers.1.mlp.up_proj.module,a792826b6a9bb408,a792826b6a9bb408,True
model.layers.1.self_attn.k_proj,d1997b084a66765e,d1997b084a66765e,True
model.layers.1.self_attn.k_proj.module,d1997b084a66765e,d1997b084a66765e,True
model.layers.1.self_attn.o_proj,1d919fa640496802,1d919fa640496802,True
model.layers.1.self_attn.o_proj.module,1d919fa640496802,1d919fa640496802,True
model.layers.1.self_attn.q_proj,2bd1b848eba50ea5,2bd1b848eba50ea5,True
model.layers.1.self_attn.q_proj.module,2bd1b848eba50ea5,2bd1b848eba50ea5,True
model.layers.1.self_attn.v_proj,d3f7dc5b8acd1d3b,d3f7dc5b8acd1d3b,True
model.layers.1.self_attn.v_proj.module,d3f7dc5b8acd1d3b,d3f7dc5b8acd1d3b,True
model.layers.10.mlp.down_proj,5abac42b9c3f4567,5abac42b9c3f4567,True
model.layers.10.mlp.down_proj.module,5abac42b9c3f4567,5abac42b9c3f4567,True
model.layers.10.mlp.gate_proj,18b246a46bc4742d,18b246a46bc4742d,True
model.layers.10.mlp.gate_proj.module,18b246a46bc4742d,18b246a46bc4742d,True
model.layers.10.mlp.up_proj,94888a3cb85a8975,94888a3cb85a8975,True
model.layers.10.mlp.up_proj.module,94888a3cb85a8975,94888a3cb85a8975,True
model.layers.10.self_attn.k_proj,0fb496d209d35e9a,0fb496d209d35e9a,True
model.layers.10.self_attn.k_proj.module,0fb496d209d35e9a,0fb496d209d35e9a,True
model.layers.10.self_attn.o_proj,0e458655b5d60d67,0e458655b5d60d67,True
model.layers.10.self_attn.o_proj.module,0e458655b5d60d67,0e458655b5d60d67,True
model.layers.10.self_attn.q_proj,32ce579507ffb0ac,32ce579507ffb0ac,True
model.layers.10.self_attn.q_proj.module,32ce579507ffb0ac,32ce579507ffb0ac,True
model.layers.10.self_attn.v_proj,482b3c0b02619075,482b3c0b02619075,True
model.layers.10.self_attn.v_proj.module,482b3c0b02619075,482b3c0b02619075,True
model.layers.11.mlp.down_proj,435ea9434c5865f4,435ea9434c5865f4,True
