model,seed,fp16_ppl,w4a4_ppl,ce_delta,ppl_ratio
base,0,5.4697,7.9412,0.37283,1.4518
base,1,5.4697,7.6518,0.33572,1.3989
base,2,5.4697,8.0186,0.38253,1.466
base,3,5.4697,7.7329,0.34626,1.4138
base,4,5.4697,7.6824,0.33971,1.4045
base,5,5.4697,8.4942,0.44016,1.553
base,6,5.4697,8.2038,0.40537,1.4999
base,7,5.4697,7.8345,0.35931,1.4323
base,8,5.4697,7.8182,0.35722,1.4294
base,9,5.4697,7.6328,0.33323,1.3955
chat,0,6.9452,10.6272,0.42537,1.5302
chat,1,6.9452,11.9897,0.546,1.7263
chat,2,6.9452,10.462,0.40971,1.5064
chat,3,6.9452,10.4264,0.4063,1.5012
chat,4,6.9452,11.0069,0.46047,1.5848
chat,5,6.9452,11.0797,0.46707,1.5953
chat,6,6.9452,11.7025,0.52176,1.685
chat,7,6.9452,10.9535,0.45562,1.5771
chat,8,6.9452,12.9468,0.6228,1.8641
chat,9,6.9452,11.5512,0.50875,1.6632
