config,model,rotation,quant,evaluator,ppl,ce
base_fp16,Llama-2-7b-hf,none,fp16,official,5.4697,1.69922
base_rh0_rtn_w4a4kv16,Llama-2-7b-hf,random_hadamard_seed0,rtn_wclip,official,7.9412,2.07206
base_learned_rtn_w4a4kv16,Llama-2-7b-hf,learned_official_artifact,rtn_wclip,official,6.1972,1.8241
base_learned_gptq_w4a4kv16,Llama-2-7b-hf,learned_official_artifact,gptq_wclip,official,6.859,1.92556
base_learned_gptq_actorder,Llama-2-7b-hf,learned_official_artifact,gptq_wclip_actorder,official,6.8337,1.92187
base_learned_gptq_noclip,Llama-2-7b-hf,learned_official_artifact,gptq_noclip,official,7.8433,2.05966
chat_fp16,Llama-2-7b-chat-hf,none,fp16,official,6.9452,1.93805
chat_rh0_rtn_w4a4kv16_official,Llama-2-7b-chat-hf,random_hadamard_seed0,rtn_wclip,official,10.6272,2.36342
chat_rh0_rtn_w4a4kv16_inprocess,Llama-2-7b-chat-hf,random_hadamard_seed0,rtn_mseclip_inprocess,official_contract,10.5254,2.35379
chat_rh0_rtn_w4a4kv16_OLD_prefix_metric,Llama-2-7b-chat-hf,random_hadamard_seed0,rtn_mseclip_inprocess,32k_prefix_LEGACY,10.3263,2.33469
