tag,family,mean4,H_Q,D_Q,down_flip
FIN_DP_B_conv_beta1_s0_st0600,soft-cell-600,3.5492,0.04421792605507698,0.004559398685070539,0.08270713686943054
FIN_DP_B_conv_beta1_s1_st0600,soft-cell-600,3.5538,0.04443478120440175,0.004581508682970166,0.08337914943695068
FIN_DP_B_conv_beta1_s2_st0600,soft-cell-600,3.5523,0.044229318195743786,0.004563356425902164,0.08284814655780792
FIN_DP_B_hybrid_beta0.1_s0_st0600,soft-cell-600,3.5523,0.028178062884260245,0.003037065820617812,0.034918162971735
FIN_DP_B_hybrid_beta0.1_s1_st0600,soft-cell-600,3.5634,0.027944301352890548,0.0030160234417308295,0.03432590886950493
FIN_DP_B_hybrid_beta0.1_s2_st0600,soft-cell-600,3.5525,0.028199043719221183,0.0030403059909067543,0.034906964749097824
FIN_FD_B_conv_beta1_s0_st0600,soft-cell-3000,3.4822,0.0675076547763691,0.00693945241418449,0.13516779243946075
FIN_FD_B_conv_beta1_s1_st0600,soft-cell-3000,3.4812,0.06757314288662565,0.006946353768127988,0.13546369969844818
FIN_FD_B_conv_beta1_s2_st0600,soft-cell-3000,3.48,0.06786829581056587,0.006974142593599802,0.13626883924007416
FIN_HB_B_conv_b0.0025_s0_st0600,hard-budget,3.2788,0.012360865967746838,0.0007247390799804868,0.004314666613936424
FIN_HB_B_conv_b0.005_s0_st3000,hard-budget,3.5627,0.016306361335724707,0.0008356797709663178,0.00040491236723028123
FIN_HB_B_conv_b0.01_s0_st3000,hard-budget,3.56,0.015836029201166175,0.0008138402121640952,0.0006351914489641786
FIN_HB_B_conv_b0.02_s0_st3000,hard-budget,3.5877,0.015551474307761583,0.0008004062887797052,0.0005546392640098929
FIN_HB_B_conv_b0.05_s0_st3000,hard-budget,3.5636,0.015374584420645748,0.0007933470317074664,0.0006975129363127053
FIN_HB_B_hybrid_b0.0025_s0_st3000,hard-budget,3.5941,0.013247719998489558,0.0006734499834543017,2.348700218135491e-05
FIN_HB_B_hybrid_b0.005_s0_st3000,hard-budget,3.6276,0.01301373210862453,0.0006615737834103874,1.758752841851674e-05
FIN_HB_B_hybrid_b0.01_s0_st3000,hard-budget,3.6021,0.012825390708121808,0.0006519082685949625,2.85436944977846e-05
FIN_HB_B_hybrid_b0.02_s0_st3000,hard-budget,3.5991,0.012695798614145716,0.0006453451339313392,2.532781581976451e-05
FIN_HB_B_hybrid_b0.05_s0_st3000,hard-budget,3.5991,0.012695798614145716,0.0006453451339313392,2.532781581976451e-05
PTQ (anchor c0),ptq,3.4788,0.0,0.0,0.0
plain QAT 1e-5 (s0),plain-qat,3.4443,0.1389796297837788,0.014350552357941514,0.31016674637794495
