tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
CANON_B9,int4,gsm8k,gsm8k_test_0,"[4, 2, 4, 4, 3, 3, 3, 4, 3, 3, 5, 6, 6, 3, 5, 3, 4, 4, 2, 2, 2, 3, 6, 4, 4, 3, 3, 5, 5, 3, 2, 6, 3, 3, 3]",35,4.799
CANON_B9,int4,gsm8k,gsm8k_test_1,"[4, 2, 4, 4, 3, 3, 4, 4, 5, 5, 4, 4, 1, 6, 4, 5, 2, 1, 2, 6, 6, 2, 2, 4, 5, 4, 4, 2, 5, 3, 1, 4, 5, 4, 3, 4]",36,4.529
CANON_B9,int4,gsm8k,gsm8k_test_2,"[4, 4, 3, 3, 4, 6, 3, 6, 5, 2, 3, 4, 5, 4, 1, 4, 5, 4, 5, 6, 6, 5, 3, 2, 6, 4, 5, 2, 4, 5, 4, 2]",32,4.046
CANON_B9,int4,gsm8k,gsm8k_test_3,"[4, 4, 4, 2, 3, 5, 4, 6, 4, 2, 4, 1, 3, 3, 6, 3, 6, 2, 2, 6, 3, 5, 5, 3, 6, 4, 2, 4, 3, 4, 3, 3, 6, 4]",34,4.29
CANON_B9,int4,gsm8k,gsm8k_test_4,"[4, 3, 5, 3, 1, 3, 3, 4, 2, 2, 4, 3, 6, 4, 3, 2, 3, 3, 4, 6, 3, 4, 4, 4, 4, 5, 3, 6, 4, 3, 6, 6, 3, 2, 4]",35,4.397
CANON_B9,int4,gsm8k,gsm8k_test_5,"[3, 4, 4, 4, 3, 6, 4, 6, 4, 4, 2, 4, 4, 3, 5, 4, 3, 6, 4, 3, 6, 5, 2, 4, 6, 2, 5, 2, 6, 5, 2, 4]",32,4.037
CANON_B9,int4,gsm8k,gsm8k_test_6,"[4, 4, 4, 4, 3, 2, 4, 2, 6, 3, 1, 6, 4, 1, 6, 5, 4, 4, 4, 3, 5, 1, 2, 2, 2, 6, 4, 5, 5, 6, 4, 3, 6, 6]",34,4.285
CANON_B9,int4,gsm8k,gsm8k_test_7,"[3, 1, 3, 3, 6, 5, 4, 1, 5, 5, 2, 5, 2, 5, 5, 6, 6, 1, 3, 4, 6, 4, 3, 3, 1, 3, 3, 1, 4, 6, 3, 4, 4, 2, 4, 2]",36,4.516
CANON_B9,int4,gsm8k,gsm8k_test_8,"[3, 2, 4, 3, 3, 5, 3, 4, 4, 5, 4, 5, 4, 2, 6, 1, 2, 2, 2, 6, 6, 4, 4, 4, 4, 4, 5, 4, 4, 4, 5, 2, 6, 4]",34,4.292
CANON_B9,int4,gsm8k,gsm8k_test_9,"[3, 4, 4, 4, 3, 3, 5, 4, 3, 5, 4, 6, 2, 4, 4, 4, 6, 1, 6, 3, 4, 4, 6, 4, 6, 4, 6, 6, 2, 3, 2, 6]",32,4.024
CANON_B9,int4,gsm8k,gsm8k_test_10,"[6, 4, 3, 4, 6, 4, 4, 3, 3, 1, 6, 3, 2, 4, 6, 4, 5, 5, 6, 5, 6, 6, 2, 4, 5, 2, 4, 6, 6, 4]",30,3.76
