tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
CANON_B9,int4,mtbench,81,"[3, 1, 3, 3, 2, 4, 3, 4, 5, 6, 3, 4, 3, 2, 2, 3, 3, 3, 6, 3, 4, 4, 3, 2, 1, 1, 4, 5, 3, 1, 2, 1, 2, 2, 1, 3, 4, 3, 3, 2, 3, 6, 2]",43,7.598
CANON_B9,int4,mtbench,82,"[4, 2, 2, 2, 5, 6, 6, 4, 3, 6, 2, 5, 5, 4, 4, 3, 4, 5, 5, 3, 2, 2, 4, 4, 1, 5, 2, 1, 3, 3, 2, 1, 1, 2, 2, 2, 3, 5, 5]",39,6.61
CANON_B9,int4,mtbench,83,"[4, 6, 4, 6, 3, 4, 4, 3, 3, 5, 2, 2, 5, 1, 1, 4, 3, 1, 5, 2, 5, 3, 4, 2, 2, 3, 2, 2, 1, 1, 3, 2, 1, 2, 4, 4, 4, 1, 3, 1, 1, 4, 2, 1, 1, 3]",46,7.683
CANON_B9,int4,mtbench,84,"[4, 2, 1, 2, 2, 2, 5, 3, 2, 6, 4, 5, 4, 2, 4, 2, 5, 4, 1, 2, 2, 2, 5, 2, 3, 4, 3, 2, 3, 3, 2, 2, 2, 2, 2, 1, 3, 3, 4, 4, 3, 1, 4, 4]",44,7.4
CANON_B9,int4,mtbench,85,"[3, 4, 4, 4, 3, 2, 4, 3, 3, 4, 2, 4, 2, 1, 1, 2, 3, 1, 1, 1, 4, 2, 1, 1, 2, 4, 2, 3, 1, 3, 1, 3, 1, 2, 2, 5, 2, 2, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 4, 2, 2]",53,8.836
CANON_B9,int4,mtbench,86,"[1, 3, 2, 6, 3, 1, 5, 3, 3, 2, 1, 1, 2, 4, 1, 2, 5, 3, 1, 2, 3, 1, 2, 1, 1, 2, 1, 3, 3, 3, 4, 3, 3, 4, 3, 2, 4, 1, 3, 1, 2, 3, 3, 2, 3, 2, 1, 4, 3, 2, 2, 1, 1]",53,7.555
CANON_B9,int4,mtbench,87,"[2, 4, 5, 2, 5, 4, 2, 3, 3, 2, 2, 4, 3, 1, 2, 4, 6, 3, 4, 4, 3, 2, 3, 3, 2, 1, 4, 4, 1, 2, 3, 3, 2, 3, 4, 3, 3, 2, 2, 2, 2, 2, 3, 4]",44,5.562
CANON_B9,int4,mtbench,88,"[1, 3, 3, 2, 2, 1, 1, 4, 3, 2, 2, 4, 1, 1, 3, 4, 2, 4, 3, 2, 2, 2, 1, 4, 3, 2, 4, 3, 1, 2, 2, 3, 2, 1, 1, 2, 2, 3, 2, 4, 2, 4, 2, 2, 1, 1, 1, 4, 4, 1, 2, 4, 1, 3, 2]",55,6.948
CANON_B9,int4,mtbench,89,"[1, 5, 6, 4, 4, 4, 5, 2, 3, 2, 4, 3, 4, 4, 4, 4, 2, 4, 2, 2, 1, 4, 2, 1, 4, 1, 2, 5, 5, 4, 5, 4, 2, 3, 2, 3, 4, 2, 1, 1, 2, 1]",42,5.324
CANON_B9,int4,mtbench,90,"[1, 4, 3, 3, 3, 4, 4, 2, 3, 2, 3, 4, 4, 1, 1, 4, 2, 3, 3, 4, 4, 4, 3, 3, 4, 2, 3, 3, 1]",29,3.747
