tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
CFIN_P2conv_gsr5_s0,int4,mtbench,81,"[5, 2, 3, 3, 2, 4, 2, 2, 5, 6, 4, 1, 3, 2, 2, 1, 4, 2, 3, 2, 1, 2, 3, 5, 2, 4, 3, 3, 1, 2, 1, 3, 4, 1, 1, 3, 4, 3, 2, 2, 3, 3, 2, 5, 5, 3]",46,8.293
CFIN_P2conv_gsr5_s0,int4,mtbench,82,"[5, 3, 2, 2, 5, 5, 5, 3, 3, 3, 4, 2, 5, 3, 5, 3, 3, 2, 5, 4, 5, 5, 4, 4, 4, 1, 5, 2, 2, 4, 4, 1, 3, 4, 4, 4]",36,6.173
CFIN_P2conv_gsr5_s0,int4,mtbench,83,"[6, 3, 4, 4, 5, 5, 6, 2, 4, 4, 4, 2, 4, 1, 1, 4, 1, 1, 2, 4, 2, 3, 3, 6, 3, 2, 5, 4, 2, 2, 3, 1, 3, 4, 2, 1, 2, 3, 3, 2, 1, 3, 4]",43,7.285
CFIN_P2conv_gsr5_s0,int4,mtbench,84,"[4, 2, 3, 3, 5, 4, 4, 4, 3, 3, 4, 4, 5, 1, 2, 5, 4, 6, 4, 3, 5, 1, 3, 2, 3, 4, 4, 3, 3, 1, 2, 6, 2, 2, 2, 3, 2, 1, 3, 3]",40,5.864
CFIN_P2conv_gsr5_s0,int4,mtbench,85,"[6, 6, 4, 3, 4, 4, 3, 4, 2, 2, 1, 3, 3, 2, 4, 2, 3, 1, 1, 6, 2, 4, 2, 3, 3, 1, 2, 3, 2, 2, 4, 3, 2, 2, 1, 2, 2, 2, 2, 2, 2, 4, 2, 2, 2, 3, 2, 2]",48,5.989
CFIN_P2conv_gsr5_s0,int4,mtbench,86,"[2, 2, 6, 5, 2, 3, 5, 2, 3, 1, 3, 4, 3, 2, 2, 4, 2, 1, 4, 2, 1, 1, 1, 2, 1, 3, 3, 5, 2, 3, 3, 1, 1, 3, 2, 1, 2, 1, 3, 3, 2, 1, 3, 3, 2, 2, 2, 4, 4, 5]",50,6.239
CFIN_P2conv_gsr5_s0,int4,mtbench,87,"[2, 3, 6, 2, 2, 4, 4, 1, 4, 4, 2, 4, 4, 2, 4, 2, 5, 2, 4, 3, 4, 2, 2, 3, 2, 1, 2, 4, 2, 2, 2, 2, 3, 6, 3, 5, 3, 3, 2, 3, 1, 2, 2, 1, 3]",45,5.64
CFIN_P2conv_gsr5_s0,int4,mtbench,88,"[4, 3, 2, 2, 2, 3, 4, 1, 2, 2, 4, 1, 1, 1, 1, 2, 1, 2, 2, 1, 3, 1, 2, 2, 5, 3, 2, 2, 4, 3, 3, 3, 3, 3, 3, 3, 2, 4, 2, 2, 3, 1, 2, 2, 1, 2, 5, 3, 4, 2, 3, 2, 2]",53,6.624
CFIN_P2conv_gsr5_s0,int4,mtbench,89,"[1, 2, 6, 2, 2, 5, 3, 5, 5, 4, 3, 3, 3, 4, 3, 3, 3, 2, 4, 2, 1, 1, 1, 2, 3, 6, 1, 2, 3, 2, 3, 2, 5, 2, 4, 5, 3, 6, 2, 5, 3, 3]",42,5.271
CFIN_P2conv_gsr5_s0,int4,mtbench,90,"[1, 1, 5, 3, 3, 3, 4, 2, 1, 3, 2, 4, 5, 2, 1, 4, 4, 2, 4, 4, 3, 2, 2, 2, 4, 2, 4, 3, 3, 4, 2, 2, 4, 4, 2]",35,4.439
