tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
CFIN_P2conv_gsr5_s1,int4,gsm8k,gsm8k_test_0,"[5, 4, 3, 4, 1, 4, 6, 6, 6, 6, 4, 6, 4, 3, 3, 4, 2, 4, 3, 4, 4, 4, 5, 4, 3, 2, 4, 2, 2, 2, 3, 3, 4, 5]",34,6.386
CFIN_P2conv_gsr5_s1,int4,gsm8k,gsm8k_test_1,"[3, 3, 4, 4, 3, 3, 6, 6, 6, 6, 4, 6, 6, 1, 2, 1, 2, 4, 6, 3, 1, 1, 1, 4, 2, 2, 6, 5, 5, 6, 2, 5, 6, 4]",34,5.955
CFIN_P2conv_gsr5_s1,int4,gsm8k,gsm8k_test_2,"[3, 3, 4, 3, 1, 3, 4, 6, 6, 6, 6, 4, 4, 4, 5, 4, 5, 3, 2, 1, 1, 4, 6, 6, 6, 2, 5, 5, 4, 4, 4, 4]",32,5.509
CFIN_P2conv_gsr5_s1,int4,gsm8k,gsm8k_test_3,"[4, 6, 4, 3, 5, 3, 6, 2, 5, 3, 3, 4, 3, 3, 3, 5, 2, 4, 3, 4, 4, 5, 6, 2, 1, 2, 5, 3, 4, 4, 3, 4, 3, 4, 5]",35,5.982
CFIN_P2conv_gsr5_s1,int4,gsm8k,gsm8k_test_4,"[3, 4, 5, 4, 4, 6, 2, 2, 5, 2, 6, 4, 3, 2, 1, 3, 2, 6, 3, 6, 5, 3, 5, 2, 4, 3, 4, 5, 5, 6, 4, 5, 2, 4]",34,4.568
CFIN_P2conv_gsr5_s1,int4,gsm8k,gsm8k_test_5,"[3, 6, 4, 6, 4, 4, 2, 5, 4, 2, 4, 4, 2, 2, 4, 2, 1, 6, 3, 4, 6, 4, 6, 6, 4, 4, 4, 3, 4, 4, 4, 5, 3]",33,4.49
CFIN_P2conv_gsr5_s1,int4,gsm8k,gsm8k_test_6,"[4, 4, 4, 4, 3, 4, 2, 4, 5, 2, 1, 3, 4, 4, 6, 4, 3, 4, 5, 2, 5, 4, 4, 4, 5, 5, 2, 2, 6, 3, 3, 2, 3, 2, 5, 4]",36,4.812
CFIN_P2conv_gsr5_s1,int4,gsm8k,gsm8k_test_7,"[5, 4, 3, 2, 4, 2, 4, 2, 2, 4, 2, 5, 4, 6, 4, 2, 5, 4, 6, 2, 3, 3, 4, 4, 3, 2, 5, 1, 2, 3, 1, 3, 5, 2, 4, 2, 2, 4, 4]",39,5.909
CFIN_P2conv_gsr5_s1,int4,gsm8k,gsm8k_test_8,"[3, 4, 3, 3, 2, 3, 2, 2, 4, 3, 4, 4, 6, 5, 5, 5, 2, 1, 3, 4, 4, 3, 6, 1, 2, 2, 3, 5, 5, 4, 1, 4, 4, 4, 5, 4, 4]",37,6.093
CFIN_P2conv_gsr5_s1,int4,gsm8k,gsm8k_test_9,"[3, 6, 4, 3, 3, 6, 4, 2, 2, 3, 6, 3, 2, 6, 1, 6, 4, 4, 2, 3, 3, 4, 5, 2, 6, 6, 4, 5, 4, 6, 2, 5, 3]",33,5.451
CFIN_P2conv_gsr5_s1,int4,gsm8k,gsm8k_test_10,"[3, 6, 4, 3, 5, 4, 6, 3, 3, 5, 4, 4, 3, 3, 6, 3, 4, 6, 4, 5, 5, 6, 4, 2, 2, 6, 4, 4, 5, 4, 5]",31,5.127
CFIN_P2conv_gsr5_s1,int4,gsm8k,gsm8k_test_11,"[4, 6, 4, 3, 4, 4, 6, 6, 4, 4, 1, 2, 4, 4, 3, 2, 4, 3, 1, 4, 2, 4, 2, 6, 4, 4, 6, 2, 3, 6, 4, 4, 6, 4]",34,5.637
CFIN_P2conv_gsr5_s1,int4,gsm8k,gsm8k_test_12,"[3, 3, 3, 2, 1, 2, 4, 4, 3, 2, 1, 3, 4, 6, 4, 6, 4, 5, 4, 4, 2, 2, 4, 4, 2, 2, 5, 2, 2, 4, 3, 1, 5, 6, 3, 5, 1, 2, 3, 4]",40,5.114
CFIN_P2conv_gsr5_s1,int4,gsm8k,gsm8k_test_13,"[4, 6, 4, 4, 3, 6, 4, 5, 3, 6, 3, 2, 2, 3, 3, 5, 3, 5, 1, 2, 4, 6, 4, 3, 4, 3, 5, 3, 5, 2, 4, 4, 4, 6]",34,4.195
CFIN_P2conv_gsr5_s1,int4,gsm8k,gsm8k_test_14,"[3, 6, 3, 3, 2, 5, 4, 4, 3, 3, 4, 4, 4, 6, 6, 5, 6, 5, 3, 3, 5, 4, 6, 3, 4, 3, 4, 2, 6, 2, 3, 5]",32,3.97
