tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
FIN_DP_B_conv_beta1_s0_st0600__sharegpt,int4,sharegpt,sharegpt_0,"[4, 4, 4, 5, 2, 4, 4, 2, 4, 4, 6, 3, 3, 2, 3, 4, 2, 4, 5, 1, 4, 2, 1, 2, 3, 4, 1, 3, 4, 6, 4, 1, 4, 6, 2, 2, 3, 5, 6]",39,6.849
FIN_DP_B_conv_beta1_s0_st0600__sharegpt,int4,sharegpt,sharegpt_1,"[6, 5, 4, 3, 3, 4, 4, 6, 5, 2, 4, 4, 3, 3, 5, 4, 1, 1, 2, 4, 3, 1, 3, 2, 3, 3, 2, 4, 2, 3, 2, 3, 1, 3, 4, 2, 3, 3, 6, 2]",40,6.275
FIN_DP_B_conv_beta1_s0_st0600__sharegpt,int4,sharegpt,sharegpt_2,"[6, 6, 5, 3, 4, 5, 6, 2, 5, 4, 2, 3, 5, 2, 3, 5, 4, 4, 3, 3, 2, 4, 6, 3, 3, 4, 3, 3, 4, 3, 2, 5, 2, 5]",34,4.198
FIN_DP_B_conv_beta1_s0_st0600__sharegpt,int4,sharegpt,sharegpt_4,"[1, 2, 4, 3, 3, 4, 2, 2, 2, 2, 3, 2, 2, 4, 1, 1, 3, 2, 3, 4, 2, 2, 3, 4, 6, 1, 2, 3, 3, 1, 2, 6, 6, 6, 6, 1, 4, 6, 4, 3, 3, 2, 3]",43,5.306
FIN_DP_B_conv_beta1_s0_st0600__sharegpt,int4,sharegpt,sharegpt_5,"[3, 5, 6, 4, 3, 5, 4, 3, 4, 4, 6, 2, 2, 6, 3, 4, 3, 4, 3, 6, 4, 3, 2, 4, 3, 6, 6, 6, 2, 3, 3, 4, 3]",33,4.092
FIN_DP_B_conv_beta1_s0_st0600__sharegpt,int4,sharegpt,sharegpt_6,"[6, 6, 5, 2, 4, 5, 5, 6, 2, 3, 3, 3, 2, 3, 3, 1, 6, 3, 2, 2, 2, 3, 2, 4, 3, 4, 5, 3, 3, 3, 4, 2, 4, 6, 5, 6]",36,4.438
FIN_DP_B_conv_beta1_s0_st0600__sharegpt,int4,sharegpt,sharegpt_8,"[4, 6, 5, 6, 3, 3, 3, 5, 2, 2, 4, 1, 3, 4, 2, 4, 5, 3, 2, 4, 2, 1, 4, 3, 1, 3, 3, 3, 3, 4, 1, 5, 2, 3, 2, 2, 5, 6, 3, 5]",40,4.917
FIN_DP_B_conv_beta1_s0_st0600__sharegpt,int4,sharegpt,sharegpt_9,"[6, 6, 5, 6, 3, 5, 3, 3, 2, 2, 4, 2, 2, 2, 2, 1, 2, 4, 3, 5, 1, 2, 4, 4, 3, 3, 2, 4, 3, 2, 5, 6, 4, 1, 1, 1, 1, 5, 5, 6]",40,4.905
FIN_DP_B_conv_beta1_s0_st0600__sharegpt,int4,sharegpt,sharegpt_10,"[5, 4, 1, 3, 2, 3, 6, 4, 4, 4, 5, 4, 4, 4, 2, 3, 3, 3, 2, 4, 2, 1, 3, 2, 3, 4, 5, 4, 5, 6, 3, 3, 2, 2, 3, 3, 6, 6]",38,4.697
FIN_DP_B_conv_beta1_s0_st0600__sharegpt,int4,sharegpt,sharegpt_13,"[6, 4, 2, 2, 4, 4, 5, 4, 3, 2, 1, 5, 3, 4, 3, 6, 4, 4, 1, 3, 4, 2, 2, 1, 3, 2, 2, 2, 2, 4, 4, 1, 3, 2, 3, 1, 1, 2, 2, 1, 1, 3, 4, 3, 3]",45,5.614
FIN_DP_B_conv_beta1_s0_st0600__sharegpt,int4,sharegpt,sharegpt_15,"[4, 2, 6, 2, 4, 4, 3, 4, 4, 5, 4, 2, 5, 4, 5, 1, 4, 4, 3, 3, 5, 3, 3, 4, 2, 4, 4, 4, 2, 4, 2, 2, 3, 3, 4, 1, 4, 5]",38,5.48
FIN_DP_B_conv_beta1_s0_st0600__sharegpt,int4,sharegpt,sharegpt_16,"[1, 1, 3, 3, 1, 4]",6,1.386
FIN_DP_B_conv_beta1_s0_st0600__sharegpt,int4,sharegpt,sharegpt_19,"[3, 3, 3, 4, 1, 2, 4, 4, 3, 2, 3, 1, 1, 2, 1, 6, 5, 4, 3, 6, 6, 5, 3, 3, 2, 3, 2, 2, 3, 1, 5, 1, 4, 1, 5, 3, 3, 2, 2, 2, 5, 3, 6]",43,7.193
FIN_DP_B_conv_beta1_s0_st0600__sharegpt,int4,sharegpt,sharegpt_23,"[4, 6, 4, 1, 4, 4, 6, 3, 3, 1, 2, 4, 4, 6, 2, 6, 5, 1, 6, 1, 2, 2, 1, 3, 3, 2, 1, 4, 3, 4, 3, 3, 2, 5, 3, 4, 4, 2, 4]",39,6.408
FIN_DP_B_conv_beta1_s0_st0600__sharegpt,int4,sharegpt,sharegpt_24,"[6, 5, 3, 6, 3, 2, 2, 3, 2, 4, 4, 4, 1, 3, 3, 4, 5, 3, 2, 5, 4, 3, 2, 3, 5, 1, 3, 3, 5, 6, 2, 3, 3, 2, 2, 4, 6, 5]",38,4.71
FIN_DP_B_conv_beta1_s0_st0600__sharegpt,int4,sharegpt,sharegpt_25,"[3, 6, 6, 3, 3, 3, 5, 4, 4, 2, 4, 5, 4, 4, 4, 3, 2, 2, 3, 2, 4, 3, 6, 4, 4, 4, 2, 4, 6, 5, 1, 2, 1, 1, 1, 4, 6]",37,4.608
