tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
FIN_DP_B_conv_beta1_s1_st0600__humaneval,int4,humaneval,HumanEval/0,"[6, 3, 5, 6, 3, 6, 5, 1, 2, 2, 4, 6, 5, 5, 1, 6, 6, 6, 4, 5, 3, 6, 6, 2, 6, 6, 5, 6, 4]",29,5.284
FIN_DP_B_conv_beta1_s1_st0600__humaneval,int4,humaneval,HumanEval/1,"[6, 4, 2, 2, 6, 4, 6, 4, 6, 6, 2, 6, 4, 2, 4, 3, 2, 5, 4, 3, 4, 4, 1, 4, 4, 5, 4, 6, 3, 4, 3, 2, 1, 2]",34,6.539
FIN_DP_B_conv_beta1_s1_st0600__humaneval,int4,humaneval,HumanEval/2,"[6, 3, 6, 5, 5, 3, 3, 4, 6, 2, 2, 4, 3, 4, 3, 3, 3, 6, 4, 2, 5, 4, 4, 2, 3, 4, 3, 2, 4, 4, 4, 4, 3, 5]",34,6.342
FIN_DP_B_conv_beta1_s1_st0600__humaneval,int4,humaneval,HumanEval/3,"[4, 3, 2, 3, 4, 4, 4, 3, 5, 2, 1, 3, 6, 2, 3, 2, 6, 3, 4, 4, 3, 6, 4, 3, 4, 2, 5, 3, 4, 4, 2, 5, 3, 1, 4, 5, 4]",37,6.859
FIN_DP_B_conv_beta1_s1_st0600__humaneval,int4,humaneval,HumanEval/4,"[6, 1, 2, 1, 5, 6, 5, 3, 5, 4, 4, 4, 4, 4, 5, 6, 4, 4, 2, 3, 4, 4, 3, 5, 3, 2, 6, 3, 5, 6, 6, 2, 6]",33,6.262
FIN_DP_B_conv_beta1_s1_st0600__humaneval,int4,humaneval,HumanEval/5,"[6, 3, 4, 6, 4, 4, 3, 3, 4, 3, 3, 4, 6, 2, 2, 3, 5, 3, 4, 4, 5, 4, 5, 4, 5, 4, 6, 5, 2, 5, 2, 5]",32,5.718
FIN_DP_B_conv_beta1_s1_st0600__humaneval,int4,humaneval,HumanEval/6,"[4, 3, 4, 3, 6, 6, 3, 4, 4, 4, 4, 3, 3, 2, 4, 1, 3, 1, 5, 1, 2, 3, 3, 1, 4, 3, 2, 2, 4, 3, 3, 4, 4, 4, 4, 3, 6, 3, 3]",39,6.806
FIN_DP_B_conv_beta1_s1_st0600__humaneval,int4,humaneval,HumanEval/7,"[4, 3, 2, 3, 3, 6, 5, 6, 2, 6, 5, 2, 5, 4, 2, 3, 6, 3, 4, 3, 6, 6, 3, 4, 3, 4, 4, 5, 6, 1, 4, 5]",32,5.629
FIN_DP_B_conv_beta1_s1_st0600__humaneval,int4,humaneval,HumanEval/8,"[4, 3, 3, 6, 6, 4, 4, 6, 6, 4, 3, 6, 6, 2, 4, 5, 3, 6, 3, 2, 3, 3, 5, 3, 5, 4, 6, 3, 3, 3, 5]",31,5.436
FIN_DP_B_conv_beta1_s1_st0600__humaneval,int4,humaneval,HumanEval/9,"[4, 3, 4, 3, 4, 6, 3, 2, 4, 3, 4, 4, 5, 1, 3, 3, 5, 2, 5, 5, 3, 4, 4, 4, 3, 6, 4, 5, 2, 5, 4, 4, 5, 4]",34,4.944
FIN_DP_B_conv_beta1_s1_st0600__humaneval,int4,humaneval,HumanEval/10,"[4, 3, 3, 4, 3, 5, 3, 6, 6, 3, 5, 6, 3, 4, 4, 6, 2, 5, 4, 3, 2, 6, 5, 6, 6, 6, 3, 2, 3, 4, 5]",31,4.101
FIN_DP_B_conv_beta1_s1_st0600__humaneval,int4,humaneval,HumanEval/11,"[4, 3, 2, 3, 4, 6, 6, 5, 1, 4, 2, 2, 2, 5, 3, 2, 2, 2, 4, 6, 6, 4, 2, 1, 2, 3, 3, 3, 4, 6, 4, 6, 3, 1, 3, 4, 6]",37,4.875
FIN_DP_B_conv_beta1_s1_st0600__humaneval,int4,humaneval,HumanEval/12,"[6, 3, 1, 5, 4, 4, 6, 4, 4, 2, 4, 4, 4, 3, 6, 4, 6, 5, 3, 5, 4, 4, 4, 4, 3, 4, 4, 3, 4, 4, 3, 3, 5]",33,4.365
FIN_DP_B_conv_beta1_s1_st0600__humaneval,int4,humaneval,HumanEval/13,"[4, 3, 3, 6, 6, 4, 6, 4, 1, 4, 2, 1, 1, 6, 3, 4, 4, 5, 3, 4, 4, 4, 3, 4, 4, 4, 6, 4, 4, 5, 5, 2, 3, 4]",34,4.516
FIN_DP_B_conv_beta1_s1_st0600__humaneval,int4,humaneval,HumanEval/14,"[4, 3, 2, 2, 3, 6, 4, 5, 4, 4, 4, 4, 2, 3, 2, 6, 2, 6, 5, 3, 4, 1, 4, 3, 2, 3, 4, 4, 4, 6, 5, 3, 5, 3, 2, 4]",36,4.779
FIN_DP_B_conv_beta1_s1_st0600__humaneval,int4,humaneval,HumanEval/15,"[4, 2, 2, 1, 3, 2, 4, 2, 5, 6, 4, 5, 1, 4, 2, 4, 3, 2, 3, 1, 5, 5, 5, 2, 1, 4, 4, 4, 3, 6, 5, 4, 5, 4, 4, 1, 3, 2, 2]",39,5.173
FIN_DP_B_conv_beta1_s1_st0600__humaneval,int4,humaneval,HumanEval/16,"[6, 6, 3, 3, 4, 2, 2, 6, 6, 4, 6, 1, 3, 3, 5, 3, 3, 5, 5, 3, 4, 4, 5, 3, 4, 3, 6, 3, 1, 4, 6, 2, 3, 3]",34,4.498
FIN_DP_B_conv_beta1_s1_st0600__humaneval,int4,humaneval,HumanEval/17,"[5, 1, 4, 4, 6, 5, 4, 6, 2, 6, 4, 6, 5, 5, 4, 4, 3, 5, 3, 4, 3, 4, 6, 3, 6, 4, 4, 3, 2, 4, 4]",31,4.089
FIN_DP_B_conv_beta1_s1_st0600__humaneval,int4,humaneval,HumanEval/18,"[4, 3, 2, 3, 3, 6, 3, 4, 6, 4, 6, 6, 1, 6, 6, 6, 4, 6, 4, 5, 3, 6, 1, 4, 3, 3, 3, 4, 5, 4, 4]",31,4.12
FIN_DP_B_conv_beta1_s1_st0600__humaneval,int4,humaneval,HumanEval/19,"[5, 1, 2, 3, 6, 6, 4, 5, 6, 3, 3, 4, 6, 6, 4, 3, 3, 3, 4, 6, 3, 2, 5, 2, 4, 1, 5, 2, 3, 1, 5, 3, 3, 1, 5]",35,4.579
FIN_DP_B_conv_beta1_s1_st0600__humaneval,int4,humaneval,HumanEval/20,"[6, 1, 2, 5, 4, 4, 6, 6, 2, 3, 4, 5, 2, 3, 5, 4, 5, 2, 4, 2, 6, 4, 2, 6, 6, 3, 4, 6, 6, 4, 5, 3]",32,4.237
FIN_DP_B_conv_beta1_s1_st0600__humaneval,int4,humaneval,HumanEval/21,"[4, 3, 2, 4, 6, 6, 3, 6, 1, 3, 2, 6, 5, 5, 4, 4, 6, 4, 1, 6, 3, 4, 6, 6, 6, 3, 6, 4, 6, 6]",30,3.997
FIN_DP_B_conv_beta1_s1_st0600__humaneval,int4,humaneval,HumanEval/22,"[6, 3, 5, 3, 4, 6, 4, 4, 4, 3, 1, 3, 4, 4, 5, 4, 6, 5, 4, 6, 6, 4, 4, 4, 6, 4, 3, 3, 4, 2, 5]",31,4.135
FIN_DP_B_conv_beta1_s1_st0600__humaneval,int4,humaneval,HumanEval/23,"[5, 2, 3, 5, 4, 5, 4, 6, 4, 6, 5, 1, 3, 3, 4, 3, 2, 5, 2, 4, 3, 4, 4, 3, 6, 5, 4, 5, 4, 6, 3, 4, 1]",33,4.356
FIN_DP_B_conv_beta1_s1_st0600__humaneval,int4,humaneval,HumanEval/24,"[4, 3, 2, 1, 4, 5, 6, 6, 5, 5, 6, 3, 4, 6, 5, 1, 5, 4, 5, 4, 6, 5, 5, 4, 6, 5, 4, 6, 3]",29,3.847
FIN_DP_B_conv_beta1_s1_st0600__humaneval,int4,humaneval,HumanEval/25,"[5, 1, 3, 2, 2, 4, 6, 2, 4, 6, 2, 4, 4, 6, 3, 4, 2, 3, 2, 2, 3, 4, 4, 3, 2, 1, 4, 3, 4, 3, 3, 3, 3, 6, 6, 2, 2, 1, 4]",39,5.087
FIN_DP_B_conv_beta1_s1_st0600__humaneval,int4,humaneval,HumanEval/26,"[6, 3, 2, 5, 4, 6, 3, 5, 5, 4, 4, 3, 1, 4, 4, 2, 6, 3, 4, 4, 4, 4, 3, 3, 4, 3, 3, 1, 2, 5, 5, 2, 4, 4, 3]",35,4.593
FIN_DP_B_conv_beta1_s1_st0600__humaneval,int4,humaneval,HumanEval/27,"[4, 2, 2, 6, 6, 4, 4, 1, 6, 6, 4, 4, 2, 5, 4, 5, 5, 2, 2, 6, 4, 4, 4, 5, 5, 5, 2, 3, 2, 4, 3, 4, 4]",33,4.355
