tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
FIN_DP_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,81,"[5, 3, 2, 3, 3, 3, 3, 6, 6, 3, 2, 3, 2, 3, 1, 2, 3, 2, 3, 4, 3, 3, 4, 6, 3, 5, 1, 4, 4, 6, 4, 2, 5, 3, 4, 3, 3, 2, 3]",39,6.693
FIN_DP_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,82,"[4, 2, 4, 3, 6, 3, 5, 3, 3, 3, 6, 5, 6, 3, 2, 4, 3, 1, 3, 4, 4, 5, 4, 4, 4, 2, 3, 1, 4, 3, 2, 4, 3, 4, 6, 3]",36,5.869
FIN_DP_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,83,"[4, 6, 4, 6, 1, 4, 5, 3, 2, 4, 4, 4, 2, 3, 2, 3, 2, 2, 1, 4, 2, 3, 2, 1, 4, 2, 4, 1, 3, 1, 2, 3, 2, 1, 3, 2, 1, 4, 4, 2, 1, 3, 2, 4, 6]",45,7.309
FIN_DP_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,84,"[4, 2, 1, 2, 3, 4, 5, 2, 6, 4, 5, 5, 1, 4, 6, 2, 4, 4, 4, 4, 3, 3, 4, 4, 1, 3, 2, 6, 1, 3, 2, 2, 3, 2, 1, 2, 3, 2, 4, 4, 3]",41,6.273
FIN_DP_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,85,"[4, 6, 6, 2, 2, 2, 5, 3, 4, 2, 3, 3, 3, 2, 4, 3, 3, 3, 4, 2, 4, 2, 3, 1, 3, 2, 3, 2, 1, 3, 2, 2, 3, 2, 1, 2, 4, 3, 2, 2, 4, 2, 3, 4, 1, 1]",46,5.585
FIN_DP_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,86,"[2, 4, 4, 5, 4, 6, 2, 3, 1, 2, 3, 3, 2, 4, 4, 2, 1, 2, 2, 2, 1, 1, 3, 1, 2, 2, 3, 2, 2, 3, 2, 4, 2, 1, 2, 3, 2, 1, 3, 3, 3, 3, 2, 3, 1, 2, 3, 3, 2, 1, 5]",51,6.142
FIN_DP_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,87,"[1, 5, 5, 2, 5, 6, 4, 4, 2, 4, 2, 2, 1, 3, 1, 3, 5, 3, 2, 6, 2, 2, 2, 1, 2, 2, 1, 2, 3, 3, 2, 2, 2, 3, 1, 1, 1, 2, 4, 4, 3, 4, 2, 2, 4, 3, 4]",47,5.698
FIN_DP_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,88,"[4, 3, 2, 2, 2, 2, 4, 1, 2, 3, 2, 2, 4, 2, 3, 1, 4, 3, 3, 2, 2, 3, 3, 2, 4, 3, 1, 4, 1, 2, 3, 2, 2, 3, 3, 2, 3, 6, 4, 4, 2, 4, 4, 3, 1, 3, 3]",47,5.759
FIN_DP_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,89,"[2, 3, 6, 2, 4, 4, 5, 5, 2, 2, 3, 4, 4, 5, 1, 2, 2, 4, 4, 1, 2, 1, 1, 2, 3, 6, 1, 2, 3, 2, 3, 2, 4, 1, 4, 5, 4, 6, 2, 1, 4, 2, 5]",43,5.365
FIN_DP_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,90,"[1, 1, 5, 3, 2, 2, 3, 4, 2, 3, 2, 4, 5, 1, 1, 4, 4, 3, 4, 1, 3, 2, 2, 3, 3, 3, 4, 3, 4, 3, 2, 6, 3, 1]",34,4.399
FIN_DP_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,91,"[3, 2, 4, 5, 2, 5, 6, 5, 5, 2, 3, 1, 1, 2, 2, 1, 3, 3, 5, 3, 2, 3, 2, 2, 5, 4, 2, 2, 1, 3, 3, 4, 4, 6, 4, 4, 2, 6, 4, 1, 3]",41,5.209
FIN_DP_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,92,"[3, 2, 1, 3, 3, 1, 3, 2, 2, 4, 5, 2, 4, 4, 2, 1, 2, 2, 3, 3, 3, 2, 3, 1, 2, 3, 3, 4, 2, 1, 1, 4, 2, 6, 2, 3, 1, 4, 2, 3, 4, 2, 3, 3, 2, 2, 4, 2, 2]",49,5.933
FIN_DP_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,93,"[3, 6, 3, 2, 2, 3, 5, 4, 3, 6, 6, 4, 3, 3, 5, 4, 2, 2, 3, 2, 1, 3, 6, 1, 2, 5, 1, 1, 4, 3, 4, 5, 6, 6, 4, 2, 1, 4]",38,4.652
FIN_DP_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,94,"[6, 4, 1, 2, 1, 1, 1, 4, 4, 1, 4, 4, 3, 3, 2, 5, 2, 3, 3, 4, 3, 3, 2, 2, 2, 1]",26,3.288
FIN_DP_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,95,"[1, 2, 5, 4, 1, 2, 1, 5, 1, 1, 3, 2, 2, 2, 3, 3, 3, 3, 2, 1, 1, 1, 3, 4, 2, 4, 1, 5, 3, 6, 2, 6, 4, 2, 6, 4, 4, 3, 3, 3, 6, 6, 3]",43,5.292
FIN_DP_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,96,"[6, 1, 6, 3, 2, 1, 3, 5, 4, 3, 2, 3, 4, 1, 5, 4, 4, 5, 3, 4, 1, 2, 3, 2, 3, 4, 4, 5, 4, 2, 2, 2, 2, 2, 3, 2, 2, 5, 3, 3, 2, 2]",42,5.959
FIN_DP_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,97,"[4, 6, 3, 2, 5, 4, 2, 2, 3, 3, 3, 5, 4, 2, 3, 2, 4, 3, 2, 3, 4, 5, 4, 2, 1, 4, 2, 2, 4, 2, 2, 4, 2, 4, 4, 3, 4, 1, 2, 2, 4, 1]",42,6.814
FIN_DP_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,98,"[3, 1, 4, 3, 1, 3, 1, 1, 3, 4, 3, 3, 1, 3, 5, 2, 4, 3, 2, 3, 3, 2, 1, 2, 3, 1, 1, 4, 4, 5, 2, 3, 3, 5, 4, 4, 3, 6, 3, 3, 6, 2, 1, 2, 3]",45,5.886
FIN_DP_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,99,"[1, 4, 4, 2, 1, 3, 4, 3, 6, 6, 5, 6, 2, 1, 4, 5, 5, 4, 5, 3, 1, 2, 2, 3, 3, 1, 4, 2, 6, 3, 1, 6, 3, 2, 1, 2, 3, 2, 1, 3, 1, 2]",42,6.866
FIN_DP_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,100,"[3, 2, 1, 1, 1, 5, 1, 4, 3, 3, 2, 1, 1, 1, 4, 1, 1, 4, 4, 3, 2, 4, 3, 4, 2, 1, 1, 2, 2, 2, 1, 2, 4, 4, 2, 2, 4, 5, 3, 1, 1, 2, 4, 1, 2, 4, 2, 4, 2, 2, 1, 4, 1, 2]",54,11.014
FIN_DP_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,101,"[4, 3, 4, 3, 2, 4, 3, 4, 4, 3, 4, 5, 4, 4, 5, 2, 3, 2, 1, 2, 3, 4, 1, 3, 5, 2, 2, 1, 6, 6, 2, 4, 3, 1]",34,6.506
FIN_DP_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,102,"[4, 3, 6, 2, 2, 3, 1, 1, 4, 3, 3, 4, 3, 2, 3, 6, 3, 3, 2, 2, 3, 3, 3, 5, 4, 2, 4, 4, 4, 1, 2, 4, 4, 2, 2, 4, 3, 4, 3, 4, 4]",41,5.835
FIN_DP_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,103,"[6, 6, 3, 4, 6, 5, 3, 3, 3, 3, 5, 3, 3, 5, 4, 4, 2, 2, 4, 2, 6, 3, 4, 3, 1, 1, 1, 3, 3, 5, 3, 2, 3, 3, 1, 3, 2, 2, 1, 4]",40,5.307
FIN_DP_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,104,"[6, 5, 3, 2, 5, 4, 3, 2, 3, 2, 2, 4, 3, 2]",14,1.944
FIN_DP_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,105,"[2, 3, 2, 2, 4, 3, 3, 2, 4, 4, 5, 1]",12,1.712
FIN_DP_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,106,"[4, 6, 4, 2, 4, 6, 4, 4, 6, 6, 5, 4, 3, 2, 6, 5, 6, 1, 2, 2]",20,2.777
FIN_DP_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,107,"[4, 6, 3, 4, 6, 4, 1, 2, 3, 1, 2, 1, 3, 5, 3, 4, 4, 4, 5, 3, 6, 1, 4, 4, 4, 6, 4, 3]",28,3.806
FIN_DP_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,108,"[6, 5, 5, 1, 3, 1, 2, 5, 3, 2, 1, 3, 2, 2, 4, 3, 5, 1, 3, 3, 2, 1, 4, 2, 3, 3, 1, 2, 3, 3, 3, 4, 6, 4]",34,4.612
FIN_DP_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,109,"[2, 3, 5, 6, 3, 3, 3, 4, 3, 1, 6, 6, 2, 2, 1, 2, 2, 2, 4, 3, 3, 4, 2, 4, 4, 5, 1, 3, 4, 2, 2, 6, 4, 4, 6, 4, 2, 1, 6]",39,5.18
FIN_DP_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,110,"[6, 5, 5, 3, 3, 3, 4, 1, 2, 5, 3, 4, 4, 6, 4, 4, 6, 4, 2, 2, 3, 6, 5, 5, 6, 2, 5, 1, 3, 4, 4, 6, 4]",33,5.738
FIN_DP_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,111,"[6, 6, 3, 3, 4, 4, 4, 2, 1, 1, 2, 4, 1, 5, 1, 6, 1, 3, 5, 1, 4, 6, 6, 4, 6, 2, 3, 4, 6, 5, 1]",31,5.554
FIN_DP_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,112,"[6, 5, 3, 3, 2, 4, 4, 5, 6, 4, 2, 6, 4, 5, 4, 6, 4, 3, 3, 6, 6, 6, 5, 6, 5, 5, 5, 2, 4]",29,5.078
FIN_DP_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,113,"[4, 6, 6, 4, 4, 5, 2, 4, 3, 4, 5, 4, 2, 2, 2, 2, 6, 4, 4, 2, 2, 1, 3, 2, 5, 3, 3, 2, 3, 6, 5, 3, 2, 4, 4, 4, 5]",37,5.604
FIN_DP_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,114,"[6, 5, 3, 1, 4, 5, 4, 3, 2, 3, 2, 3, 2, 5, 5, 2, 1, 2, 5, 3, 4, 3, 5, 3, 6, 1, 3, 4, 6, 5, 5, 6, 6, 6]",34,4.571
FIN_DP_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,115,"[4, 6, 5, 3, 3, 3, 2, 4, 1, 4, 2, 3, 3, 3, 3, 1, 3, 4, 6, 4, 4, 2, 3, 5, 3, 4, 2, 4, 3, 1, 1, 4, 4, 6, 4, 5, 3, 1, 3]",39,5.243
FIN_DP_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,116,"[6, 6, 5, 5, 4, 2, 4, 4, 2, 3, 4, 3, 2, 4, 2, 3, 4, 3, 3, 3, 2, 3, 1, 3, 3, 4, 3, 6, 3, 3, 3, 3, 4, 4, 6, 4, 4]",37,5.019
FIN_DP_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,117,"[3, 4, 5, 2, 2, 1, 6, 4, 6, 5, 1, 3, 2, 2, 1, 2, 5, 4, 1, 3, 3, 2, 3, 4, 4, 4, 3, 1, 2, 3, 3, 4, 6, 3, 4, 3, 1, 3, 2, 4, 3, 3]",42,5.551
FIN_DP_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,118,"[6, 6, 2, 4, 4, 6, 3, 3, 5, 4, 6, 1, 3, 2, 4, 3, 3, 3, 2, 4, 3, 2, 6, 4, 2, 2, 6, 5, 3, 4, 4, 4, 5, 1, 5]",35,4.661
FIN_DP_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,119,"[3, 5, 5, 3, 4, 3, 4, 4, 3, 3, 2, 4, 3, 2, 2, 3, 6, 3, 2, 2, 1, 4, 3, 3, 5, 4, 5, 4, 2, 5, 5, 4, 5, 4, 2, 6]",36,5.461
FIN_DP_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,120,"[4, 6, 4, 6, 4, 2, 1, 4, 3, 6, 6, 4, 5, 2, 6, 3, 3, 3, 3, 5, 6, 5, 6, 4, 6, 5, 1]",27,4.498
FIN_DP_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,121,"[5, 5, 5, 4, 6, 6, 4, 6, 6, 4, 3, 6, 5, 6, 4, 4, 6, 1, 3, 4, 3, 4, 6, 3, 2, 4, 2, 5, 3, 6]",30,4.938
FIN_DP_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,122,"[6, 6, 5, 3, 3, 5, 5, 3, 3, 5, 3, 4, 2, 4, 2, 2, 2, 6, 4, 4, 6, 6, 4, 6, 5, 3, 1, 4, 3, 2, 3, 5, 5]",33,5.656
FIN_DP_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,123,"[2, 3, 4, 4, 4, 1, 3, 4, 6, 2, 6, 6, 2, 3, 3, 4, 1, 3, 3, 4, 3, 1, 4, 4, 4, 2, 2, 6, 4, 4, 6, 2, 6, 1, 2, 3, 2, 4]",38,6.722
FIN_DP_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,124,"[2, 1, 4, 6, 1, 2, 4, 3, 6, 5, 3, 2, 5, 2, 4, 2, 4, 4, 4, 1, 4, 6, 3, 2, 2, 6, 3, 2, 4, 4, 3, 3, 1, 2, 3, 4, 2, 2, 5, 6]",40,7.002
FIN_DP_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,125,"[6, 6, 4, 6, 2, 1, 6, 5, 4, 2, 4, 3, 1, 3, 1, 3, 4, 2, 4, 3, 1, 5, 5, 5, 6, 1, 2, 2, 6, 1, 3, 2, 6, 6, 3, 2, 5]",37,6.143
FIN_DP_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,126,"[6, 5, 4, 3, 6, 6, 3, 4, 3, 4, 4, 4, 4, 2, 4, 4, 2, 4, 2, 1, 3, 3, 3, 4, 5, 2, 3, 4, 4, 4, 5, 6, 4, 2, 4]",35,4.616
FIN_DP_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,127,"[4, 4, 4, 5, 4, 4, 6, 3, 3, 4, 5, 4, 2, 3, 1, 2, 2, 4, 3, 4, 4, 4, 4, 4, 4, 2, 5, 5, 3, 4, 5, 4, 6, 4]",34,5.782
FIN_DP_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,128,"[4, 4, 6, 3, 3, 6, 2, 4, 2, 3, 2, 5, 5, 3, 2, 5, 4, 2, 3, 4, 3, 1, 3, 4, 6, 4, 3, 4, 3, 4, 4, 4, 2, 3, 4, 6]",36,4.978
FIN_DP_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,129,"[4, 6, 5, 3, 5, 3, 4, 4, 3, 2, 4, 1, 2, 3, 5, 6, 2, 6, 5, 4, 4, 3, 4, 2, 3, 3, 4, 3, 5, 4, 3, 4, 1, 1, 2, 3, 3]",37,4.986
FIN_DP_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,130,"[3, 5, 3, 3, 3, 2, 1, 2, 5, 4, 4, 6, 4, 6, 4, 6, 3, 6, 3, 5, 4, 4, 3, 3, 2, 3, 4, 4, 5, 4, 4, 1, 6, 6]",34,5.381
FIN_DP_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,131,"[4, 2, 3, 2, 3, 6, 3, 1, 4, 2, 1, 4, 5, 3, 5, 2, 6, 4, 3, 3, 3, 3, 4, 1, 3, 5, 1]",27,4.739
FIN_DP_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,132,"[4, 6, 4, 2, 6, 2, 3, 5, 6, 6, 6, 4, 4, 5, 5, 4, 2, 1, 5, 6, 2, 1, 2, 6, 3, 1, 4, 2, 2, 2, 3, 3, 3, 5, 4]",35,5.816
FIN_DP_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,133,"[1, 2, 3, 2, 3, 4, 1, 4, 3, 3, 4, 3, 4, 4, 5, 4, 4, 3, 4, 6, 2, 2, 4, 5, 4, 1, 4, 4, 4, 3]",30,4.962
FIN_DP_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,134,"[6, 4, 4, 4, 1, 4, 3, 4, 6, 3, 2, 1, 4, 5, 4, 4, 2, 3, 4, 6, 6, 4, 3, 2, 4, 3, 6, 4, 5, 2, 3, 1, 6, 6]",34,5.607
FIN_DP_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,135,"[1, 2, 1, 3, 4, 3, 4, 2, 4, 3, 2, 4, 4, 3, 2, 3, 4, 1, 2, 4, 5, 2, 3, 5, 3, 2, 6, 4, 2, 3, 4, 4, 3, 3, 2, 5, 5, 3, 4, 3, 3]",41,6.672
FIN_DP_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,136,"[3, 3, 4, 1, 2, 1, 3, 4, 3, 3, 2, 3, 4, 2, 1, 2, 6, 3, 6, 1, 4, 4, 3]",23,3.802
FIN_DP_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,137,"[4, 2, 4, 3, 5, 5, 2, 1, 3, 2, 3, 2, 6, 1, 4, 5, 3, 4, 2, 5, 5, 2, 5, 4, 4, 4, 4, 5, 4, 3, 6, 4, 6, 3, 6]",35,4.766
FIN_DP_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,138,"[2, 2, 4, 4, 3, 3, 3, 4, 5, 2, 4, 4, 3, 5, 6, 6, 1, 2, 5, 1, 6, 4, 6, 6, 6, 4, 3, 5, 4, 6, 6, 5]",32,3.965
FIN_DP_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,139,"[6, 5, 3, 6, 3, 2, 5, 2, 1, 1, 1, 2, 4, 3, 2, 3, 3, 2, 4, 3, 3, 2, 2, 2, 3, 4, 3, 2, 2, 1, 4, 4, 1, 3, 4, 3, 1, 3, 3, 6, 3, 2, 4, 3]",44,5.353
FIN_DP_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,140,"[3, 4, 6, 2, 3, 6, 4, 4, 3, 2, 1, 4, 2, 4, 4, 5, 3, 2, 4, 5, 1, 2, 4, 4, 4, 3, 6, 5, 5, 2, 6, 6, 3, 4, 6]",35,4.3
FIN_DP_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,141,"[6, 5, 4, 3, 3, 2, 3, 3, 4, 2, 5, 6, 3, 5, 3, 3, 4, 3, 6, 2, 2, 2, 2, 2, 2, 4, 3, 2, 3, 2, 1, 4, 6, 6, 4, 3, 3, 1, 3]",39,4.759
FIN_DP_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,142,"[4, 4, 4, 2, 2, 3, 6, 6, 2, 2, 1, 1, 1, 2, 3, 2, 2, 3, 4, 3, 1, 1, 1, 3, 4, 5, 5, 4, 4, 3, 1, 4, 2, 4, 4, 3, 2, 3, 2, 2, 1, 4, 4, 2, 2]",45,5.483
FIN_DP_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,143,"[4, 6, 2, 5, 4, 3, 2, 6, 1, 4, 2, 1, 2, 4, 4, 3, 4, 4, 2, 1, 1, 2, 3, 6, 4, 2, 4, 2, 4, 2, 1, 2, 2, 2, 2, 2, 2, 3, 2, 4, 1, 2, 3, 3, 2, 2]",46,5.588
FIN_DP_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,144,"[6, 5, 4, 2, 6, 4, 2, 2, 3, 3, 2, 2, 2, 3, 3, 2, 5, 2, 4, 1, 3, 4, 2, 3, 6, 3, 4, 4, 2, 3, 6, 3, 2, 1, 3, 3, 1, 2, 2, 2, 1, 4, 6]",43,5.245
