tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
FIN_DP_B_conv_beta1_s2_st0600__gsm8k,int4,gsm8k,gsm8k_test_0,"[5, 3, 4, 2, 3, 5, 5, 4, 4, 4, 6, 2, 4, 4, 6, 6, 1, 2, 1, 4, 2, 4, 2, 4, 4, 1, 2, 4, 4, 5, 4, 3, 2, 6, 2, 2, 3]",37,6.634
FIN_DP_B_conv_beta1_s2_st0600__gsm8k,int4,gsm8k,gsm8k_test_1,"[1, 5, 6, 2, 3, 4, 5, 6, 5, 6, 4, 4, 6, 6, 1, 3, 2, 1, 3, 3, 4, 3, 2, 1, 5, 3, 5, 5, 4, 4, 5, 2, 4, 3, 2]",35,6.063
FIN_DP_B_conv_beta1_s2_st0600__gsm8k,int4,gsm8k,gsm8k_test_2,"[1, 5, 4, 5, 2, 5, 5, 6, 6, 6, 4, 6, 6, 2, 5, 3, 2, 2, 3, 5, 2, 3, 1, 5, 2, 3, 6, 4, 6, 5, 6, 5]",32,5.412
FIN_DP_B_conv_beta1_s2_st0600__gsm8k,int4,gsm8k,gsm8k_test_3,"[3, 6, 4, 1, 3, 4, 5, 5, 2, 6, 4, 6, 2, 4, 4, 4, 4, 2, 3, 4, 2, 4, 4, 4, 1, 6, 4, 3, 3, 6, 2, 1, 3, 4, 4, 6]",36,6.052
FIN_DP_B_conv_beta1_s2_st0600__gsm8k,int4,gsm8k,gsm8k_test_4,"[3, 5, 4, 3, 1, 3, 4, 5, 4, 3, 2, 6, 4, 3, 2, 4, 2, 4, 4, 5, 4, 4, 2, 5, 4, 3, 6, 5, 4, 6, 6, 4, 4]",33,4.641
FIN_DP_B_conv_beta1_s2_st0600__gsm8k,int4,gsm8k,gsm8k_test_5,"[4, 6, 3, 4, 4, 6, 2, 2, 4, 4, 6, 1, 1, 4, 3, 4, 5, 1, 6, 3, 4, 4, 6, 3, 6, 3, 3, 4, 2, 6, 4, 6, 2, 4]",34,4.365
FIN_DP_B_conv_beta1_s2_st0600__gsm8k,int4,gsm8k,gsm8k_test_6,"[6, 6, 4, 4, 6, 1, 2, 4, 4, 4, 4, 6, 1, 4, 4, 5, 3, 2, 4, 4, 4, 2, 3, 2, 5, 6, 5, 2, 5, 2, 3, 1, 3, 4, 6]",35,4.488
FIN_DP_B_conv_beta1_s2_st0600__gsm8k,int4,gsm8k,gsm8k_test_7,"[5, 5, 2, 2, 4, 3, 4, 1, 4, 3, 6, 4, 4, 6, 4, 6, 4, 3, 4, 6, 4, 4, 2, 1, 3, 4, 4, 3, 4, 2, 3, 5, 2, 2, 4, 2]",36,4.614
FIN_DP_B_conv_beta1_s2_st0600__gsm8k,int4,gsm8k,gsm8k_test_8,"[1, 4, 6, 4, 3, 3, 3, 3, 3, 1, 4, 6, 6, 6, 2, 5, 1, 2, 1, 1, 4, 6, 4, 3, 2, 4, 5, 3, 4, 5, 1, 2, 4, 2, 3, 3, 4, 3, 6]",39,4.981
FIN_DP_B_conv_beta1_s2_st0600__gsm8k,int4,gsm8k,gsm8k_test_9,"[4, 6, 2, 4, 4, 2, 5, 6, 4, 3, 3, 5, 2, 5, 4, 3, 6, 1, 4, 5, 2, 3, 3, 2, 4, 4, 3, 6, 4, 5, 4, 4, 6]",33,4.242
FIN_DP_B_conv_beta1_s2_st0600__gsm8k,int4,gsm8k,gsm8k_test_10,"[4, 6, 3, 4, 4, 6, 2, 2, 6, 6, 3, 4, 3, 4, 3, 2, 3, 5, 6, 4, 4, 3, 3, 5, 4, 3, 5, 4, 6, 2, 4, 1, 3, 4]",34,4.361
FIN_DP_B_conv_beta1_s2_st0600__gsm8k,int4,gsm8k,gsm8k_test_11,"[4, 6, 4, 3, 4, 6, 5, 6, 3, 4, 3, 3, 1, 4, 4, 3, 6, 3, 5, 5, 3, 6, 4, 3, 4, 3, 1, 2, 3, 6, 4, 6, 4]",33,4.22
