tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
FIN_DP_B_hybrid_beta0.1_s2_st0600__gsm8k,int4,gsm8k,gsm8k_test_0,"[5, 4, 3, 2, 3, 4, 6, 4, 4, 6, 6, 5, 3, 3, 6, 2, 2, 5, 3, 2, 2, 4, 5, 3, 6, 3, 2, 3, 3, 2, 2, 6, 2, 2, 3, 4]",36,6.518
FIN_DP_B_hybrid_beta0.1_s2_st0600__gsm8k,int4,gsm8k,gsm8k_test_1,"[3, 3, 6, 2, 3, 4, 6, 6, 4, 6, 4, 3, 4, 4, 6, 3, 2, 3, 3, 4, 4, 2, 1, 5, 3, 6, 4, 6, 6, 2, 2, 5, 3]",33,5.585
FIN_DP_B_hybrid_beta0.1_s2_st0600__gsm8k,int4,gsm8k,gsm8k_test_2,"[4, 4, 3, 6, 6, 6, 6, 4, 6, 4, 4, 2, 5, 2, 3, 3, 4, 6, 2, 5, 2, 4, 5, 4, 1, 4, 6, 4, 4, 3, 4, 2]",32,4.579
FIN_DP_B_hybrid_beta0.1_s2_st0600__gsm8k,int4,gsm8k,gsm8k_test_3,"[3, 6, 3, 2, 3, 4, 5, 5, 2, 6, 4, 6, 2, 4, 6, 2, 6, 4, 5, 5, 4, 1, 2, 5, 2, 4, 3, 4, 1, 1, 6, 4, 6, 4]",34,4.378
FIN_DP_B_hybrid_beta0.1_s2_st0600__gsm8k,int4,gsm8k,gsm8k_test_4,"[3, 4, 5, 1, 6, 6, 3, 2, 5, 2, 5, 1, 3, 4, 2, 3, 4, 4, 4, 4, 4, 4, 3, 5, 6, 4, 6, 4, 6, 5, 4, 4, 2]",33,4.225
FIN_DP_B_hybrid_beta0.1_s2_st0600__gsm8k,int4,gsm8k,gsm8k_test_5,"[3, 6, 4, 4, 4, 5, 3, 2, 4, 3, 4, 3, 2, 2, 5, 4, 4, 2, 6, 3, 2, 3, 3, 5, 4, 5, 3, 6, 2, 3, 1, 2, 4, 3, 5, 3, 5]",37,4.755
FIN_DP_B_hybrid_beta0.1_s2_st0600__gsm8k,int4,gsm8k,gsm8k_test_6,"[4, 6, 2, 3, 4, 6, 4, 6, 2, 3, 4, 3, 6, 5, 3, 4, 4, 2, 5, 3, 4, 5, 4, 4, 2, 2, 1, 5, 3, 5, 6, 6, 2]",33,4.229
FIN_DP_B_hybrid_beta0.1_s2_st0600__gsm8k,int4,gsm8k,gsm8k_test_7,"[5, 3, 2, 4, 4, 4, 3, 1, 4, 3, 6, 4, 2, 4, 6, 4, 6, 2, 3, 2, 6, 6, 3, 3, 3, 4, 5, 2, 6, 4, 6, 3, 2, 3]",34,4.402
FIN_DP_B_hybrid_beta0.1_s2_st0600__gsm8k,int4,gsm8k,gsm8k_test_8,"[3, 4, 4, 2, 2, 3, 4, 6, 4, 6, 6, 3, 5, 4, 5, 1, 2, 3, 2, 3, 4, 6, 3, 3, 4, 4, 5, 4, 4, 4, 2, 3, 3, 3, 4]",35,4.513
FIN_DP_B_hybrid_beta0.1_s2_st0600__gsm8k,int4,gsm8k,gsm8k_test_9,"[4, 6, 3, 3, 3, 3, 6, 4, 4, 1, 6, 3, 2, 4, 2, 5, 5, 2, 6, 3, 6, 4, 3, 2, 3, 6, 4, 5, 3, 3, 6, 5, 4]",33,4.31
FIN_DP_B_hybrid_beta0.1_s2_st0600__gsm8k,int4,gsm8k,gsm8k_test_10,"[6, 6, 4, 4, 6, 3, 2, 3, 4, 6, 2, 4, 5, 2, 3, 6, 3, 4, 6, 4, 4, 3, 6, 3, 5, 4, 4, 2, 5, 5, 3, 5]",32,4.16
FIN_DP_B_hybrid_beta0.1_s2_st0600__gsm8k,int4,gsm8k,gsm8k_test_11,"[4, 6, 4, 3, 3, 3, 6, 2, 6, 4, 4, 4, 4, 4, 2, 4, 3, 2, 3, 4, 5, 5, 2, 1, 2, 6, 3, 2, 4, 4, 5, 5, 4, 3, 3]",35,4.508
FIN_DP_B_hybrid_beta0.1_s2_st0600__gsm8k,int4,gsm8k,gsm8k_test_12,"[5, 4, 2, 1, 2, 5, 4, 4, 1, 3, 3, 5, 6, 6, 4, 6, 3, 2, 2, 5, 6, 1, 4, 6, 2, 2, 1, 4, 4, 3, 4, 4, 1, 1, 3, 3, 3, 2, 6]",39,5.071
FIN_DP_B_hybrid_beta0.1_s2_st0600__gsm8k,int4,gsm8k,gsm8k_test_13,"[6, 6, 4, 4, 6, 5, 4, 3, 6, 4, 2, 4, 6, 5, 2, 6, 6, 3, 6, 6, 4, 4, 4, 4, 6, 2, 3, 4, 3]",29,3.751
FIN_DP_B_hybrid_beta0.1_s2_st0600__gsm8k,int4,gsm8k,gsm8k_test_14,"[6, 6, 2, 3, 4, 6, 4, 4, 2, 4, 4, 3, 6, 3, 4, 4, 1, 2, 4, 2, 5, 4, 4, 6, 6, 6, 4, 4, 4, 5, 4, 4]",32,4.153
FIN_DP_B_hybrid_beta0.1_s2_st0600__gsm8k,int4,gsm8k,gsm8k_test_15,"[6, 5, 4, 4, 4, 1, 3, 5, 3, 6, 4, 5, 6, 3, 4, 4, 6, 5, 6, 5, 3, 2, 6, 6, 3, 3, 6, 3, 4, 4]",30,3.896
FIN_DP_B_hybrid_beta0.1_s2_st0600__gsm8k,int4,gsm8k,gsm8k_test_16,"[4, 6, 4, 3, 3, 4, 4, 2, 4, 2, 1, 4, 5, 3, 4, 2, 4, 2, 3, 2, 1, 3, 4, 5, 6, 6, 3, 4, 2, 5, 5, 4, 4, 5, 4, 4]",36,4.667
FIN_DP_B_hybrid_beta0.1_s2_st0600__gsm8k,int4,gsm8k,gsm8k_test_17,"[4, 4, 3, 2, 5, 4, 4, 4, 6, 4, 5, 1, 5, 4, 5, 3, 1, 2, 2, 3, 6, 5, 6, 5, 4, 2, 5, 4, 4, 6, 3, 3, 4]",33,4.28
FIN_DP_B_hybrid_beta0.1_s2_st0600__gsm8k,int4,gsm8k,gsm8k_test_18,"[3, 6, 4, 1, 5, 6, 2, 2, 2, 2, 5, 4, 4, 3, 6, 6, 6, 4, 4, 2, 6, 1, 4, 4, 2, 2, 3, 2, 6, 6, 4, 2, 3, 3, 5]",35,4.502
FIN_DP_B_hybrid_beta0.1_s2_st0600__gsm8k,int4,gsm8k,gsm8k_test_19,"[4, 4, 2, 4, 4, 4, 6, 6, 6, 2, 6, 6, 4, 2, 5, 6, 5, 5, 4, 4, 6, 4, 6, 4, 2, 4, 5, 5, 4]",29,3.777
FIN_DP_B_hybrid_beta0.1_s2_st0600__gsm8k,int4,gsm8k,gsm8k_test_20,"[4, 4, 2, 2, 3, 5, 2, 2, 5, 2, 4, 4, 4, 4, 6, 6, 2, 5, 6, 2, 2, 5, 4, 4, 4, 6, 4, 3, 6, 6, 3, 4, 1, 3]",34,4.375
FIN_DP_B_hybrid_beta0.1_s2_st0600__gsm8k,int4,gsm8k,gsm8k_test_21,"[3, 6, 4, 3, 5, 6, 4, 1, 4, 3, 1, 2, 6, 5, 5, 4, 2, 3, 5, 1, 4, 4, 3, 6, 3, 2, 2, 4, 3, 3, 6, 3, 4, 3, 6]",35,4.532
FIN_DP_B_hybrid_beta0.1_s2_st0600__gsm8k,int4,gsm8k,gsm8k_test_22,"[3, 3, 4, 2, 2, 4, 3, 4, 6, 6, 6, 3, 4, 5, 4, 2, 3, 3, 5, 4, 5, 6, 4, 4, 6, 2, 4, 6, 3, 4, 3, 6]",32,4.125
FIN_DP_B_hybrid_beta0.1_s2_st0600__gsm8k,int4,gsm8k,gsm8k_test_23,"[6, 3, 6, 4, 4, 2, 5, 3, 3, 4, 3, 4, 3, 6, 3, 4, 3, 3, 4, 3, 3, 5, 5, 2, 3, 5, 5, 5, 6, 4, 6, 6]",32,4.152
FIN_DP_B_hybrid_beta0.1_s2_st0600__gsm8k,int4,gsm8k,gsm8k_test_24,"[6, 5, 5, 4, 5, 2, 4, 2, 4, 2, 3, 4, 2, 5, 4, 6, 1, 3, 4, 3, 4, 2, 6, 3, 2, 6, 2, 5, 6, 1, 1, 1, 6, 2, 6, 4]",36,4.633
FIN_DP_B_hybrid_beta0.1_s2_st0600__gsm8k,int4,gsm8k,gsm8k_test_25,"[3, 6, 2, 3, 1, 4, 4, 6, 6, 6, 6, 5, 6, 2, 4, 2, 1, 4, 6, 4, 5, 4, 4, 5, 4, 3, 6, 6, 2, 6, 2]",31,4.014
FIN_DP_B_hybrid_beta0.1_s2_st0600__gsm8k,int4,gsm8k,gsm8k_test_26,"[3, 6, 4, 4, 3, 6, 2, 4, 4, 2, 6, 3, 4, 5, 6, 3, 4, 3, 3, 4, 6, 4, 4, 2, 6, 6, 4, 2, 2, 3, 5, 2, 5]",33,4.261
FIN_DP_B_hybrid_beta0.1_s2_st0600__gsm8k,int4,gsm8k,gsm8k_test_27,"[4, 2, 6, 2, 5, 3, 6, 4, 6, 4, 6, 6, 2, 2, 3, 4, 6, 3, 2, 4, 3, 5, 4, 4, 6, 4, 6, 2, 6, 3, 6]",31,4.029
FIN_DP_B_hybrid_beta0.1_s2_st0600__gsm8k,int4,gsm8k,gsm8k_test_28,"[4, 4, 3, 2, 4, 6, 6, 3, 2, 4, 4, 5, 5, 2, 2, 3, 2, 4, 2, 5, 4, 3, 5, 5, 3, 6, 4, 3, 1, 2, 3, 4, 3, 5, 2, 3]",36,4.714
FIN_DP_B_hybrid_beta0.1_s2_st0600__gsm8k,int4,gsm8k,gsm8k_test_29,"[3, 3, 4, 2, 3, 4, 2, 2, 2, 3, 3, 6, 1, 3, 2, 5, 4, 6, 2, 5, 6, 2, 2, 2, 3, 6, 3, 2, 4, 3, 3, 3, 2, 4, 4, 3, 1, 1, 4, 1, 5]",41,5.509
