tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
FIN_DP_B_hybrid_beta0.1_s2_st0600__humaneval,int4,humaneval,HumanEval/0,"[5, 3, 1, 6, 5, 3, 6, 5, 1, 2, 4, 2, 4, 6, 4, 2, 3, 4, 6, 6, 6, 3, 3, 6, 3, 5, 6, 6, 5, 6, 6]",31,5.511
FIN_DP_B_hybrid_beta0.1_s2_st0600__humaneval,int4,humaneval,HumanEval/1,"[4, 4, 5, 1, 4, 4, 5, 6, 6, 4, 5, 4, 3, 5, 6, 4, 3, 3, 6, 3, 6, 5, 5, 4, 4, 4, 4, 5, 4, 3]",30,5.044
FIN_DP_B_hybrid_beta0.1_s2_st0600__humaneval,int4,humaneval,HumanEval/2,"[4, 4, 4, 6, 3, 3, 4, 3, 4, 3, 5, 4, 4, 3, 4, 3, 3, 4, 6, 6, 6, 2, 5, 1, 2, 2, 2, 4, 4, 3, 4, 6, 4, 5]",34,5.61
FIN_DP_B_hybrid_beta0.1_s2_st0600__humaneval,int4,humaneval,HumanEval/3,"[4, 5, 5, 4, 4, 5, 4, 3, 5, 2, 6, 4, 4, 2, 4, 4, 3, 2, 4, 6, 3, 3, 4, 4, 2, 4, 4, 1, 4, 4, 4, 6, 6]",33,5.421
FIN_DP_B_hybrid_beta0.1_s2_st0600__humaneval,int4,humaneval,HumanEval/4,"[4, 4, 2, 4, 4, 6, 3, 3, 5, 1, 3, 3, 2, 3, 3, 5, 3, 1, 4, 6, 4, 5, 4, 5, 4, 3, 4, 4, 4, 4, 4, 4, 6, 5]",34,4.802
FIN_DP_B_hybrid_beta0.1_s2_st0600__humaneval,int4,humaneval,HumanEval/5,"[6, 4, 4, 4, 5, 4, 4, 2, 4, 3, 3, 4, 6, 4, 3, 5, 3, 4, 4, 5, 4, 5, 4, 5, 4, 6, 4, 1, 2, 1, 3, 2, 3, 4]",34,4.529
FIN_DP_B_hybrid_beta0.1_s2_st0600__humaneval,int4,humaneval,HumanEval/6,"[4, 4, 3, 3, 4, 6, 5, 4, 6, 2, 4, 2, 2, 4, 3, 2, 4, 3, 4, 1, 2, 5, 2, 4, 4, 4, 6, 1, 2, 5, 2, 6, 4, 5, 3, 4]",36,4.736
FIN_DP_B_hybrid_beta0.1_s2_st0600__humaneval,int4,humaneval,HumanEval/7,"[4, 3, 3, 4, 6, 6, 4, 4, 4, 5, 4, 5, 4, 5, 6, 5, 5, 6, 6, 3, 4, 3, 4, 4, 4, 5, 3, 4, 4, 4]",30,3.786
FIN_DP_B_hybrid_beta0.1_s2_st0600__humaneval,int4,humaneval,HumanEval/8,"[6, 2, 4, 4, 4, 3, 4, 4, 4, 1, 6, 5, 6, 6, 4, 4, 5, 3, 6, 3, 4, 4, 5, 3, 6, 4, 6, 4, 4, 5]",30,3.714
FIN_DP_B_hybrid_beta0.1_s2_st0600__humaneval,int4,humaneval,HumanEval/9,"[4, 2, 3, 1, 4, 4, 5, 3, 3, 4, 3, 6, 6, 2, 3, 1, 6, 2, 2, 2, 2, 4, 4, 3, 4, 5, 3, 3, 2, 2, 4, 6, 4, 2, 2, 1, 4, 4, 4]",39,4.834
FIN_DP_B_hybrid_beta0.1_s2_st0600__humaneval,int4,humaneval,HumanEval/10,"[4, 4, 2, 2, 3, 2, 5, 3, 4, 6, 3, 4, 3, 6, 3, 3, 3, 6, 3, 1, 5, 2, 6, 4, 6, 6, 4, 5, 4, 2, 3, 2, 3, 4, 3]",35,4.374
FIN_DP_B_hybrid_beta0.1_s2_st0600__humaneval,int4,humaneval,HumanEval/11,"[4, 3, 3, 4, 4, 4, 3, 3, 5, 3, 5, 3, 6, 3, 2, 2, 3, 3, 4, 4, 5, 3, 2, 2, 2, 4, 3, 4, 4, 6, 2, 3, 2, 3, 4, 4, 5]",37,4.574
FIN_DP_B_hybrid_beta0.1_s2_st0600__humaneval,int4,humaneval,HumanEval/12,"[4, 3, 2, 6, 4, 4, 6, 1, 4, 4, 2, 4, 4, 3, 6, 5, 5, 2, 2, 4, 4, 1, 5, 6, 6, 1, 5, 2, 4, 4, 3, 6, 5, 4]",34,4.181
FIN_DP_B_hybrid_beta0.1_s2_st0600__humaneval,int4,humaneval,HumanEval/13,"[4, 5, 4, 4, 6, 3, 2, 4, 4, 3, 5, 4, 3, 3, 1, 2, 5, 5, 3, 4, 4, 5, 4, 6, 4, 5, 4, 6, 3, 4, 1, 6, 3]",33,4.082
FIN_DP_B_hybrid_beta0.1_s2_st0600__humaneval,int4,humaneval,HumanEval/14,"[4, 3, 3, 3, 6, 4, 6, 4, 3, 5, 5, 1, 4, 5, 1, 2, 3, 3, 5, 4, 3, 4, 4, 6, 2, 1, 3, 5, 6, 4, 3, 4, 4, 2, 3]",35,4.337
FIN_DP_B_hybrid_beta0.1_s2_st0600__humaneval,int4,humaneval,HumanEval/15,"[6, 2, 1, 3, 3, 5, 5, 6, 4, 5, 1, 3, 3, 6, 1, 2, 4, 5, 4, 5, 3, 3, 6, 6, 2, 3, 5, 4, 2, 4, 4, 4, 3, 5]",34,4.213
FIN_DP_B_hybrid_beta0.1_s2_st0600__humaneval,int4,humaneval,HumanEval/16,"[5, 6, 2, 5, 2, 6, 6, 4, 6, 1, 3, 6, 4, 5, 3, 2, 6, 3, 5, 4, 6, 3, 6, 4, 4, 6, 6, 1, 4, 2, 4]",31,3.858
FIN_DP_B_hybrid_beta0.1_s2_st0600__humaneval,int4,humaneval,HumanEval/17,"[5, 3, 2, 4, 6, 4, 4, 5, 2, 5, 4, 4, 5, 3, 5, 3, 4, 1, 1, 2, 2, 5, 3, 4, 5, 4, 5, 4, 4, 4, 3, 4, 5, 4]",34,4.194
FIN_DP_B_hybrid_beta0.1_s2_st0600__humaneval,int4,humaneval,HumanEval/18,"[6, 3, 6, 2, 6, 3, 4, 6, 2, 6, 6, 2, 2, 5, 4, 3, 6, 4, 6, 5, 3, 6, 4, 6, 3, 3, 3, 2, 2, 4, 6]",31,3.826
FIN_DP_B_hybrid_beta0.1_s2_st0600__humaneval,int4,humaneval,HumanEval/19,"[4, 2, 2, 2, 2, 4, 6, 3, 6, 1, 3, 6, 4, 4, 2, 4, 6, 1, 2, 3, 5, 2, 4, 4, 3, 4, 2, 5, 2, 4, 6, 3, 4, 1, 4, 3, 4, 2]",38,4.66
FIN_DP_B_hybrid_beta0.1_s2_st0600__humaneval,int4,humaneval,HumanEval/20,"[6, 4, 4, 4, 4, 6, 4, 2, 3, 3, 6, 1, 2, 5, 6, 4, 4, 4, 4, 4, 4, 4, 6, 2, 6, 6, 6, 5, 4, 4, 6]",31,3.825
FIN_DP_B_hybrid_beta0.1_s2_st0600__humaneval,int4,humaneval,HumanEval/21,"[5, 3, 4, 6, 4, 3, 4, 5, 1, 3, 2, 6, 5, 3, 2, 3, 5, 5, 4, 2, 6, 2, 5, 6, 6, 6, 3, 6, 4, 6, 6]",31,3.863
FIN_DP_B_hybrid_beta0.1_s2_st0600__humaneval,int4,humaneval,HumanEval/22,"[4, 3, 3, 4, 3, 4, 6, 4, 4, 6, 1, 3, 6, 4, 4, 4, 3, 6, 4, 6, 2, 5, 4, 6, 6, 6, 6, 3, 5, 6]",30,3.714
FIN_DP_B_hybrid_beta0.1_s2_st0600__humaneval,int4,humaneval,HumanEval/23,"[4, 5, 3, 4, 4, 4, 4, 5, 4, 3, 4, 4, 4, 2, 4, 6, 2, 6, 5, 5, 4, 2, 3, 5, 2, 5, 1, 4, 5, 6, 6, 6]",32,3.97
FIN_DP_B_hybrid_beta0.1_s2_st0600__humaneval,int4,humaneval,HumanEval/24,"[4, 6, 4, 5, 4, 6, 2, 4, 6, 5, 3, 6, 6, 6, 3, 5, 6, 2, 5, 3, 4, 3, 6, 3, 2, 2, 1, 2, 4, 1, 2, 1, 2, 4]",34,4.202
FIN_DP_B_hybrid_beta0.1_s2_st0600__humaneval,int4,humaneval,HumanEval/25,"[4, 2, 3, 2, 2, 4, 6, 2, 4, 4, 3, 1, 4, 4, 5, 3, 3, 2, 3, 5, 1, 5, 5, 5, 5, 3, 4, 4, 4, 4, 3, 6, 4, 6, 4]",35,5.444
FIN_DP_B_hybrid_beta0.1_s2_st0600__humaneval,int4,humaneval,HumanEval/26,"[6, 2, 3, 6, 4, 6, 3, 3, 6, 2, 5, 1, 6, 5, 5, 4, 3, 6, 5, 2, 4, 3, 6, 3, 4, 6, 4, 6, 5, 6]",30,4.988
FIN_DP_B_hybrid_beta0.1_s2_st0600__humaneval,int4,humaneval,HumanEval/27,"[4, 2, 3, 6, 5, 3, 5, 1, 5, 6, 5, 3, 3, 5, 2, 3, 1, 4, 4, 2, 2, 6, 4, 3, 4, 5, 3, 6, 4, 2, 3, 4, 5, 6]",34,4.304
FIN_DP_B_hybrid_beta0.1_s2_st0600__humaneval,int4,humaneval,HumanEval/28,"[6, 4, 3, 6, 4, 5, 4, 6, 3, 6, 3, 3, 4, 3, 3, 5, 6, 4, 4, 4, 6, 2, 4, 5, 4, 3, 4, 4, 4, 6]",30,3.785
FIN_DP_B_hybrid_beta0.1_s2_st0600__humaneval,int4,humaneval,HumanEval/29,"[4, 3, 3, 4, 6, 5, 3, 5, 4, 3, 4, 4, 4, 3, 6, 4, 4, 2, 6, 6, 5, 5, 3, 4, 4, 4, 1, 6, 5, 5, 4]",31,3.882
FIN_DP_B_hybrid_beta0.1_s2_st0600__humaneval,int4,humaneval,HumanEval/30,"[4, 4, 4, 4, 4, 6, 4, 4, 5, 3, 3, 6, 5, 6, 5, 6, 4, 2, 3, 3, 5, 4, 6, 4, 4, 3, 6, 4, 3, 4]",30,3.769
FIN_DP_B_hybrid_beta0.1_s2_st0600__humaneval,int4,humaneval,HumanEval/31,"[4, 4, 2, 3, 4, 4, 5, 4, 4, 4, 6, 4, 5, 2, 3, 6, 3, 4, 4, 3, 4, 5, 3, 5, 3, 1, 3, 4, 4, 3, 5, 2, 2, 4, 4]",35,4.362
FIN_DP_B_hybrid_beta0.1_s2_st0600__humaneval,int4,humaneval,HumanEval/32,"[4, 5, 4, 5, 5, 3, 4, 2, 3, 4, 3, 4, 3, 5, 2, 5, 2, 6, 3, 3, 4, 4, 4, 4, 5, 4, 6, 5, 1, 5, 4, 4, 4]",33,4.19
FIN_DP_B_hybrid_beta0.1_s2_st0600__humaneval,int4,humaneval,HumanEval/33,"[6, 3, 4, 4, 2, 1, 4, 4, 4, 3, 2, 2, 2, 4, 5, 5, 4, 4, 4, 4, 4, 3, 5, 5, 6, 4, 2, 5, 6, 2, 4, 2, 5, 3, 5]",35,4.364
FIN_DP_B_hybrid_beta0.1_s2_st0600__humaneval,int4,humaneval,HumanEval/34,"[4, 4, 3, 2, 4, 6, 3, 5, 6, 2, 3, 2, 4, 2, 4, 4, 2, 6, 3, 4, 5, 1, 5, 4, 6, 4, 3, 6, 2, 3, 2, 4, 4, 6]",34,4.272
FIN_DP_B_hybrid_beta0.1_s2_st0600__humaneval,int4,humaneval,HumanEval/35,"[6, 3, 1, 6, 4, 6, 2, 5, 3, 3, 2, 4, 5, 4, 3, 4, 6, 6, 3, 5, 6, 2, 3, 4, 6, 3, 2, 6, 5, 3, 3, 4]",32,4.029
FIN_DP_B_hybrid_beta0.1_s2_st0600__humaneval,int4,humaneval,HumanEval/36,"[5, 3, 6, 6, 5, 4, 3, 5, 4, 5, 1, 2, 3, 3, 4, 4, 5, 6, 1, 1, 3, 6, 4, 3, 4, 6, 3, 4, 6, 4, 6, 5]",32,3.986
FIN_DP_B_hybrid_beta0.1_s2_st0600__humaneval,int4,humaneval,HumanEval/37,"[4, 4, 4, 3, 4, 4, 6, 3, 3, 2, 2, 3, 4, 2, 4, 5, 5, 6, 1, 4, 3, 6, 4, 2, 4, 4, 4, 3, 6, 4, 4, 3, 3, 3, 6]",35,4.384
FIN_DP_B_hybrid_beta0.1_s2_st0600__humaneval,int4,humaneval,HumanEval/38,"[6, 2, 1, 1, 5, 4, 6, 5, 3, 2, 4, 5, 6, 4, 6, 4, 3, 4, 1, 5, 3, 3, 2, 5, 4, 4, 6, 3, 4, 6, 5, 5, 4]",33,4.188
FIN_DP_B_hybrid_beta0.1_s2_st0600__humaneval,int4,humaneval,HumanEval/39,"[4, 3, 4, 6, 4, 6, 2, 6, 2, 2, 6, 5, 5, 3, 2, 2, 3, 4, 3, 6, 5, 3, 3, 1, 3, 5, 3, 3, 2, 6, 2, 4, 6, 6]",34,4.315
FIN_DP_B_hybrid_beta0.1_s2_st0600__humaneval,int4,humaneval,HumanEval/40,"[4, 4, 6, 4, 2, 4, 6, 6, 4, 3, 2, 2, 1, 1, 4, 5, 3, 4, 1, 4, 1, 3, 5, 2, 3, 4, 3, 3, 4, 6, 2, 6, 1, 4, 6, 2, 3]",37,4.686
FIN_DP_B_hybrid_beta0.1_s2_st0600__humaneval,int4,humaneval,HumanEval/41,"[6, 5, 2, 6, 2, 4, 3, 6, 6, 2, 5, 2, 1, 2, 6, 6, 3, 3, 4, 4, 3, 6, 2, 1, 2, 4, 1, 1, 3, 3, 3, 3, 2, 2, 4, 4, 4, 2]",38,4.783
FIN_DP_B_hybrid_beta0.1_s2_st0600__humaneval,int4,humaneval,HumanEval/42,"[6, 2, 2, 4, 6, 3, 3, 4, 6, 4, 4, 4, 2, 6, 5, 2, 4, 4, 5, 2, 4, 4, 6, 3, 6, 2, 5, 5, 4, 5, 4, 3]",32,4.068
FIN_DP_B_hybrid_beta0.1_s2_st0600__humaneval,int4,humaneval,HumanEval/43,"[5, 3, 5, 5, 2, 6, 6, 3, 4, 5, 6, 3, 6, 5, 2, 5, 2, 6, 1, 2, 4, 3, 5, 5, 5, 4, 3, 4, 6, 5, 2]",31,3.939
FIN_DP_B_hybrid_beta0.1_s2_st0600__humaneval,int4,humaneval,HumanEval/44,"[6, 2, 6, 4, 3, 6, 1, 3, 5, 1, 3, 3, 4, 3, 1, 2, 3, 6, 3, 4, 2, 5, 4, 2, 3, 3, 6, 6, 4, 6, 5, 4, 4, 5]",34,4.289
FIN_DP_B_hybrid_beta0.1_s2_st0600__humaneval,int4,humaneval,HumanEval/45,"[4, 4, 3, 4, 6, 6, 4, 1, 5, 2, 1, 4, 3, 1, 2, 3, 6, 2, 6, 4, 6, 4, 3, 1, 2, 4, 3, 4, 6, 6, 1, 6, 1, 4, 3, 5]",36,4.57
FIN_DP_B_hybrid_beta0.1_s2_st0600__humaneval,int4,humaneval,HumanEval/46,"[4, 4, 3, 4, 3, 6, 3, 4, 5, 4, 6, 5, 6, 6, 4, 6, 5, 6, 6, 5, 3, 3, 4, 5, 6, 6, 4, 3]",28,3.582
