tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
FIN_DP_B_hybrid_beta0.1_s2_st0600__mtbench,int4,mtbench,81,"[4, 4, 2, 3, 3, 3, 4, 5, 6, 2, 5, 3, 3, 2, 2, 3, 4, 4, 2, 4, 4, 2, 6, 4, 4, 2, 4, 2, 4, 4, 3, 3, 4, 4, 3, 4, 4]",37,6.439
FIN_DP_B_hybrid_beta0.1_s2_st0600__mtbench,int4,mtbench,82,"[4, 2, 4, 3, 6, 3, 6, 4, 4, 4, 2, 4, 6, 4, 2, 5, 2, 2, 3, 5, 4, 4, 1, 5, 6, 5, 1, 1, 4, 4, 4, 4, 1, 1, 2, 5, 5]",37,6.073
FIN_DP_B_hybrid_beta0.1_s2_st0600__mtbench,int4,mtbench,83,"[5, 5, 4, 6, 3, 6, 5, 3, 2, 4, 4, 4, 6, 2, 1, 2, 3, 4, 1, 2, 4, 2, 1, 4, 1, 5, 4, 5, 6, 3, 4, 4, 3, 1, 3, 3, 3]",37,6.076
FIN_DP_B_hybrid_beta0.1_s2_st0600__mtbench,int4,mtbench,84,"[4, 3, 4, 3, 4, 3, 2, 6, 4, 2, 5, 4, 3, 4, 4, 4, 2, 2, 4, 3, 1, 4, 3, 2, 4, 2, 3, 1, 5, 5, 3, 2, 6, 5, 3, 1, 4, 4]",38,5.715
FIN_DP_B_hybrid_beta0.1_s2_st0600__mtbench,int4,mtbench,85,"[6, 5, 5, 2, 1, 3, 5, 3, 4, 2, 3, 3, 1, 4, 1, 2, 3, 2, 2, 4, 1, 2, 4, 5, 3, 5, 2, 4, 1, 2, 2, 5, 3, 2, 2, 2, 2, 1, 2, 4, 1, 3, 4, 3, 3]",45,5.547
FIN_DP_B_hybrid_beta0.1_s2_st0600__mtbench,int4,mtbench,86,"[2, 4, 2, 6, 3, 3, 3, 2, 3, 2, 1, 1, 2, 3, 2, 2, 2, 2, 4, 2, 1, 1, 2, 1, 2, 1, 2, 1, 2, 2, 2, 2, 3, 2, 2, 3, 4, 4, 2, 1, 4, 1, 5, 3, 2, 1, 2, 4, 2, 1, 1, 2, 2, 3, 2, 2]",56,6.896
FIN_DP_B_hybrid_beta0.1_s2_st0600__mtbench,int4,mtbench,87,"[1, 4, 4, 4, 6, 5, 4, 4, 2, 4, 2, 2, 1, 1, 4, 4, 4, 1, 1, 2, 4, 5, 2, 3, 1, 1, 4, 3, 1, 3, 1, 2, 3, 4, 3, 2, 3, 1, 2, 1, 3, 2, 4, 2, 3, 1, 1, 6]",48,8.041
FIN_DP_B_hybrid_beta0.1_s2_st0600__mtbench,int4,mtbench,88,"[1, 3, 3, 2, 2, 2, 4, 3, 2, 4, 3, 4, 5, 2, 3, 3, 4, 2, 2, 2, 2, 3, 1, 3, 1, 1, 1, 2, 1, 3, 1, 2, 2, 2, 5, 1, 2, 2, 3, 3, 2, 3, 3, 4, 6, 1, 5, 4, 4]",49,6.347
FIN_DP_B_hybrid_beta0.1_s2_st0600__mtbench,int4,mtbench,89,"[1, 2, 4, 4, 2, 4, 4, 5, 5, 3, 2, 3, 3, 3, 5, 1, 1, 3, 3, 1, 2, 3, 3, 1, 4, 1, 2, 4, 1, 4, 2, 2, 4, 6, 2, 5, 4, 5, 6, 2, 2, 3, 6]",43,5.24
FIN_DP_B_hybrid_beta0.1_s2_st0600__mtbench,int4,mtbench,90,"[1, 1, 5, 4, 3, 3, 3, 3, 3, 3, 1, 3, 4, 2, 1, 4, 5, 1, 4, 2, 2, 3, 2, 4, 6, 4, 2, 2, 4, 4, 3, 6, 3]",33,4.073
FIN_DP_B_hybrid_beta0.1_s2_st0600__mtbench,int4,mtbench,91,"[4, 3, 4, 5, 1, 2, 2, 6, 3, 4, 5, 4, 3, 5, 3, 3, 2, 2, 1, 3, 2, 3, 1, 1, 2, 2, 4, 1, 1, 3, 5, 3, 2, 2, 2, 5, 4, 2, 4, 1, 3, 4, 1, 1, 3, 3]",46,5.614
FIN_DP_B_hybrid_beta0.1_s2_st0600__mtbench,int4,mtbench,92,"[3, 3, 3, 3, 1, 3, 2, 2, 3, 1, 4, 4, 2, 5, 2, 1, 2, 2, 4, 2, 3, 2, 4, 3, 1, 1, 3, 2, 1, 1, 4, 1, 1, 4, 1, 3, 2, 4, 1, 2, 2, 2, 5, 2, 2, 3, 1, 1, 2, 1, 6, 2, 1, 1, 3]",55,6.657
FIN_DP_B_hybrid_beta0.1_s2_st0600__mtbench,int4,mtbench,93,"[3, 6, 3, 2, 2, 4, 6, 2, 3, 1, 2, 4, 3, 1, 6, 4, 6, 6, 6, 1, 5, 6, 6, 4, 4, 4, 3, 3, 1, 2, 2, 4, 2, 4, 3, 3, 5]",37,4.542
FIN_DP_B_hybrid_beta0.1_s2_st0600__mtbench,int4,mtbench,94,"[4, 4, 3, 2, 2, 4, 3, 3, 2, 2, 3, 6, 4, 2, 3, 3, 3, 4, 4, 4, 1, 6, 3, 1, 3, 6, 3, 2, 3, 4, 3, 3, 2, 5, 2, 4, 2, 1, 3, 2, 5]",41,5.587
FIN_DP_B_hybrid_beta0.1_s2_st0600__mtbench,int4,mtbench,95,"[1, 2, 4, 1, 2, 3, 2, 3, 2, 2, 1, 2, 1, 4, 4, 3, 3, 2, 2, 1, 1, 1, 1, 3, 1, 4, 2, 2, 3, 4, 6, 3, 5, 6, 6, 5, 1, 3, 2, 6, 4, 3, 2, 4, 2, 1, 2]",47,6.82
FIN_DP_B_hybrid_beta0.1_s2_st0600__mtbench,int4,mtbench,96,"[6, 1, 4, 5, 2, 3, 6, 3, 3, 3, 4, 3, 6, 3, 3, 2, 3, 4, 3, 4, 3, 2, 2, 4, 2, 5, 4, 3, 3, 3, 3, 6, 4, 4, 1, 4, 3, 6]",38,5.103
FIN_DP_B_hybrid_beta0.1_s2_st0600__mtbench,int4,mtbench,97,"[4, 6, 3, 2, 2, 3, 2, 2, 2, 2, 4, 2, 3, 5, 2, 2, 3, 4, 4, 1, 3, 3, 6, 2, 4, 1, 2, 1, 4, 4, 3, 4, 2, 4, 3, 3, 3, 4, 4, 4, 3, 3]",42,5.61
FIN_DP_B_hybrid_beta0.1_s2_st0600__mtbench,int4,mtbench,98,"[2, 2, 4, 3, 1, 2, 2, 1, 2, 1, 2, 3, 5, 1, 4, 1, 4, 1, 1, 3, 2, 4, 3, 2, 2, 1, 3, 1, 4, 2, 3, 2, 2, 3, 1, 1, 4, 1, 2, 1, 4, 3, 1, 4, 2, 3, 2, 4, 4, 1, 2, 3, 1, 2, 3]",55,7.371
FIN_DP_B_hybrid_beta0.1_s2_st0600__mtbench,int4,mtbench,99,"[3, 2, 2, 6, 2, 1, 2, 4, 3, 6, 2, 4, 5, 4, 4, 4, 3, 2, 3, 4, 2, 2, 4, 2, 5, 3, 6, 4, 4, 6, 5, 2, 2, 2, 4, 1, 5, 1, 6]",39,5.439
FIN_DP_B_hybrid_beta0.1_s2_st0600__mtbench,int4,mtbench,100,"[3, 2, 1, 1, 2, 4, 1, 1, 4, 5, 3, 1, 1, 4, 1, 1, 6, 4, 5, 1, 3, 3, 3, 3, 2, 3, 3, 3, 3, 1, 3, 4, 2, 2, 4, 1, 2, 1, 3, 4, 2, 2, 5, 4, 3, 1, 4, 2, 2]",49,6.556
FIN_DP_B_hybrid_beta0.1_s2_st0600__mtbench,int4,mtbench,101,"[4, 3, 3, 2, 4, 5, 3, 1, 4, 5, 4, 5, 4, 4, 4, 3, 1, 5, 1, 1, 2, 4, 3, 3, 4, 1, 2, 4, 6, 4, 5, 2]",32,4.362
FIN_DP_B_hybrid_beta0.1_s2_st0600__mtbench,int4,mtbench,102,"[4, 3, 6, 2, 2, 2, 2, 3, 4, 2, 2, 4, 2, 3, 5, 2, 3, 3, 3, 2, 4, 2, 4, 4, 3, 2, 5, 2, 2, 3, 3, 2, 2, 5, 4, 4, 3, 1, 1, 3, 1, 3, 1, 4, 1]",45,5.929
FIN_DP_B_hybrid_beta0.1_s2_st0600__mtbench,int4,mtbench,103,"[6, 4, 3, 4, 6, 6, 4, 4, 4, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 4, 4, 4, 3, 4, 1, 4, 2, 1, 6, 4, 3, 1, 2, 4, 3, 1, 2]",38,5.071
FIN_DP_B_hybrid_beta0.1_s2_st0600__mtbench,int4,mtbench,104,"[4, 6, 4, 1, 4, 4, 4, 3, 3, 2, 5, 4, 3]",13,1.803
FIN_DP_B_hybrid_beta0.1_s2_st0600__mtbench,int4,mtbench,105,"[1, 1, 5, 2, 4, 2, 4, 3, 3, 2, 2, 5, 1]",13,1.823
FIN_DP_B_hybrid_beta0.1_s2_st0600__mtbench,int4,mtbench,106,"[3, 6, 5, 2, 4, 3, 5, 1, 3, 4, 4, 1, 2, 5, 2, 3, 4, 5, 4, 6, 6, 4, 4, 1, 3, 6, 4, 6, 5, 2, 5, 4, 6]",33,4.406
FIN_DP_B_hybrid_beta0.1_s2_st0600__mtbench,int4,mtbench,107,"[6, 5, 4, 6, 4, 4, 6, 3, 4, 6, 2, 4, 5, 6, 6, 2]",16,2.199
FIN_DP_B_hybrid_beta0.1_s2_st0600__mtbench,int4,mtbench,108,"[6, 5, 4, 2, 4, 2, 5, 2, 2, 2, 1, 4, 2, 4, 3, 6, 4, 3, 2, 5, 1, 3, 3, 3, 3, 4, 4, 2, 4, 6, 4]",31,4.159
FIN_DP_B_hybrid_beta0.1_s2_st0600__mtbench,int4,mtbench,109,"[2, 6, 4, 4, 4, 3, 4, 4, 6, 5, 4, 3, 4, 2, 4, 4, 1, 2, 6, 4, 4, 4, 3, 6, 4, 3, 4, 4, 4, 5, 5, 3, 4]",33,4.372
