tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
FIN_FD_B_conv_beta1_s0_st0600__gsm8k,int4,gsm8k,gsm8k_test_0,"[5, 3, 4, 2, 3, 4, 6, 4, 4, 4, 6, 2, 4, 2, 4, 2, 1, 2, 2, 2, 4, 3, 2, 3, 5, 2, 6, 5, 3, 6, 2, 4, 4, 4, 4, 4, 4]",37,7.815
FIN_FD_B_conv_beta1_s0_st0600__gsm8k,int4,gsm8k,gsm8k_test_1,"[4, 2, 6, 2, 6, 6, 6, 6, 2, 4, 4, 4, 3, 2, 1, 3, 4, 6, 4, 2, 5, 3, 4, 6, 1, 3, 6, 2, 3, 6, 4, 4, 3, 4]",34,6.956
FIN_FD_B_conv_beta1_s0_st0600__gsm8k,int4,gsm8k,gsm8k_test_2,"[5, 3, 4, 2, 3, 4, 6, 6, 6, 6, 3, 6, 6, 2, 2, 1, 3, 5, 3, 4, 6, 3, 6, 4, 5, 4, 6, 6, 6, 1, 3]",31,6.224
FIN_FD_B_conv_beta1_s0_st0600__gsm8k,int4,gsm8k,gsm8k_test_3,"[3, 6, 4, 1, 3, 6, 4, 4, 3, 4, 2, 3, 3, 5, 3, 2, 2, 5, 2, 1, 3, 5, 6, 4, 3, 4, 6, 3, 2, 6, 4, 6, 3, 5, 4]",35,6.972
FIN_FD_B_conv_beta1_s0_st0600__gsm8k,int4,gsm8k,gsm8k_test_4,"[3, 5, 3, 4, 1, 4, 6, 2, 2, 4, 1, 2, 4, 2, 4, 3, 2, 1, 3, 2, 4, 4, 4, 2, 2, 5, 3, 4, 6, 5, 4, 5, 2, 6, 6, 5, 3]",37,5.735
FIN_FD_B_conv_beta1_s0_st0600__gsm8k,int4,gsm8k,gsm8k_test_5,"[3, 6, 4, 6, 4, 6, 2, 3, 2, 4, 4, 4, 4, 3, 3, 4, 4, 2, 6, 4, 4, 6, 4, 4, 4, 4, 3, 4, 3, 3, 5, 3, 2, 5]",34,4.667
FIN_FD_B_conv_beta1_s0_st0600__gsm8k,int4,gsm8k,gsm8k_test_6,"[6, 5, 3, 1, 3, 3, 6, 2, 3, 5, 6, 4, 4, 3, 1, 3, 1, 1, 2, 2, 5, 6, 5, 5, 5, 4, 1, 2, 5, 2, 3, 4, 4, 2, 6, 6]",36,4.659
FIN_FD_B_conv_beta1_s0_st0600__gsm8k,int4,gsm8k,gsm8k_test_7,"[5, 3, 4, 3, 3, 4, 3, 1, 5, 2, 6, 5, 4, 4, 4, 4, 6, 1, 3, 4, 5, 5, 3, 3, 3, 3, 4, 4, 4, 5, 1, 3, 4, 3, 3, 2]",36,4.61
FIN_FD_B_conv_beta1_s0_st0600__gsm8k,int4,gsm8k,gsm8k_test_8,"[3, 2, 4, 4, 2, 3, 2, 4, 3, 6, 4, 6, 6, 3, 4, 3, 6, 1, 4, 4, 1, 4, 6, 4, 3, 3, 4, 4, 3, 4, 4, 4, 3, 4, 3]",35,4.967
FIN_FD_B_conv_beta1_s0_st0600__gsm8k,int4,gsm8k,gsm8k_test_9,"[4, 6, 3, 4, 4, 6, 2, 4, 3, 4, 5, 4, 4, 1, 6, 3, 3, 2, 2, 4, 4, 2, 4, 3, 4, 6, 4, 2, 5, 4, 6, 2, 5, 3]",34,5.139
FIN_FD_B_conv_beta1_s0_st0600__gsm8k,int4,gsm8k,gsm8k_test_10,"[3, 6, 4, 4, 5, 4, 6, 2, 3, 5, 3, 1, 3, 4, 6, 5, 4, 4, 6, 3, 4, 6, 5, 4, 6, 2, 1, 4, 6, 5, 3, 2]",32,4.628
FIN_FD_B_conv_beta1_s0_st0600__gsm8k,int4,gsm8k,gsm8k_test_11,"[3, 6, 4, 6, 4, 4, 4, 6, 3, 3, 4, 1, 3, 1, 4, 3, 2, 2, 5, 1, 3, 4, 5, 2, 4, 4, 5, 4, 4, 1, 2, 3, 6, 2, 3, 6, 4]",37,5.02
FIN_FD_B_conv_beta1_s0_st0600__gsm8k,int4,gsm8k,gsm8k_test_12,"[4, 2, 2, 4, 2, 3, 3, 6, 6, 5, 6, 4, 3, 4, 4, 4, 2, 2, 3, 4, 3, 2, 5, 6, 5, 5, 3, 2, 4, 3, 5, 4, 3, 2, 6]",35,4.392
FIN_FD_B_conv_beta1_s0_st0600__gsm8k,int4,gsm8k,gsm8k_test_13,"[4, 6, 4, 4, 3, 6, 2, 6, 4, 6, 3, 3, 4, 3, 6, 2, 4, 3, 4, 6, 5, 3, 5, 2, 5, 2, 6, 2, 4, 4, 6, 4]",32,3.963
FIN_FD_B_conv_beta1_s0_st0600__gsm8k,int4,gsm8k,gsm8k_test_14,"[4, 6, 4, 4, 5, 2, 2, 3, 5, 4, 6, 2, 1, 5, 1, 3, 4, 3, 6, 3, 2, 3, 2, 2, 5, 5, 6, 4, 2, 4, 2, 1, 6, 6, 2, 4]",36,4.498
FIN_FD_B_conv_beta1_s0_st0600__gsm8k,int4,gsm8k,gsm8k_test_15,"[4, 6, 3, 2, 4, 4, 1, 3, 6, 5, 4, 1, 4, 2, 4, 3, 5, 2, 5, 4, 4, 3, 3, 4, 3, 5, 4, 3, 2, 2, 6, 2, 2, 4, 6, 6]",36,4.573
FIN_FD_B_conv_beta1_s0_st0600__gsm8k,int4,gsm8k,gsm8k_test_16,"[3, 6, 5, 3, 4, 6, 3, 4, 2, 3, 1, 4, 3, 2, 2, 3, 1, 6, 4, 4, 2, 1, 4, 4, 6, 4, 5, 2, 3, 5, 2, 6, 2, 6, 4, 4]",36,4.604
FIN_FD_B_conv_beta1_s0_st0600__gsm8k,int4,gsm8k,gsm8k_test_17,"[1, 4, 2, 4, 2, 4, 4, 5, 4, 4, 4, 4, 6, 2, 4, 5, 3, 3, 3, 2, 5, 2, 3, 3, 3, 4, 3, 6, 6, 6, 5, 4, 6, 5]",34,4.354
FIN_FD_B_conv_beta1_s0_st0600__gsm8k,int4,gsm8k,gsm8k_test_18,"[6, 5, 4, 5, 6, 3, 2, 5, 5, 4, 1, 3, 6, 6, 5, 5, 4, 2, 6, 1, 3, 3, 3, 2, 2, 3, 2, 6, 6, 5, 2, 4, 3]",33,4.196
FIN_FD_B_conv_beta1_s0_st0600__gsm8k,int4,gsm8k,gsm8k_test_19,"[3, 4, 4, 4, 6, 2, 6, 3, 6, 4, 6, 5, 6, 2, 2, 3, 4, 4, 5, 2, 3, 6, 3, 5, 5, 3, 6, 4, 2, 3, 5, 4]",32,4.06
FIN_FD_B_conv_beta1_s0_st0600__gsm8k,int4,gsm8k,gsm8k_test_20,"[4, 4, 2, 2, 4, 5, 1, 2, 4, 3, 6, 4, 6, 6, 6, 2, 4, 3, 4, 4, 5, 2, 5, 3, 3, 4, 2, 5, 6, 4, 4, 3, 2, 1, 2, 4]",36,4.57
FIN_FD_B_conv_beta1_s0_st0600__gsm8k,int4,gsm8k,gsm8k_test_21,"[1, 4, 6, 3, 6, 6, 4, 2, 6, 2, 2, 6, 2, 3, 4, 3, 2, 3, 2, 2, 6, 6, 3, 5, 2, 2, 2, 3, 1, 6, 2, 6, 3, 5, 4, 4]",36,4.547
FIN_FD_B_conv_beta1_s0_st0600__gsm8k,int4,gsm8k,gsm8k_test_22,"[4, 2, 2, 2, 2, 2, 4, 4, 4, 6, 4, 6, 4, 4, 3, 4, 3, 2, 2, 2, 6, 6, 3, 4, 3, 1, 4, 4, 4, 4, 6, 4, 3, 3, 6, 3]",36,4.552
FIN_FD_B_conv_beta1_s0_st0600__gsm8k,int4,gsm8k,gsm8k_test_23,"[4, 4, 5, 3, 4, 6, 2, 2, 5, 6, 2, 4, 3, 3, 2, 3, 5, 5, 4, 6, 3, 5, 3, 5, 2, 2, 4, 6, 6, 4, 3, 2, 4, 2]",34,4.306
FIN_FD_B_conv_beta1_s0_st0600__gsm8k,int4,gsm8k,gsm8k_test_24,"[4, 6, 5, 5, 3, 2, 3, 4, 6, 4, 4, 4, 4, 4, 3, 2, 2, 4, 5, 4, 5, 5, 4, 6, 6, 5, 6, 5, 4, 6]",30,3.828
FIN_FD_B_conv_beta1_s0_st0600__gsm8k,int4,gsm8k,gsm8k_test_25,"[4, 4, 3, 3, 4, 5, 6, 6, 6, 6, 5, 3, 5, 5, 4, 4, 3, 4, 4, 4, 2, 3, 5, 4, 3, 6, 3, 6, 6, 2]",30,3.82
FIN_FD_B_conv_beta1_s0_st0600__gsm8k,int4,gsm8k,gsm8k_test_26,"[3, 6, 5, 4, 3, 6, 2, 2, 4, 3, 2, 3, 5, 4, 6, 4, 4, 5, 4, 4, 4, 6, 5, 5, 6, 4, 5, 5, 6, 5]",30,3.806
FIN_FD_B_conv_beta1_s0_st0600__gsm8k,int4,gsm8k,gsm8k_test_27,"[6, 4, 4, 5, 4, 5, 4, 6, 4, 6, 6, 2, 2, 3, 1, 3, 6, 2, 2, 4, 3, 6, 4, 4, 5, 4, 6, 2, 4, 4, 3, 5]",32,4.064
FIN_FD_B_conv_beta1_s0_st0600__gsm8k,int4,gsm8k,gsm8k_test_28,"[4, 4, 5, 4, 6, 5, 4, 4, 6, 6, 4, 3, 1, 1, 3, 2, 4, 3, 6, 1, 4, 2, 3, 2, 3, 2, 5, 5, 4, 4, 4, 4, 4, 1, 1, 3, 2]",37,4.683
FIN_FD_B_conv_beta1_s0_st0600__gsm8k,int4,gsm8k,gsm8k_test_29,"[4, 2, 2, 4, 2, 4, 4, 2, 3, 2, 2, 6, 5, 4, 6, 2, 6, 5, 2, 2, 2, 4, 3, 2, 4, 4, 4, 4, 1, 2, 2, 2, 5, 3, 5, 2, 3, 2, 3, 3]",40,5.08
FIN_FD_B_conv_beta1_s0_st0600__gsm8k,int4,gsm8k,gsm8k_test_30,"[6, 6, 4, 3, 3, 6, 2, 4, 3, 3, 5, 3, 4, 4, 4, 6, 4, 5, 5, 4, 1, 5, 1, 5, 4, 5, 2, 1, 1, 5, 2, 3, 4, 2, 4]",35,4.432
FIN_FD_B_conv_beta1_s0_st0600__gsm8k,int4,gsm8k,gsm8k_test_31,"[3, 6, 6, 4, 5, 2, 1, 4, 4, 4, 2, 6, 6, 4, 4, 5, 3, 6, 5, 5, 6, 6, 6, 5, 2, 4, 6, 6, 4]",29,3.714
FIN_FD_B_conv_beta1_s0_st0600__gsm8k,int4,gsm8k,gsm8k_test_32,"[4, 4, 5, 5, 4, 5, 2, 5, 2, 4, 6, 4, 4, 4, 2, 2, 2, 1, 3, 1, 4, 6, 2, 6, 2, 3, 5, 3, 4, 2, 4, 4, 4, 2, 2, 4, 4]",37,4.661
FIN_FD_B_conv_beta1_s0_st0600__gsm8k,int4,gsm8k,gsm8k_test_33,"[3, 6, 4, 5, 4, 6, 4, 2, 4, 2, 3, 4, 5, 5, 1, 6, 3, 6, 3, 4, 5, 4, 5, 5, 2, 4, 6, 6, 5, 4, 3]",31,3.932
FIN_FD_B_conv_beta1_s0_st0600__gsm8k,int4,gsm8k,gsm8k_test_34,"[6, 5, 4, 4, 3, 6, 4, 2, 4, 6, 4, 5, 4, 4, 3, 6, 1, 4, 3, 4, 6, 6, 4, 3, 3, 5, 2, 6, 6, 6]",30,3.806
FIN_FD_B_conv_beta1_s0_st0600__gsm8k,int4,gsm8k,gsm8k_test_35,"[3, 6, 5, 3, 6, 3, 3, 4, 4, 2, 3, 3, 6, 5, 6, 3, 1, 6, 1, 4, 6, 5, 5, 6, 6, 6, 3, 6, 4, 4]",30,3.806
FIN_FD_B_conv_beta1_s0_st0600__gsm8k,int4,gsm8k,gsm8k_test_36,"[4, 4, 5, 4, 5, 6, 2, 3, 6, 4, 3, 6, 4, 1, 6, 4, 3, 4, 6, 4, 6, 2, 1, 2, 4, 4, 6, 5, 3, 4, 6, 4]",32,4.063
FIN_FD_B_conv_beta1_s0_st0600__gsm8k,int4,gsm8k,gsm8k_test_37,"[6, 2, 4, 2, 4, 2, 6, 1, 2, 2, 3, 5, 4, 6, 4, 1, 2, 4, 1, 2, 1, 2, 3, 2, 4, 3, 3, 3, 1, 3, 2, 2, 1, 3, 2, 5, 3, 6, 1, 6, 2, 4, 2, 5]",44,5.515
FIN_FD_B_conv_beta1_s0_st0600__gsm8k,int4,gsm8k,gsm8k_test_38,"[4, 6, 5, 6, 6, 3, 5, 4, 1, 3, 5, 2, 4, 1, 6, 3, 4, 2, 2, 6, 6, 2, 2, 3, 4, 4, 2, 3, 5, 2, 4, 2, 6, 5]",34,4.284
FIN_FD_B_conv_beta1_s0_st0600__gsm8k,int4,gsm8k,gsm8k_test_39,"[6, 4, 5, 4, 4, 6, 4, 6, 6, 3, 5, 6, 2, 2, 2, 1, 3, 6, 2, 2, 2, 5, 3, 4, 4, 2, 4, 4, 2, 4, 5, 3, 4, 4]",34,4.281
FIN_FD_B_conv_beta1_s0_st0600__gsm8k,int4,gsm8k,gsm8k_test_40,"[3, 6, 4, 4, 5, 4, 4, 4, 4, 2, 6, 1, 4, 4, 3, 3, 2, 3, 2, 6, 4, 3, 6, 2, 3, 6, 5, 6, 4, 1, 3, 6, 3, 3]",34,4.216
FIN_FD_B_conv_beta1_s0_st0600__gsm8k,int4,gsm8k,gsm8k_test_41,"[5, 4, 3, 2, 3, 3, 3, 4, 4, 4, 5, 6, 3, 2, 2, 4, 3, 4, 3, 4, 4, 1, 3, 4, 4, 4, 2, 2, 3, 6, 3, 2, 6, 2, 2, 4, 6]",37,4.601
FIN_FD_B_conv_beta1_s0_st0600__gsm8k,int4,gsm8k,gsm8k_test_42,"[3, 6, 5, 6, 4, 6, 4, 3, 4, 3, 4, 5, 2, 4, 4, 4, 4, 5, 4, 5, 4, 3, 5, 1, 3, 3, 1, 3, 6, 3, 4, 4, 3]",33,4.135
FIN_FD_B_conv_beta1_s0_st0600__gsm8k,int4,gsm8k,gsm8k_test_43,"[4, 6, 4, 4, 4, 4, 2, 4, 5, 3, 3, 3, 3, 6, 3, 6, 4, 3, 5, 4, 2, 4, 6, 4, 3, 4, 3, 3, 4, 2, 6, 4, 4]",33,4.105
FIN_FD_B_conv_beta1_s0_st0600__gsm8k,int4,gsm8k,gsm8k_test_44,"[4, 6, 4, 4, 6, 4, 4, 2, 3, 4, 6, 1, 4, 4, 3, 3, 4, 6, 3, 4, 6, 6, 1, 2, 4, 6, 1, 4, 4, 5, 4, 4, 5]",33,4.112
