tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
FIN_FD_B_conv_beta1_s1_st0600__humaneval,int4,humaneval,HumanEval/0,"[6, 3, 5, 6, 3, 2, 5, 5, 2, 2, 4, 6, 5, 4, 1, 1, 5, 6, 6, 4, 4, 2, 3, 6, 3, 4, 6, 3, 6, 4, 6]",31,5.575
FIN_FD_B_conv_beta1_s1_st0600__humaneval,int4,humaneval,HumanEval/1,"[6, 5, 3, 4, 4, 6, 6, 4, 6, 4, 3, 3, 6, 5, 2, 6, 2, 5, 5, 5, 4, 1, 1, 3, 1, 2, 6, 2, 1, 1, 2, 1, 4, 4, 1, 4]",36,6.008
FIN_FD_B_conv_beta1_s1_st0600__humaneval,int4,humaneval,HumanEval/2,"[6, 3, 4, 6, 4, 5, 2, 4, 4, 3, 2, 2, 5, 2, 4, 3, 3, 3, 6, 4, 4, 6, 6, 6, 6, 2, 4, 2, 2, 2, 5, 2, 3, 5]",34,5.608
FIN_FD_B_conv_beta1_s1_st0600__humaneval,int4,humaneval,HumanEval/3,"[6, 3, 5, 4, 4, 5, 6, 3, 2, 3, 4, 4, 1, 4, 2, 5, 4, 4, 1, 3, 1, 4, 4, 3, 4, 1, 5, 1, 1, 5, 2, 4, 2, 4, 6, 4, 4]",37,4.666
FIN_FD_B_conv_beta1_s1_st0600__humaneval,int4,humaneval,HumanEval/4,"[6, 3, 3, 3, 6, 4, 4, 5, 4, 4, 4, 4, 4, 5, 5, 4, 4, 3, 3, 4, 4, 4, 4, 3, 2, 6, 1, 6, 6, 4, 5, 5]",32,4.015
FIN_FD_B_conv_beta1_s1_st0600__humaneval,int4,humaneval,HumanEval/5,"[6, 4, 4, 6, 4, 3, 4, 5, 4, 3, 4, 5, 3, 2, 3, 5, 1, 2, 4, 3, 6, 4, 5, 4, 4, 3, 3, 6, 4, 2, 1, 3, 4, 5]",34,4.283
FIN_FD_B_conv_beta1_s1_st0600__humaneval,int4,humaneval,HumanEval/6,"[6, 1, 3, 1, 3, 6, 6, 3, 4, 5, 3, 4, 3, 3, 3, 4, 5, 2, 2, 4, 3, 3, 6, 5, 2, 4, 4, 1, 2, 6, 2, 3, 1, 2, 4, 4, 5]",37,4.65
FIN_FD_B_conv_beta1_s1_st0600__humaneval,int4,humaneval,HumanEval/7,"[6, 2, 2, 4, 4, 4, 5, 4, 3, 4, 4, 4, 3, 3, 4, 4, 1, 6, 5, 5, 6, 6, 4, 3, 3, 4, 4, 6, 3, 3, 4, 5]",32,4.044
FIN_FD_B_conv_beta1_s1_st0600__humaneval,int4,humaneval,HumanEval/8,"[6, 3, 3, 4, 5, 2, 3, 3, 4, 3, 4, 3, 3, 2, 5, 5, 5, 3, 6, 1, 6, 5, 2, 3, 3, 5, 3, 5, 5, 4, 4, 3, 4, 4]",34,4.275
FIN_FD_B_conv_beta1_s1_st0600__humaneval,int4,humaneval,HumanEval/9,"[6, 4, 4, 6, 4, 2, 4, 3, 2, 4, 5, 2, 1, 4, 1, 6, 2, 3, 2, 4, 3, 5, 3, 4, 2, 2, 4, 4, 2, 3, 4, 1, 1, 3, 4, 1, 3, 5, 3, 6]",40,5.002
FIN_FD_B_conv_beta1_s1_st0600__humaneval,int4,humaneval,HumanEval/10,"[6, 3, 3, 4, 3, 4, 4, 6, 5, 6, 4, 5, 4, 4, 5, 2, 3, 3, 4, 2, 3, 6, 6, 6, 6, 5, 4, 4, 4, 3, 5]",31,3.923
FIN_FD_B_conv_beta1_s1_st0600__humaneval,int4,humaneval,HumanEval/11,"[6, 3, 3, 4, 6, 4, 4, 4, 3, 2, 3, 4, 4, 3, 3, 4, 6, 6, 5, 1, 3, 1, 4, 3, 2, 4, 3, 5, 5, 4, 5, 1, 1, 1, 2, 4, 2]",37,4.645
FIN_FD_B_conv_beta1_s1_st0600__humaneval,int4,humaneval,HumanEval/12,"[6, 4, 6, 4, 4, 6, 1, 2, 4, 2, 4, 3, 3, 2, 3, 6, 4, 6, 5, 3, 5, 4, 2, 2, 3, 1, 2, 5, 3, 3, 4, 3, 5, 4, 4]",35,4.392
FIN_FD_B_conv_beta1_s1_st0600__humaneval,int4,humaneval,HumanEval/13,"[6, 2, 4, 3, 6, 6, 4, 6, 4, 4, 4, 2, 1, 3, 2, 4, 4, 3, 5, 3, 6, 4, 6, 5, 2, 4, 2, 4, 5, 4, 4, 3, 3]",33,4.192
FIN_FD_B_conv_beta1_s1_st0600__humaneval,int4,humaneval,HumanEval/14,"[6, 3, 2, 1, 3, 6, 6, 2, 4, 4, 3, 4, 3, 3, 6, 1, 4, 2, 2, 1, 5, 4, 1, 3, 2, 4, 6, 6, 4, 4, 4, 3, 4, 2, 4, 4, 4]",37,4.65
FIN_FD_B_conv_beta1_s1_st0600__humaneval,int4,humaneval,HumanEval/15,"[5, 3, 1, 3, 2, 4, 2, 5, 6, 4, 4, 2, 4, 2, 6, 1, 2, 5, 4, 4, 2, 4, 3, 1, 3, 5, 5, 1, 5, 2, 5, 3, 3, 2, 6, 1, 4, 3, 4]",39,4.88
