tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
FIN_FD_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,81,"[5, 3, 2, 3, 2, 3, 1, 2, 2, 5, 5, 2, 3, 1, 2, 3, 3, 2, 3, 3, 4, 5, 4, 4, 2, 4, 2, 6, 5, 5, 4, 3, 4, 4, 4, 3, 3, 2, 1, 3, 2]",41,7.037
FIN_FD_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,82,"[4, 2, 4, 3, 6, 3, 6, 5, 3, 4, 2, 5, 3, 4, 2, 2, 4, 2, 2, 2, 5, 5, 6, 3, 4, 4, 6, 1, 6, 3, 3, 2, 2, 1, 2, 4, 4]",37,4.609
FIN_FD_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,83,"[4, 6, 4, 3, 4, 4, 4, 5, 2, 3, 4, 6, 5, 4, 2, 3, 4, 1, 2, 4, 3, 3, 2, 3, 4, 2, 3, 1, 5, 5, 2, 1, 2, 2, 4, 3, 3, 4, 2]",39,5.258
FIN_FD_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,84,"[4, 2, 1, 2, 3, 4, 5, 2, 6, 3, 3, 3, 3, 4, 4, 4, 3, 3, 4, 4, 1, 5, 1, 2, 4, 3, 2, 3, 2, 3, 6, 4, 2, 4, 3, 2, 3, 2, 6, 1, 3]",41,5.67
FIN_FD_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,85,"[4, 6, 6, 2, 2, 3, 4, 3, 4, 2, 2, 1, 3, 1, 3, 4, 1, 4, 1, 1, 3, 2, 2, 1, 1, 2, 3, 2, 6, 4, 1, 1, 1, 3, 3, 4, 2, 3, 3, 3, 4, 2, 5, 1, 3, 1, 3, 1, 4]",49,7.874
FIN_FD_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,86,"[2, 4, 2, 5, 2, 2, 4, 4, 3, 3, 1, 2, 3, 3, 4, 4, 2, 1, 3, 3, 1, 5, 2, 2, 2, 3, 2, 2, 4, 3, 4, 3, 5, 2, 2, 2, 1, 1, 4, 3, 1, 1, 2, 2, 3, 3, 1, 2, 3]",49,8.089
FIN_FD_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,87,"[3, 2, 5, 1, 2, 2, 4, 5, 4, 4, 2, 3, 3, 2, 2, 3, 3, 5, 3, 2, 6, 2, 2, 3, 2, 3, 1, 4, 5, 1, 4, 2, 1, 4, 2, 2, 3, 3, 2, 4, 2, 2, 4, 3, 4]",45,7.395
FIN_FD_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,88,"[2, 2, 3, 2, 2, 2, 4, 3, 2, 4, 3, 3, 1, 3, 2, 4, 3, 4, 4, 2, 4, 1, 1, 1, 2, 6, 2, 2, 1, 3, 1, 4, 2, 2, 4, 4, 2, 1, 3, 5, 4, 1, 3, 3, 3, 3, 4, 2]",48,7.859
FIN_FD_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,89,"[1, 2, 4, 4, 2, 4, 3, 4, 6, 4, 2, 4, 4, 4, 3, 1, 3, 1, 3, 2, 2, 1, 4, 4, 1, 2, 4, 1, 2, 3, 3, 5, 4, 4, 3, 4, 4, 4, 3, 4, 4, 6]",42,5.92
FIN_FD_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,90,"[1, 1, 6, 3, 3, 3, 4, 2, 3, 2, 4, 5, 2, 1, 4, 4, 4, 2, 2, 2, 3, 4, 4, 2, 3, 4, 3, 3, 3, 2, 2, 5, 3, 2]",34,4.282
FIN_FD_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,91,"[3, 2, 4, 5, 2, 6, 4, 6, 5, 2, 3, 1, 1, 2, 6, 3, 5, 1, 2, 3, 1, 3, 2, 2, 5, 4, 4, 3, 3, 1, 1, 2, 4, 4, 3, 2, 3, 3, 4, 2, 3, 3]",42,5.248
FIN_FD_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,92,"[1, 2, 3, 3, 2, 1, 1, 3, 1, 3, 4, 6, 3, 6, 2, 1, 2, 2, 3, 3, 3, 4, 1, 1, 2, 3, 3, 4, 2, 1, 1, 4, 2, 3, 3, 2, 2, 3, 2, 3, 3, 2, 3, 2, 1, 1, 1, 2, 2, 1, 1, 6, 1, 1]",54,6.683
FIN_FD_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,93,"[4, 6, 2, 2, 2, 3, 5, 4, 3, 6, 6, 6, 3, 4, 2, 4, 3, 3, 4, 2, 4, 2, 3, 1, 2, 3, 4, 5, 2, 3, 3, 3, 3, 4, 3, 6, 5]",37,4.644
FIN_FD_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,94,"[4, 3, 4, 2, 2, 1, 4, 4, 1, 5, 2, 3, 1, 3, 2, 4, 4, 2, 3, 2, 2, 3, 3, 4]",24,3.045
FIN_FD_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,95,"[1, 2, 4, 6, 3, 5, 1, 1, 3, 2, 4, 4, 2, 2, 1, 3, 1, 2, 1, 1, 3, 4, 2, 4, 5, 4, 4, 3, 3, 5, 2, 3, 4, 3, 3, 1, 1, 6, 4, 4, 2, 3, 1, 2, 1, 1, 4]",47,5.868
FIN_FD_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,96,"[6, 1, 5, 4, 2, 4, 6, 5, 4, 1, 4, 2, 6, 2, 3, 5, 4, 6, 2, 2, 2, 1, 4, 3, 2, 4, 1, 5, 4, 2, 2, 2, 5, 1, 2, 3, 3, 3, 4, 6]",40,4.979
FIN_FD_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,97,"[4, 6, 3, 2, 5, 3, 3, 4, 1, 2, 3, 2, 2, 2, 5, 1, 4, 3, 3, 1, 3, 5, 4, 3, 4, 1, 1, 2, 2, 3, 4, 3, 3, 1, 3, 3, 1, 3, 3, 3, 2, 6, 3, 6]",44,5.479
FIN_FD_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,98,"[2, 3, 3, 3, 1, 2, 2, 1, 3, 4, 4, 2, 2, 2, 4, 2, 4, 4, 2, 2, 4, 2, 1, 2, 3, 1, 1, 6, 2, 4, 3, 3, 3, 5, 3, 2, 4, 4, 6, 1, 3, 4, 2, 2, 2, 1, 3]",47,5.845
FIN_FD_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,99,"[1, 4, 3, 2, 2, 3, 4, 3, 4, 6, 2, 5, 6, 6, 2, 4, 2, 1, 2, 2, 4, 6, 2, 3, 4, 4, 6, 2, 6, 4, 4, 2, 3, 5, 2, 5, 3]",37,4.661
FIN_FD_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,100,"[3, 3, 1, 1, 4, 2, 4, 1, 1, 3, 1, 2, 4, 2, 2, 2, 4, 2, 3, 2, 1, 3, 1, 4, 4, 3, 1, 2, 3, 6, 3, 1, 2, 1, 1, 5, 2, 4, 3, 2, 1, 1, 2, 6, 3, 3, 1, 2, 2, 1, 1, 3, 2, 3]",54,6.691
FIN_FD_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,101,"[6, 1, 6, 3, 4, 3, 6, 4, 1, 4, 4, 5, 4, 5, 4, 4, 1, 2, 3, 4, 3, 4, 1, 3, 6, 6, 6, 5, 3]",29,3.682
FIN_FD_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,102,"[6, 3, 5, 2, 1, 2, 2, 1, 4, 2, 2, 2, 3, 2, 1, 3, 4, 3, 4, 3, 2, 2, 6, 2, 2, 4, 6, 4, 2, 3, 2, 2, 2, 2, 5, 2, 2, 1, 1, 4, 2, 2, 1, 1, 1, 3, 2, 4, 4]",49,6.147
FIN_FD_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,103,"[3, 3, 6, 3, 6, 4, 5, 4, 2, 3, 2, 4, 2, 3, 3, 4, 6, 2, 5, 2, 4, 6, 1, 6, 6, 3, 2, 4, 4, 3, 4, 4, 4, 2, 4]",35,4.419
FIN_FD_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,104,"[4, 4, 4, 2, 1, 4, 4, 3, 4, 2, 1, 2, 2, 4, 4, 1]",16,2.084
FIN_FD_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,105,"[2, 3, 2, 2, 4, 3, 3, 3, 3, 2, 2, 5, 1]",13,1.715
FIN_FD_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,106,"[4, 6, 4, 2, 2, 2, 3, 6, 2, 3, 6, 6, 5, 4, 3, 3, 5, 5, 6, 1, 2, 2]",22,2.826
FIN_FD_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,107,"[4, 6, 2, 4, 3, 5, 4, 2, 2, 1, 1, 2, 5, 4, 2, 6, 4, 3, 3, 6, 3, 4, 5, 3, 1, 1, 1, 3, 4, 5, 3, 4, 6, 4]",34,4.288
FIN_FD_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,108,"[4, 6, 5, 2, 4, 4, 5, 2, 3, 4, 2, 5, 3, 4, 2, 3, 3, 1, 2, 2, 1, 2, 2, 4, 5, 3, 4, 4, 2, 4, 4, 6, 2]",33,4.171
FIN_FD_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,109,"[2, 1, 6, 5, 5, 4, 4, 3, 4, 4, 6, 5, 2, 4, 1, 3, 1, 1, 4, 2, 4, 5, 5, 3, 3, 3, 1, 4, 3, 3, 1, 2, 4, 5, 3, 6, 3, 4]",38,4.748
FIN_FD_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,110,"[3, 4, 6, 5, 4, 3, 1, 3, 2, 3, 5, 2, 5, 5, 3, 3, 4, 5, 4, 3, 2, 3, 6, 2, 5, 3, 6, 3, 4, 1, 3, 1, 5, 2, 5, 2, 5]",37,4.64
FIN_FD_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,111,"[6, 6, 3, 6, 4, 4, 3, 1, 1, 2, 3, 2, 5, 5, 2, 1, 4, 4, 2, 6, 6, 4, 4, 5, 1, 6, 3, 6, 3, 3, 4, 6, 5, 1]",34,4.267
FIN_FD_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,112,"[4, 6, 4, 1, 5, 4, 4, 5, 3, 1, 4, 4, 3, 4, 5, 5, 6, 2, 6, 2, 3, 4, 4, 6, 4, 5, 6, 6, 4, 6, 2]",31,3.9
FIN_FD_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,113,"[6, 6, 4, 6, 1, 3, 5, 2, 3, 4, 3, 5, 4, 5, 4, 5, 4, 2, 2, 3, 2, 3, 4, 3, 5, 3, 5, 5, 2, 2, 5, 4, 6, 2]",34,4.262
FIN_FD_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,114,"[4, 4, 5, 2, 4, 5, 4, 2, 4, 4, 3, 2, 4, 2, 2, 3, 1, 4, 1, 3, 4, 4, 2, 4, 4, 4, 4, 2, 4, 5, 4, 5, 4, 2, 4, 5, 6]",37,4.613
FIN_FD_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,115,"[4, 6, 4, 1, 4, 3, 4, 4, 5, 4, 4, 3, 1, 3, 5, 3, 1, 4, 3, 4, 4, 5, 6, 4, 4, 4, 1, 3, 5, 3, 3, 2, 2, 3, 4, 2, 1, 2]",38,4.744
FIN_FD_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,116,"[3, 4, 5, 1, 5, 4, 5, 2, 4, 4, 4, 5, 4, 4, 4, 2, 4, 3, 5, 3, 4, 3, 3, 2, 1, 3, 6, 2, 1, 2, 1, 4, 4, 6, 5, 5, 4]",37,4.647
FIN_FD_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,117,"[3, 6, 3, 2, 1, 1, 3, 4, 3, 2, 4, 4, 3, 5, 3, 2, 1, 5, 4, 3, 4, 4, 5, 3, 1, 3, 2, 5, 3, 2, 6, 4, 2, 3, 2, 1, 4, 4, 3, 1, 1, 2, 3]",43,5.376
FIN_FD_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,118,"[6, 4, 4, 3, 5, 3, 4, 1, 2, 3, 5, 3, 2, 4, 3, 3, 4, 3, 2, 2, 5, 4, 4, 4, 6, 6]",26,3.284
FIN_FD_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,119,"[3, 6, 4, 3, 5, 2, 2, 6, 1, 3, 2, 2, 3, 1, 3, 3, 2, 1, 3, 4, 5, 3, 2, 2, 3, 3, 6, 4, 4, 4, 4, 6, 5, 1]",34,4.292
FIN_FD_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,120,"[4, 6, 4, 6, 6, 1, 6, 1, 6, 6, 6, 3, 2, 6, 5, 6, 4, 3, 4, 2, 5, 6, 6, 4, 6, 1, 4, 4, 4, 6]",30,3.847
FIN_FD_B_conv_beta1_s1_st0600__mtbench,int4,mtbench,121,"[5, 6, 4, 4, 3, 6, 4, 4, 4, 4, 3, 1, 3, 4, 4, 2, 3, 6, 2, 2, 5, 5, 2, 4, 4, 3, 2, 4, 2, 1, 3, 4, 5, 2, 4, 4]",36,4.626
