tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
FIN_HB_B_conv_b0.0025_s0_st0600__mtbench,int4,mtbench,81,"[4, 3, 3, 3, 3, 3, 2, 2, 5, 2, 5, 4, 2, 1, 2, 2, 2, 1, 2, 2, 2, 3, 4, 3, 2, 1, 3, 1, 5, 2, 5, 2, 4, 3, 2, 1, 2, 3, 3, 6, 3, 3, 3, 4, 4, 4]",46,8.379
FIN_HB_B_conv_b0.0025_s0_st0600__mtbench,int4,mtbench,82,"[4, 4, 2, 3, 6, 3, 4, 4, 4, 3, 5, 6, 6, 4, 4, 3, 3, 4, 2, 5, 3, 5, 4, 4, 2, 2, 4, 3, 1, 1, 3, 4, 4, 2, 3, 5]",36,6.047
FIN_HB_B_conv_b0.0025_s0_st0600__mtbench,int4,mtbench,83,"[4, 6, 4, 6, 1, 4, 4, 5, 1, 4, 4, 4, 4, 3, 1, 2, 3, 1, 3, 1, 3, 3, 4, 2, 3, 1, 2, 2, 2, 3, 4, 2, 2, 2, 3, 4, 2, 1, 3, 2, 1, 1, 3, 3, 4, 1]",46,7.735
FIN_HB_B_conv_b0.0025_s0_st0600__mtbench,int4,mtbench,84,"[4, 2, 1, 2, 3, 5, 4, 2, 5, 4, 4, 3, 4, 3, 2, 3, 3, 2, 4, 4, 4, 4, 3, 3, 3, 4, 4, 3, 6, 4, 3, 1, 2, 3, 5, 3, 3, 3, 3]",39,6.55
FIN_HB_B_conv_b0.0025_s0_st0600__mtbench,int4,mtbench,85,"[3, 5, 3, 6, 2, 3, 4, 1, 3, 4, 2, 4, 1, 3, 1, 1, 1, 3, 4, 4, 4, 3, 2, 1, 4, 1, 2, 4, 2, 3, 2, 3, 1, 2, 3, 5, 2, 2, 2, 1, 4, 4, 3, 3, 6, 2]",46,7.213
FIN_HB_B_conv_b0.0025_s0_st0600__mtbench,int4,mtbench,86,"[1, 3, 4, 6, 3, 3, 1, 1, 3, 4, 1, 1, 1, 3, 4, 2, 4, 4, 2, 1, 3, 1, 2, 1, 3, 2, 2, 2, 2, 3, 2, 2, 4, 1, 2, 2, 2, 1, 1, 1, 2, 3, 3, 3, 2, 3, 3, 3, 3, 4, 2, 3, 2, 4]",54,6.714
FIN_HB_B_conv_b0.0025_s0_st0600__mtbench,int4,mtbench,87,"[3, 4, 4, 3, 4, 4, 2, 4, 3, 1, 2, 5, 3, 2, 3, 3, 5, 3, 2, 3, 6, 2, 3, 2, 1, 3, 3, 3, 3, 2, 3, 1, 2, 2, 2, 1, 3, 2, 2, 1, 2, 3, 3, 2, 2, 1, 2, 4]",48,5.95
FIN_HB_B_conv_b0.0025_s0_st0600__mtbench,int4,mtbench,88,"[1, 3, 3, 2, 2, 2, 4, 3, 2, 4, 2, 1, 1, 3, 4, 2, 3, 4, 1, 1, 2, 2, 1, 5, 4, 3, 1, 3, 1, 2, 2, 4, 1, 1, 3, 4, 1, 3, 3, 2, 5, 1, 2, 3, 1, 1, 2, 2, 1, 4, 2, 3, 2, 1, 2]",55,6.793
FIN_HB_B_conv_b0.0025_s0_st0600__mtbench,int4,mtbench,89,"[1, 2, 3, 6, 3, 4, 2, 5, 4, 3, 2, 3, 3, 4, 4, 1, 3, 3, 3, 1, 4, 2, 3, 3, 4, 4, 3, 2, 4, 1, 4, 5, 3, 2, 3, 4, 1, 3, 4, 5, 5]",41,5.128
FIN_HB_B_conv_b0.0025_s0_st0600__mtbench,int4,mtbench,90,"[1, 1, 4, 4, 4, 4, 4, 2, 4, 2, 1, 2, 4, 3, 3, 3, 3, 2, 2, 6, 3, 4, 3, 2, 3, 3, 2, 4, 2]",29,3.664
