tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
FIN_HB_B_conv_b0.05_s0_st3000__gsm8k,int4,gsm8k,gsm8k_test_0,"[4, 2, 5, 1, 2, 6, 4, 4, 5, 6, 3, 5, 2, 4, 2, 2, 1, 4, 2, 4, 4, 3, 4, 2, 2, 5, 4, 3, 2, 4, 4, 2, 3, 4, 3, 4, 4, 6]",38,6.818
FIN_HB_B_conv_b0.05_s0_st3000__gsm8k,int4,gsm8k,gsm8k_test_1,"[1, 5, 6, 3, 2, 3, 6, 4, 4, 4, 6, 4, 5, 4, 6, 6, 2, 1, 2, 2, 5, 6, 2, 2, 4, 4, 5, 4, 3, 3, 3, 4, 4, 3]",34,4.727
FIN_HB_B_conv_b0.05_s0_st3000__gsm8k,int4,gsm8k,gsm8k_test_2,"[1, 5, 4, 4, 3, 3, 5, 2, 4, 4, 6, 3, 4, 4, 5, 2, 3, 3, 4, 6, 2, 6, 6, 3, 4, 6, 4, 6, 5, 3, 6, 4]",32,4.052
FIN_HB_B_conv_b0.05_s0_st3000__gsm8k,int4,gsm8k,gsm8k_test_3,"[3, 6, 5, 3, 6, 6, 2, 2, 6, 4, 6, 2, 4, 1, 5, 6, 2, 3, 6, 4, 6, 2, 5, 2, 3, 4, 2, 3, 4, 6, 6, 4]",32,4.016
FIN_HB_B_conv_b0.05_s0_st3000__gsm8k,int4,gsm8k,gsm8k_test_4,"[2, 5, 6, 3, 3, 3, 6, 2, 4, 1, 2, 6, 4, 3, 2, 3, 3, 4, 5, 4, 4, 4, 4, 2, 4, 3, 6, 6, 4, 6, 6, 4, 3, 4]",34,4.293
FIN_HB_B_conv_b0.05_s0_st3000__gsm8k,int4,gsm8k,gsm8k_test_5,"[4, 6, 3, 4, 2, 6, 4, 5, 4, 2, 4, 4, 4, 6, 3, 6, 1, 4, 3, 5, 4, 6, 6, 5, 3, 2, 1, 3, 4, 4, 4, 6]",32,4.016
FIN_HB_B_conv_b0.05_s0_st3000__gsm8k,int4,gsm8k,gsm8k_test_6,"[6, 6, 3, 3, 3, 6, 2, 3, 5, 6, 2, 4, 5, 4, 2, 3, 2, 5, 6, 5, 4, 1, 5, 3, 2, 4, 3, 6, 4, 3, 2, 6, 6]",33,4.141
FIN_HB_B_conv_b0.05_s0_st3000__gsm8k,int4,gsm8k,gsm8k_test_7,"[4, 4, 4, 3, 4, 2, 4, 1, 5, 4, 3, 5, 2, 5, 4, 5, 6, 2, 4, 4, 6, 3, 3, 3, 3, 4, 4, 3, 5, 2, 5, 2, 3, 6, 4]",35,4.383
FIN_HB_B_conv_b0.05_s0_st3000__gsm8k,int4,gsm8k,gsm8k_test_8,"[1, 4, 4, 4, 2, 4, 5, 4, 2, 3, 6, 6, 3, 2, 1, 5, 4, 5, 1, 2, 2, 2, 4, 4, 6, 1, 3, 3, 4, 6, 3, 2, 5, 3, 4, 4, 3, 3]",38,4.735
FIN_HB_B_conv_b0.05_s0_st3000__gsm8k,int4,gsm8k,gsm8k_test_9,"[3, 6, 2, 3, 2, 4, 6, 6, 3, 6, 4, 5, 2, 5, 5, 4, 5, 4, 5, 4, 4, 4, 6, 5, 3, 3, 2, 5, 5, 4, 3]",31,3.887
