tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
FIN_HB_B_hybrid_b0.01_s0_st3000__gsm8k,int4,gsm8k,gsm8k_test_0,"[5, 3, 4, 2, 3, 5, 5, 6, 5, 6, 6, 4, 3, 4, 3, 5, 2, 6, 2, 3, 2, 6, 4, 5, 3, 2, 6, 2, 4, 4, 2, 2, 4]",33,5.936
FIN_HB_B_hybrid_b0.01_s0_st3000__gsm8k,int4,gsm8k,gsm8k_test_1,"[3, 3, 6, 3, 2, 3, 6, 4, 4, 6, 6, 6, 6, 5, 1, 2, 1, 3, 4, 6, 4, 3, 4, 3, 6, 5, 4, 3, 4, 4, 3, 3, 6]",33,5.558
FIN_HB_B_hybrid_b0.01_s0_st3000__gsm8k,int4,gsm8k,gsm8k_test_2,"[4, 4, 3, 4, 4, 6, 6, 6, 4, 3, 4, 4, 4, 2, 4, 1, 2, 1, 5, 6, 2, 4, 6, 5, 1, 2, 4, 3, 6, 3, 3, 4, 3, 4, 4]",35,5.887
FIN_HB_B_hybrid_b0.01_s0_st3000__gsm8k,int4,gsm8k,gsm8k_test_3,"[4, 6, 4, 3, 4, 5, 5, 2, 6, 4, 6, 2, 4, 1, 5, 2, 5, 3, 4, 6, 4, 1, 2, 6, 2, 4, 1, 5, 2, 3, 6, 3, 6, 4]",34,5.693
FIN_HB_B_hybrid_b0.01_s0_st3000__gsm8k,int4,gsm8k,gsm8k_test_4,"[3, 5, 5, 4, 5, 6, 4, 3, 4, 4, 2, 1, 4, 2, 2, 4, 4, 6, 6, 2, 3, 6, 6, 5, 6, 4, 4, 5, 1, 2, 6, 4]",32,5.415
FIN_HB_B_hybrid_b0.01_s0_st3000__gsm8k,int4,gsm8k,gsm8k_test_5,"[3, 6, 4, 4, 4, 6, 2, 2, 5, 4, 4, 3, 2, 5, 4, 6, 6, 3, 2, 2, 6, 4, 4, 5, 6, 3, 1, 4, 6, 4, 6, 3]",32,4.983
FIN_HB_B_hybrid_b0.01_s0_st3000__gsm8k,int4,gsm8k,gsm8k_test_6,"[4, 6, 2, 4, 3, 4, 2, 4, 6, 2, 4, 3, 3, 3, 6, 2, 3, 5, 4, 2, 5, 3, 1, 4, 4, 5, 6, 4, 6, 4, 2, 2, 6, 4]",34,4.263
FIN_HB_B_hybrid_b0.01_s0_st3000__gsm8k,int4,gsm8k,gsm8k_test_7,"[4, 4, 4, 2, 6, 2, 1, 3, 2, 2, 2, 4, 2, 5, 3, 4, 4, 4, 3, 3, 5, 3, 3, 2, 6, 4, 4, 3, 2, 3, 2, 3, 5, 5, 4, 6, 2, 2]",38,4.76
FIN_HB_B_hybrid_b0.01_s0_st3000__gsm8k,int4,gsm8k,gsm8k_test_8,"[3, 2, 4, 3, 3, 4, 4, 5, 4, 4, 6, 4, 6, 5, 4, 2, 2, 5, 4, 3, 5, 4, 3, 3, 4, 4, 3, 5, 4, 4, 3, 4, 4, 4]",34,4.317
FIN_HB_B_hybrid_b0.01_s0_st3000__gsm8k,int4,gsm8k,gsm8k_test_9,"[3, 6, 4, 3, 4, 6, 3, 2, 4, 6, 4, 4, 5, 6, 5, 4, 4, 3, 5, 3, 3, 6, 5, 4, 4, 6, 6, 2, 5, 3]",30,3.802
