tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
FIN_HB_B_hybrid_b0.05_s0_st3000__mtbench,int4,mtbench,81,"[5, 3, 2, 4, 4, 1, 4, 5, 6, 3, 4, 2, 3, 3, 2, 3, 3, 5, 3, 3, 2, 4, 3, 5, 3, 2, 3, 4, 3, 4, 5, 5, 4, 2, 4, 4, 5]",37,5.007
FIN_HB_B_hybrid_b0.05_s0_st3000__mtbench,int4,mtbench,82,"[4, 4, 2, 6, 4, 2, 6, 6, 4, 4, 5, 6, 3, 2, 4, 1, 3, 2, 4, 3, 4, 3, 2, 4, 1, 6, 4, 2, 1, 4, 2, 5, 2, 2, 3, 6, 2]",37,4.726
FIN_HB_B_hybrid_b0.05_s0_st3000__mtbench,int4,mtbench,83,"[6, 4, 4, 6, 3, 6, 5, 3, 6, 3, 5, 1, 2, 3, 3, 5, 1, 3, 2, 1, 4, 2, 3, 2, 6, 3, 2, 2, 3, 3, 4, 2, 2, 5, 3, 1, 4, 4, 4]",39,4.996
FIN_HB_B_hybrid_b0.05_s0_st3000__mtbench,int4,mtbench,84,"[4, 3, 2, 2, 4, 6, 2, 6, 4, 4, 4, 5, 6, 2, 2, 3, 5, 5, 3, 4, 4, 2, 4, 4, 6, 3, 4, 5, 3, 3, 1, 5, 4, 3, 2]",35,4.457
FIN_HB_B_hybrid_b0.05_s0_st3000__mtbench,int4,mtbench,85,"[4, 6, 6, 2, 2, 2, 5, 3, 4, 2, 1, 1, 1, 3, 4, 5, 3, 3, 6, 3, 4, 5, 2, 3, 1, 2, 2, 2, 3, 3, 4, 3, 2, 2, 5, 3, 2, 3, 2, 4, 3, 1, 2]",43,5.463
FIN_HB_B_hybrid_b0.05_s0_st3000__mtbench,int4,mtbench,86,"[2, 2, 4, 6, 1, 1, 4, 3, 3, 2, 1, 2, 2, 4, 1, 2, 2, 3, 1, 2, 2, 1, 2, 2, 3, 3, 2, 4, 2, 3, 2, 2, 4, 3, 2, 3, 1, 1, 3, 3, 1, 5, 2, 3, 3, 3, 1, 2, 4, 4, 2, 2]",52,6.649
FIN_HB_B_hybrid_b0.05_s0_st3000__mtbench,int4,mtbench,87,"[3, 2, 6, 2, 5, 4, 2, 6, 2, 2, 5, 3, 2, 3, 3, 5, 2, 1, 3, 4, 4, 3, 3, 1, 3, 3, 3, 3, 2, 3, 3, 3, 5, 3, 3, 2, 6, 4, 3, 2, 3]",41,5.229
FIN_HB_B_hybrid_b0.05_s0_st3000__mtbench,int4,mtbench,88,"[2, 2, 3, 2, 2, 2, 3, 4, 4, 3, 1, 1, 3, 1, 4, 1, 1, 2, 3, 2, 3, 1, 5, 3, 2, 2, 1, 3, 3, 3, 4, 1, 1, 4, 4, 2, 3, 2, 3, 1, 3, 2, 4, 3, 1, 2, 2, 1, 2, 3, 3, 1, 3, 4]",54,6.767
FIN_HB_B_hybrid_b0.05_s0_st3000__mtbench,int4,mtbench,89,"[3, 4, 5, 3, 4, 4, 4, 4, 3, 2, 4, 4, 1, 4, 6, 6, 6, 1, 5, 3, 4, 2, 2, 2, 5, 5, 4, 3, 3, 2, 5, 4, 6, 4, 3]",35,4.464
FIN_HB_B_hybrid_b0.05_s0_st3000__mtbench,int4,mtbench,90,"[1, 3, 2, 3, 2, 3, 4, 4, 2, 5, 3, 4, 4, 1, 3, 3, 3, 2, 2, 4, 4, 4, 3, 3, 2, 4, 3, 3, 4, 4, 5, 4, 5, 5, 2, 5, 3, 6, 3]",39,4.954
FIN_HB_B_hybrid_b0.05_s0_st3000__mtbench,int4,mtbench,91,"[4, 3, 4, 4, 1, 6, 2, 3, 4, 5, 2, 3, 1, 1, 1, 5, 4, 3, 3, 3, 3, 2, 1, 2, 2, 6, 4, 4, 2, 6, 4, 3, 3, 2, 3, 1, 3, 3, 2, 4, 2, 1, 2, 1]",44,5.554
FIN_HB_B_hybrid_b0.05_s0_st3000__mtbench,int4,mtbench,92,"[3, 3, 3, 3, 1, 4, 3, 1, 3, 4, 3, 3, 4, 1, 2, 1, 1, 1, 2, 3, 3, 3, 2, 3, 1, 2, 2, 1, 6, 3, 1, 1, 4, 2, 6, 3, 1, 5, 3, 1, 1, 2, 2, 2, 3, 3, 2, 2, 6, 1, 2]",51,6.425
FIN_HB_B_hybrid_b0.05_s0_st3000__mtbench,int4,mtbench,93,"[3, 6, 3, 2, 2, 4, 6, 2, 3, 1, 2, 3, 3, 1, 6, 3, 3, 1, 6, 4, 3, 4, 4, 3, 6, 3, 6, 4, 1, 3, 4, 4, 5, 3, 5, 2, 4]",37,4.719
FIN_HB_B_hybrid_b0.05_s0_st3000__mtbench,int4,mtbench,94,"[4, 3, 4, 2, 1, 1, 1, 6, 3, 4, 4, 2, 3, 3, 4, 4, 3, 4, 2, 4, 4, 5, 6, 1, 2, 3, 3, 5, 4, 4, 3, 2, 3, 3, 4, 2, 4, 1, 2, 4, 6]",41,5.184
FIN_HB_B_hybrid_b0.05_s0_st3000__mtbench,int4,mtbench,95,"[1, 2, 4, 1, 2, 3, 2, 1, 4, 2, 1, 2, 1, 5, 3, 3, 4, 3, 2, 2, 2, 2, 4, 2, 2, 1, 4, 3, 6, 2, 4, 4, 3, 6, 4, 1, 3, 1, 2, 6, 3, 4, 2, 4, 2, 1, 1, 2]",48,6.066
FIN_HB_B_hybrid_b0.05_s0_st3000__mtbench,int4,mtbench,96,"[6, 3, 4, 3, 3, 6, 3, 5, 5, 4, 5, 2, 6, 2, 3, 4, 3, 4, 4, 3, 2, 1, 5, 2, 3, 2, 4, 3, 1, 3, 2, 2, 3, 3, 3, 4, 4, 2, 5]",39,4.966
FIN_HB_B_hybrid_b0.05_s0_st3000__mtbench,int4,mtbench,97,"[6, 6, 1, 2, 4, 5, 3, 6, 2, 4, 3, 1, 3, 2, 4, 2, 3, 6, 1, 2, 4, 2, 4, 2, 4, 2, 4, 4, 4, 4, 1, 5, 3, 4, 2, 5, 3, 4, 4]",39,5.174
FIN_HB_B_hybrid_b0.05_s0_st3000__mtbench,int4,mtbench,98,"[3, 1, 1, 3, 3, 1, 2, 2, 1, 3, 2, 3, 5, 1, 3, 1, 3, 2, 1, 1, 3, 1, 3, 4, 2, 3, 3, 1, 1, 3, 3, 3, 5, 3, 6, 5, 5, 4, 5, 4, 4, 5, 3, 4, 2, 6]",46,6.368
FIN_HB_B_hybrid_b0.05_s0_st3000__mtbench,int4,mtbench,99,"[3, 2, 4, 2, 1, 3, 4, 4, 6, 3, 4, 4, 5, 5, 2, 2, 6, 4, 3, 4, 6, 2, 2, 4, 2, 3, 4, 2, 4, 6, 1, 2, 6, 3, 1, 2, 4, 2, 2]",39,5.046
FIN_HB_B_hybrid_b0.05_s0_st3000__mtbench,int4,mtbench,100,"[3, 2, 1, 1, 1, 4, 2, 1, 4, 1, 4, 1, 1, 4, 1, 4, 1, 1, 1, 2, 3, 3, 2, 1, 1, 2, 2, 1, 1, 1, 4, 2, 3, 3, 4, 6, 2, 4, 2, 4, 3, 2, 4, 2, 4, 2, 3, 3, 2, 1, 4, 2, 1, 2, 1, 4]",56,7.031
FIN_HB_B_hybrid_b0.05_s0_st3000__mtbench,int4,mtbench,101,"[4, 3, 4, 3, 6, 4, 5, 5, 4, 6, 4, 5, 1, 3, 4, 3, 3, 4, 3, 2, 2, 4, 1, 3, 4, 4, 4, 3, 2, 5, 3, 1, 1, 2, 2, 5, 3, 6]",38,4.834
FIN_HB_B_hybrid_b0.05_s0_st3000__mtbench,int4,mtbench,102,"[4, 3, 4, 3, 3, 3, 1, 5, 2, 2, 2, 3, 2, 1, 3, 5, 1, 2, 3, 3, 3, 1, 3, 4, 4, 4, 3, 4, 3, 2, 2, 3, 3, 1, 1, 1, 4, 6, 2, 3, 2, 2, 3, 2, 1, 2, 2, 1, 1]",49,6.168
FIN_HB_B_hybrid_b0.05_s0_st3000__mtbench,int4,mtbench,103,"[6, 4, 3, 4, 6, 6, 3, 4, 1, 4, 4, 3, 3, 3, 6, 1, 3, 5, 6, 4, 3, 4, 4, 4, 1, 2, 3, 4, 1, 1, 4, 4, 3, 4, 1, 3, 3]",37,4.706
FIN_HB_B_hybrid_b0.05_s0_st3000__mtbench,int4,mtbench,104,"[4, 4, 4, 2, 1, 6, 4, 4, 4, 2, 4, 6, 2]",13,1.727
FIN_HB_B_hybrid_b0.05_s0_st3000__mtbench,int4,mtbench,105,"[2, 4, 1, 3, 4, 2, 3, 3, 3, 4, 5, 1]",12,1.596
FIN_HB_B_hybrid_b0.05_s0_st3000__mtbench,int4,mtbench,106,"[4, 6, 4, 2, 4, 4, 6, 4, 6, 6, 5, 4, 3, 2, 6, 6, 5, 1, 2, 2]",20,2.585
