tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
FIN_PC_B_r16_lr1e-4_s0_st1500__gsm8k,int4,gsm8k,gsm8k_test_0,"[5, 3, 2, 2, 2, 2, 3, 6, 3, 4, 4, 6, 2, 5, 1, 6, 1, 2, 1, 2, 2, 2, 3, 5, 1, 2, 2, 4, 4, 4, 3, 3, 2, 6, 2, 2, 4, 4, 2, 4, 6]",41,7.631
FIN_PC_B_r16_lr1e-4_s0_st1500__gsm8k,int4,gsm8k,gsm8k_test_1,"[3, 2, 4, 4, 3, 2, 2, 3, 5, 3, 1, 4, 4, 6, 4, 5, 5, 2, 2, 1, 3, 4, 1, 4, 2, 4, 4, 1, 2, 4, 4, 4, 5, 1, 4, 6, 6, 4]",38,6.687
FIN_PC_B_r16_lr1e-4_s0_st1500__gsm8k,int4,gsm8k,gsm8k_test_2,"[4, 5, 2, 3, 3, 4, 4, 6, 6, 6, 4, 3, 3, 6, 6, 1, 2, 5, 2, 2, 5, 2, 2, 5, 6, 2, 4, 6, 4, 3, 4, 4, 2, 6]",34,5.083
FIN_PC_B_r16_lr1e-4_s0_st1500__gsm8k,int4,gsm8k,gsm8k_test_3,"[4, 6, 2, 2, 4, 5, 6, 2, 2, 3, 5, 5, 3, 2, 2, 6, 6, 6, 3, 3, 3, 1, 4, 4, 1, 2, 6, 3, 5, 3, 6, 4, 5, 3, 6]",35,4.814
FIN_PC_B_r16_lr1e-4_s0_st1500__gsm8k,int4,gsm8k,gsm8k_test_4,"[3, 5, 5, 4, 4, 6, 1, 2, 3, 2, 2, 3, 3, 3, 4, 2, 4, 4, 5, 6, 4, 4, 2, 4, 4, 3, 3, 4, 4, 4, 6, 6, 3, 3, 4]",35,4.755
FIN_PC_B_r16_lr1e-4_s0_st1500__gsm8k,int4,gsm8k,gsm8k_test_5,"[4, 6, 3, 4, 4, 5, 5, 2, 4, 3, 2, 3, 2, 2, 3, 5, 6, 6, 2, 4, 3, 1, 2, 5, 6, 4, 6, 5, 6, 5, 4, 2, 5]",33,4.499
FIN_PC_B_r16_lr1e-4_s0_st1500__gsm8k,int4,gsm8k,gsm8k_test_6,"[6, 6, 4, 4, 6, 1, 2, 4, 4, 4, 5, 6, 2, 3, 6, 5, 2, 3, 6, 4, 6, 1, 3, 3, 3, 6, 4, 1, 5, 3, 4, 6]",32,4.364
FIN_PC_B_r16_lr1e-4_s0_st1500__gsm8k,int4,gsm8k,gsm8k_test_7,"[3, 1, 4, 2, 2, 2, 4, 4, 3, 1, 5, 2, 6, 4, 2, 3, 4, 2, 6, 6, 1, 3, 4, 6, 4, 4, 2, 1, 3, 3, 4, 3, 6, 3, 5, 4, 4, 6]",38,5.121
FIN_PC_B_r16_lr1e-4_s0_st1500__gsm8k,int4,gsm8k,gsm8k_test_8,"[1, 4, 4, 3, 3, 4, 6, 4, 1, 1, 4, 6, 6, 6, 6, 2, 2, 1, 4, 2, 6, 3, 2, 2, 3, 4, 4, 2, 4, 4, 2, 3, 3, 3, 4, 2, 2, 4, 2]",39,5.29
FIN_PC_B_r16_lr1e-4_s0_st1500__gsm8k,int4,gsm8k,gsm8k_test_9,"[3, 6, 4, 4, 4, 2, 4, 3, 2, 4, 5, 6, 4, 4, 1, 2, 4, 5, 3, 5, 2, 2, 4, 3, 3, 3, 4, 4, 5, 2, 2, 2, 2, 3, 4, 5, 4]",37,5.037
FIN_PC_B_r16_lr1e-4_s0_st1500__gsm8k,int4,gsm8k,gsm8k_test_10,"[6, 5, 3, 2, 5, 6, 2, 2, 2, 2, 2, 5, 5, 1, 2, 3, 3, 3, 3, 5, 4, 3, 4, 3, 4, 4, 4, 4, 5, 3, 4, 4, 6, 4, 3, 4]",36,4.926
FIN_PC_B_r16_lr1e-4_s0_st1500__gsm8k,int4,gsm8k,gsm8k_test_11,"[4, 6, 3, 4, 3, 1, 4, 6, 6, 4, 4, 1, 2, 3, 1, 4, 3, 2, 2, 4, 4, 2, 2, 5, 1, 2, 6, 3, 4, 4, 2, 2, 5, 5, 3, 6, 5]",37,5.015
FIN_PC_B_r16_lr1e-4_s0_st1500__gsm8k,int4,gsm8k,gsm8k_test_12,"[5, 4, 3, 4, 3, 5, 2, 2, 1, 6, 6, 5, 4, 5, 4, 4, 2, 2, 1, 2, 3, 4, 3, 4, 1, 4, 4, 4, 2, 3, 3, 1, 4, 3, 6, 3, 3, 2, 5]",39,5.301
FIN_PC_B_r16_lr1e-4_s0_st1500__gsm8k,int4,gsm8k,gsm8k_test_13,"[3, 6, 4, 4, 4, 6, 2, 2, 4, 3, 6, 3, 3, 4, 4, 3, 3, 3, 3, 1, 3, 5, 6, 4, 2, 6, 6, 2, 4, 4, 4, 4, 5, 6]",34,4.656
FIN_PC_B_r16_lr1e-4_s0_st1500__gsm8k,int4,gsm8k,gsm8k_test_14,"[4, 6, 3, 4, 4, 4, 4, 4, 3, 4, 4, 3, 4, 3, 6, 2, 3, 5, 4, 4, 4, 6, 4, 6, 6, 3, 4, 4, 4, 4, 5]",31,4.244
FIN_PC_B_r16_lr1e-4_s0_st1500__gsm8k,int4,gsm8k,gsm8k_test_15,"[6, 5, 5, 4, 6, 4, 4, 1, 4, 5, 5, 4, 4, 4, 4, 6, 4, 6, 4, 4, 3, 6, 2, 6, 4, 4, 3, 3, 4, 4]",30,4.112
FIN_PC_B_r16_lr1e-4_s0_st1500__gsm8k,int4,gsm8k,gsm8k_test_16,"[3, 6, 3, 2, 4, 4, 6, 2, 4, 2, 3, 1, 4, 3, 2, 2, 3, 1, 2, 5, 3, 2, 2, 3, 4, 4, 6, 5, 3, 4, 3, 4, 3, 5, 6, 4, 4, 3]",38,5.164
FIN_PC_B_r16_lr1e-4_s0_st1500__gsm8k,int4,gsm8k,gsm8k_test_17,"[3, 2, 2, 2, 2, 2, 4, 3, 3, 3, 5, 4, 2, 6, 6, 3, 6, 6, 2, 5, 4, 5, 3, 1, 3, 4, 3, 6, 4, 3, 4, 5, 4, 4, 6]",35,4.762
FIN_PC_B_r16_lr1e-4_s0_st1500__gsm8k,int4,gsm8k,gsm8k_test_18,"[6, 6, 4, 4, 6, 3, 2, 6, 4, 5, 3, 6, 6, 3, 2, 2, 2, 3, 2, 4, 3, 1, 4, 5, 3, 2, 4, 5, 3, 2, 4, 5, 4, 6]",34,4.648
FIN_PC_B_r16_lr1e-4_s0_st1500__gsm8k,int4,gsm8k,gsm8k_test_19,"[3, 5, 3, 3, 3, 4, 2, 6, 1, 6, 6, 6, 5, 4, 4, 2, 3, 3, 4, 5, 3, 3, 5, 3, 5, 5, 4, 5, 4, 2, 1, 3, 6, 2]",34,4.656
FIN_PC_B_r16_lr1e-4_s0_st1500__gsm8k,int4,gsm8k,gsm8k_test_20,"[3, 2, 4, 2, 6, 2, 2, 3, 3, 4, 3, 4, 4, 4, 3, 2, 3, 4, 4, 5, 4, 4, 5, 5, 6, 4, 6, 1, 6, 4, 4, 3, 3, 3, 1, 1, 4]",37,5.104
FIN_PC_B_r16_lr1e-4_s0_st1500__gsm8k,int4,gsm8k,gsm8k_test_21,"[3, 6, 5, 3, 4, 6, 3, 2, 3, 3, 2, 1, 2, 3, 2, 1, 4, 2, 3, 2, 3, 2, 2, 4, 4, 2, 2, 4, 2, 2, 2, 4, 3, 4, 4, 1, 3, 5, 2, 1, 6, 5, 1]",43,5.838
