tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
FIN_PC_B_r16_lr1e-4_s0_st1500__mtbench,int4,mtbench,81,"[5, 3, 2, 3, 3, 3, 1, 2, 4, 4, 4, 3, 2, 2, 1, 3, 1, 2, 1, 2, 2, 2, 3, 4, 2, 1, 3, 2, 2, 2, 2, 4, 1, 5, 2, 5, 2, 5, 3, 6, 1, 5, 4, 3, 4, 4]",46,7.764
FIN_PC_B_r16_lr1e-4_s0_st1500__mtbench,int4,mtbench,82,"[4, 4, 4, 5, 4, 6, 3, 4, 3, 3, 2, 6, 6, 2, 2, 1, 4, 2, 2, 4, 5, 3, 4, 1, 5, 4, 6, 2, 1, 2, 3, 1, 5, 3, 4, 1, 2, 3, 2]",39,5.209
FIN_PC_B_r16_lr1e-4_s0_st1500__mtbench,int4,mtbench,83,"[6, 4, 3, 6, 2, 4, 4, 4, 3, 1, 6, 3, 5, 1, 2, 3, 1, 2, 3, 3, 2, 2, 3, 3, 2, 2, 4, 5, 2, 2, 3, 1, 3, 1, 1, 4, 2, 1, 4, 3, 4, 4, 6]",43,5.743
FIN_PC_B_r16_lr1e-4_s0_st1500__mtbench,int4,mtbench,84,"[4, 2, 1, 2, 2, 3, 3, 4, 2, 6, 3, 3, 5, 4, 2, 3, 3, 3, 2, 3, 4, 1, 4, 3, 4, 3, 2, 5, 4, 2, 2, 3, 2, 3, 5, 3, 2, 3, 3, 2, 5, 4]",42,5.613
FIN_PC_B_r16_lr1e-4_s0_st1500__mtbench,int4,mtbench,85,"[4, 6, 6, 2, 2, 2, 5, 3, 4, 2, 2, 1, 3, 3, 2, 4, 4, 2, 3, 4, 2, 2, 2, 1, 2, 3, 2, 1, 2, 3, 3, 3, 2, 1, 4, 1, 2, 2, 1, 1, 1, 2, 2, 3, 3, 3, 2, 2, 3, 2, 1]",51,6.792
FIN_PC_B_r16_lr1e-4_s0_st1500__mtbench,int4,mtbench,86,"[3, 3, 4, 5, 1, 4, 4, 2, 2, 1, 1, 1, 2, 5, 2, 4, 4, 2, 1, 2, 1, 1, 3, 3, 2, 4, 1, 1, 3, 2, 2, 4, 5, 4, 3, 4, 1, 2, 4, 2, 1, 2, 2, 3, 3, 2, 2, 3, 2, 3]",50,8.164
FIN_PC_B_r16_lr1e-4_s0_st1500__mtbench,int4,mtbench,87,"[1, 4, 4, 2, 2, 2, 3, 6, 5, 3, 2, 3, 2, 1, 2, 1, 3, 1, 3, 5, 2, 3, 6, 2, 2, 3, 2, 4, 3, 2, 3, 1, 2, 2, 1, 1, 2, 1, 3, 3, 2, 4, 2, 4, 2, 3, 2, 3, 3]",49,8.418
FIN_PC_B_r16_lr1e-4_s0_st1500__mtbench,int4,mtbench,88,"[1, 3, 3, 2, 2, 2, 3, 3, 1, 2, 2, 3, 2, 4, 5, 4, 3, 3, 4, 3, 4, 6, 2, 2, 5, 3, 2, 4, 1, 3, 4, 2, 2, 3, 3, 4, 4, 2, 3, 2, 3, 2, 2, 2, 1, 2]",46,6.678
FIN_PC_B_r16_lr1e-4_s0_st1500__mtbench,int4,mtbench,89,"[3, 5, 4, 3, 4, 4, 3, 5, 2, 1, 2, 4, 6, 4, 1, 1, 2, 2, 3, 2, 3, 4, 3, 3, 6, 3, 1, 2, 3, 6, 1, 4, 3, 3, 5, 2, 4, 3, 5, 1, 3]",41,5.413
FIN_PC_B_r16_lr1e-4_s0_st1500__mtbench,int4,mtbench,90,"[1, 1, 4, 2, 4, 2, 4, 5, 3, 2, 1, 2, 3, 2, 4, 3, 2, 1, 3, 2, 4, 4, 3, 3, 3, 6, 4, 3, 4, 1, 2, 4]",32,4.25
FIN_PC_B_r16_lr1e-4_s0_st1500__mtbench,int4,mtbench,91,"[4, 4, 4, 4, 3, 4, 4, 3, 4, 2, 2, 3, 1, 3, 4, 3, 2, 4, 2, 2, 3, 2, 1, 2, 2, 3, 1, 2, 2, 6, 1, 3, 2, 2, 4, 2, 2, 2, 1, 2, 1, 1, 3, 3, 2, 3, 3, 3, 2]",49,6.428
FIN_PC_B_r16_lr1e-4_s0_st1500__mtbench,int4,mtbench,92,"[3, 3, 3, 3, 1, 3, 2, 2, 1, 3, 6, 3, 3, 3, 2, 1, 1, 1, 2, 3, 3, 3, 2, 3, 1, 3, 2, 4, 2, 2, 3, 2, 1, 1, 1, 2, 2, 5, 2, 2, 1, 1, 3, 2, 3, 2, 4, 3, 4, 1, 2, 2, 1, 1, 1, 4]",56,7.392
FIN_PC_B_r16_lr1e-4_s0_st1500__mtbench,int4,mtbench,93,"[3, 6, 3, 2, 2, 2, 3, 4, 3, 4, 2, 2, 4, 3, 3, 3, 4, 2, 4, 2, 4, 4, 4, 4, 6, 3, 1, 4, 1, 1, 3, 2, 3, 4, 2, 2, 6, 2, 3, 3, 5]",41,5.41
FIN_PC_B_r16_lr1e-4_s0_st1500__mtbench,int4,mtbench,94,"[3, 4, 3, 1, 2, 2, 3, 3, 3, 1, 4, 3, 1, 1, 5, 5, 3, 4, 2, 4, 3, 2, 1]",23,3.102
FIN_PC_B_r16_lr1e-4_s0_st1500__mtbench,int4,mtbench,95,"[1, 2, 5, 4, 1, 2, 1, 4, 2, 1, 3, 1, 3, 3, 4, 3, 4, 2, 2, 1, 3, 4, 2, 2, 1, 4, 3, 6, 2, 6, 5, 6, 3, 2, 1, 3, 1, 3, 4, 1, 5, 1, 4, 2, 1, 1, 1, 3]",48,6.321
FIN_PC_B_r16_lr1e-4_s0_st1500__mtbench,int4,mtbench,96,"[6, 1, 3, 6, 2, 1, 3, 3, 4, 3, 2, 2, 3, 3, 6, 3, 2, 3, 4, 2, 3, 2, 3, 4, 3, 1, 5, 4, 3, 5, 2, 2, 2, 4, 3, 2, 2, 4, 1, 4, 6, 1]",42,5.525
FIN_PC_B_r16_lr1e-4_s0_st1500__mtbench,int4,mtbench,97,"[6, 6, 1, 2, 2, 4, 2, 2, 2, 2, 2, 5, 5, 2, 3, 1, 2, 3, 3, 3, 4, 1, 4, 4, 3, 2, 4, 4, 6, 1, 3, 4, 1, 3, 5, 3, 4, 4, 5, 3, 4]",41,5.416
FIN_PC_B_r16_lr1e-4_s0_st1500__mtbench,int4,mtbench,98,"[3, 1, 2, 3, 2, 3, 2, 1, 3, 1, 2, 1, 1, 6, 1, 1, 1, 1, 2, 1, 2, 4, 1, 4, 4, 6, 2, 2, 3, 4, 4, 4, 3, 4, 1, 3, 3, 3, 3, 1, 4, 3, 2, 1, 3, 2, 1, 2, 2, 1, 5, 2, 2]",53,6.965
