name,mean4,H_Q,D_Q,down,gsm8k,humaneval,mtbench,sharegpt
ptq_frozen,3.4788,0.0,0.0,0.0,3.6875,3.8282,3.1645,3.2351
b2_alpha10,3.5168,0.013593,0.0013862,0.03132,3.687,3.8549,3.2164,3.3087
b1_global_f90_s0,3.5087,0.013898,0.0014353,0.03102,3.7182,3.8371,3.1901,3.2892
b1_global_f90_s1,3.5245,0.013898,0.0014354,0.03102,3.6981,3.8567,3.2239,3.3193
b1_global_f90_s2,3.534,0.013898,0.001435,0.03102,3.7027,3.8614,3.228,3.344
b2_alpha25,3.5096,0.034238,0.0034949,0.07858,3.6809,3.8044,3.2021,3.3512
b1_global_f75_s0,3.5028,0.034745,0.0035878,0.07754,3.6603,3.8125,3.2289,3.3096
b1_global_f75_s1,3.5023,0.034745,0.0035876,0.07754,3.667,3.836,3.195,3.3112
b1_global_f75_s2,3.4863,0.034745,0.0035877,0.07754,3.6895,3.8147,3.1773,3.2638
b1_nondown_f100,2.3143,0.051896,0.0039878,0.31017,2.3381,2.438,2.2296,2.2516
b2_alpha50,3.4642,0.068916,0.0070473,0.15729,3.6611,3.7568,3.1697,3.2692
b1_global_f50_s0,3.4842,0.06949,0.0071754,0.15508,3.6865,3.7959,3.1645,3.2901
b1_global_f50_s1,3.4731,0.06949,0.0071755,0.15508,3.6464,3.8152,3.169,3.2617
b1_global_f50_s2,3.4846,0.06949,0.0071747,0.15508,3.6739,3.8177,3.205,3.2418
b1_nondown_f75,2.6503,0.073667,0.0065782,0.31017,2.7354,2.7643,2.5192,2.5823
b1_down_f100,3.4573,0.087084,0.0103627,0.0,3.678,3.731,3.1746,3.2455
b1_nondown_f50,3.0791,0.095438,0.0091693,0.31017,3.2188,3.2736,2.8701,2.9537
b1_down_f75,3.4777,0.100058,0.0113596,0.07754,3.7108,3.7779,3.1628,3.2594
b2_alpha75,3.4864,0.10386,0.0106468,0.23528,3.6944,3.8023,3.1847,3.2641
b1_global_f25_s0,3.4837,0.104235,0.0107627,0.23263,3.7196,3.7741,3.1578,3.2834
b1_global_f25_s1,3.4811,0.104235,0.0107624,0.23263,3.6866,3.8197,3.1975,3.2207
b1_global_f25_s2,3.4791,0.104235,0.0107629,0.23263,3.7093,3.8156,3.1326,3.2588
b1_down_f50,3.4672,0.113032,0.0123568,0.15508,3.6859,3.7813,3.1455,3.2561
b1_nondown_f25,3.4163,0.117209,0.0117603,0.31017,3.5704,3.7277,3.122,3.2451
b2_alpha90,3.4831,0.124921,0.0128485,0.28086,3.7078,3.7915,3.1458,3.2874
b1_down_f25,3.471,0.126006,0.0133537,0.23263,3.7122,3.79,3.1201,3.2615
b1_global_f0,3.4504,0.13898,0.0143506,0.31017,3.685,3.7529,3.1329,3.2309
