family,objective,lr,seed,mean4
hard-budget,hybrid,1e-5,0,3.6276
plain,conv,1e-6,2,3.6198
plain,hybrid,1e-6,0,3.6198
plain,conv,1e-6,1,3.6148
plain,hybrid,1e-6,1,3.6113
plain,conv,1e-6,0,3.5977
plain,hybrid,3e-6,0,3.5972
plain,hybrid,1e-6,2,3.5914
hard-budget,conv,1e-5,0,3.5877
plain,conv,3e-6,1,3.5866
plain,hybrid,3e-7,2,3.5763
soft-cell,hybrid,1e-5,2,3.5525
soft-cell,conv,1e-5,2,3.5523
plain,conv,3e-7,0,3.5484
ptq,-,-,-,3.4788
plain,conv,1e-5,1,3.451
plain,conv,1e-5,0,3.4443
plain,conv,1e-5,2,3.4237
lora,-,1e-4,0,3.3914
