method,family,objective,lr,budget,seed,reused,mtbench,gsm8k,sharegpt,humaneval,mean4,H_Q_all,H_Q_controlled,H_Q_Wfirst,H_Q_Wfirst_e,H_Q_Wfirst_h,H_Q_down,D_Q,D_FP,pareto_optimal_D_Q,pareto_optimal_H_Q_all,pareto_optimal_H_Q_controlled
HB hybrid b0.5% s0,hard-budget,hybrid,1e-5,0.005,0,True,3.3797,3.8331,3.4308,3.8668,3.6276,0.01301373210862453,3.083970811631945e-05,0.10429969429969788,0.0053367018699646,0.20326268672943115,1.758752841851674e-05,0.0006615737834103874,0.00210305143803415,True,True,True
plain conv 1e-6 s2,plain,conv,1e-6,-,2,False,3.3141,3.8256,3.4033,3.9361,3.6198,0.025091813232184384,0.024952829149034288,0.026069045066833496,0.0012924671173095703,0.05084562301635742,0.04471220076084137,0.002589124167412857,0.00011914162546036807,False,False,False
plain hybrid 1e-6 s0,plain,hybrid,1e-6,-,0,False,3.3641,3.8448,3.4155,3.8549,3.6198,0.013661421690469586,0.01311600579155816,0.017496377229690552,0.0007017850875854492,0.034290969371795654,0.016520211473107338,0.0014746412925281866,3.403619416887673e-05,False,False,False
plain conv 1e-6 s1,plain,conv,1e-6,-,1,True,3.3024,3.8243,3.4172,3.9152,3.6148,0.022133489527127157,0.02194613562689887,0.0234508216381073,0.0011498332023620605,0.04575181007385254,0.03856011480093002,0.0022872699415030463,9.240618269874866e-05,False,False,False
plain hybrid 1e-6 s1,plain,hybrid,1e-6,-,1,True,3.3158,3.8381,3.4041,3.8872,3.6113,0.010011416928777436,0.009585172865125868,0.013008445501327515,0.0005294084548950195,0.02548748254776001,0.01195488404482603,0.0010785002664525146,1.8420670165764405e-05,False,True,False
plain conv 1e-6 s0,plain,conv,1e-6,-,0,False,3.2731,3.7875,3.4044,3.9258,3.5977,0.022199775458309902,0.022014906141493054,0.023499637842178345,0.0011497735977172852,0.045849502086639404,0.03873802721500397,0.0022939192210225863,9.310597108616288e-05,False,False,False
plain hybrid 3e-6 s0,plain,hybrid,3e-6,-,0,False,3.3031,3.8598,3.381,3.845,3.5972,0.02441085266232027,0.023597242567274305,0.030131548643112183,0.001214444637298584,0.05904865264892578,0.03114132583141327,0.002628167876016086,0.00010702289428098365,False,False,False
plain hybrid 1e-6 s2,plain,hybrid,1e-6,-,2,False,3.3005,3.8226,3.4184,3.824,3.5914,0.013689965125651675,0.013142992655436198,0.017535865306854248,0.0007019639015197754,0.03436976671218872,0.01655055209994316,0.001477251551240467,3.413875602554899e-05,False,False,False
HB conv b2% s0,hard-budget,conv,1e-5,0.02,0,True,3.2939,3.7431,3.3943,3.9195,3.5877,0.015551474307761583,0.0004120551215277778,0.12200051546096802,0.008456766605377197,0.23554426431655884,0.0005546392640098929,0.0008004062887797052,0.0040028748611464805,False,False,False
plain conv 3e-6 s1,plain,conv,3e-6,-,1,False,3.2729,3.8234,3.3586,3.8915,3.5866,0.04109001159667969,0.041288575066460505,0.039693862199783325,0.0020476579666137695,0.07734006643295288,0.07892406731843948,0.004224914062329326,0.00032153426038100555,False,False,False
plain hybrid 3e-7 s2,plain,hybrid,3e-7,-,2,False,3.2921,3.8175,3.3662,3.8296,3.5763,0.005381276171495014,0.005117768181694879,0.007234066724777222,0.00030243396759033203,0.014165699481964111,0.006372984033077955,0.0005768058709558237,5.443163698345902e-06,True,True,False
soft-cell hybrid b0.1 s2 (600),soft-cell,hybrid,1e-5,beta0.1,2,True,3.2881,3.7725,3.3301,3.8192,3.5525,0.028199043719221183,0.02721832699245877,0.03509470820426941,0.0014208555221557617,0.06876856088638306,0.034906964749097824,0.0030403059909067543,0.00014189474657259844,False,False,False
soft-cell conv b1 s2 (600),soft-cell,conv,1e-5,beta1,2,True,3.2806,3.7136,3.3438,3.871,3.5523,0.044229318195743786,0.04429937574598524,0.04373672604560852,0.002201378345489502,0.08527207374572754,0.08284814655780792,0.004563356425902164,0.0003722766160727214,False,False,False
plain conv 3e-7 s0,plain,conv,3e-7,-,0,False,3.2941,3.7298,3.3092,3.8606,3.5484,0.006576745890457807,0.006325293646918403,0.008344769477844238,0.0003733634948730469,0.01631617546081543,0.00927432719618082,0.0006837876676022742,8.196263179006853e-06,False,False,False
PTQ GS+R5,ptq,-,-,-,-,True,3.1645,3.6875,3.2351,3.8282,3.4788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True
plain conv 1e-5 s1,plain,conv,1e-5,-,1,True,3.1876,3.6677,3.2708,3.678,3.451,0.09596105865003533,0.09784627278645833,0.08270564675331116,0.004760324954986572,0.16065096855163574,0.20351667702198029,0.009862347191098604,0.0017827755644633182,False,False,False
plain conv 1e-5 s0,plain,conv,1e-5,-,0,True,3.1518,3.6628,3.233,3.7297,3.4443,0.1389796297837788,0.1428376176622179,0.11185315251350403,0.0071035027503967285,0.21660280227661133,0.31016674637794495,0.014350552357941514,0.0038490976827212278,False,False,False
plain conv 1e-5 s2,plain,conv,1e-5,-,2,True,3.1254,3.638,3.2037,3.7278,3.4237,0.13825244755132654,0.14205911000569663,0.11148685216903687,0.007056534290313721,0.21591717004776,0.30840957164764404,0.014273432120842245,0.003806141488812752,False,False,False
code-frozen LoRA r16,lora,-,1e-4,r16,0,True,3.1496,3.571,3.2199,3.6251,3.3914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
