comparison,dataset,delta_tau,ci_low,ci_high,p,holm_threshold,verdict
A2_hbhyb_med_vs_T6conv_best,mtbench,0.0498,-0.0145,0.1171,0.1352,0.01667,n.s.
A2_hbhyb_med_vs_T6conv_best,gsm8k,-0.0179,-0.066,0.0301,0.4834,0.025,n.s.
A2_hbhyb_med_vs_T6conv_best,sharegpt,-0.0181,-0.0902,0.0551,0.6324,0.05,n.s.
A2_hbhyb_med_vs_T6conv_best,humaneval,-0.0427,-0.0954,0.0104,0.117,0.0125,n.s.
A_hbhyb_med_vs_T6conv_med,mtbench,0.0615,-0.0146,0.1384,0.126,0.0125,n.s.
A_hbhyb_med_vs_T6conv_med,gsm8k,-0.0165,-0.0624,0.0298,0.4968,0.05,n.s.
A_hbhyb_med_vs_T6conv_med,sharegpt,-0.032,-0.1041,0.0401,0.384,0.01667,n.s.
A_hbhyb_med_vs_T6conv_med,humaneval,-0.0217,-0.0735,0.031,0.404,0.025,n.s.
B2_hbhyb_med_vs_T6hyb_best,mtbench,-0.0002,-0.0716,0.0734,0.9798,0.05,n.s.
B2_hbhyb_med_vs_T6hyb_best,gsm8k,-0.0371,-0.0801,0.0054,0.0918,0.0125,n.s.
B2_hbhyb_med_vs_T6hyb_best,sharegpt,-0.0303,-0.1121,0.0499,0.4542,0.025,n.s.
B2_hbhyb_med_vs_T6hyb_best,humaneval,0.0386,-0.0163,0.0946,0.1798,0.01667,n.s.
B_hbhyb_med_vs_T6hyb_med,mtbench,0.0482,-0.0269,0.1204,0.1902,0.0125,n.s.
B_hbhyb_med_vs_T6hyb_med,gsm8k,-0.0304,-0.0754,0.0147,0.1924,0.01667,n.s.
B_hbhyb_med_vs_T6hyb_med,sharegpt,-0.0189,-0.0905,0.051,0.5992,0.025,n.s.
B_hbhyb_med_vs_T6hyb_med,humaneval,0.0063,-0.0497,0.06,0.7992,0.05,n.s.
C_hbconv_med_vs_T6conv_med,mtbench,-0.0085,-0.0762,0.0597,0.795,0.025,n.s.
C_hbconv_med_vs_T6conv_med,gsm8k,-0.0812,-0.1275,-0.0349,0.0012,0.0125,LOSS
C_hbconv_med_vs_T6conv_med,sharegpt,-0.0229,-0.0943,0.0493,0.5248,0.01667,n.s.
C_hbconv_med_vs_T6conv_med,humaneval,0.0043,-0.0539,0.0607,0.877,0.05,n.s.
D_hbconv_med_vs_T6hyb_med,mtbench,-0.0218,-0.098,0.051,0.5576,0.025,n.s.
D_hbconv_med_vs_T6hyb_med,gsm8k,-0.095,-0.1408,-0.0498,0.0001,0.0125,LOSS
D_hbconv_med_vs_T6hyb_med,sharegpt,-0.0098,-0.0756,0.0572,0.777,0.05,n.s.
D_hbconv_med_vs_T6hyb_med,humaneval,0.0323,-0.021,0.0853,0.2272,0.01667,n.s.
P_hbhyb_s0_vs_PTQ,mtbench,0.2153,0.1467,0.2832,0.0001,0.0125,WIN
P_hbhyb_s0_vs_PTQ,gsm8k,0.1456,0.0999,0.1927,0.0001,0.01667,WIN
P_hbhyb_s0_vs_PTQ,sharegpt,0.1957,0.129,0.2616,0.0001,0.025,WIN
P_hbhyb_s0_vs_PTQ,humaneval,0.0386,-0.0132,0.0886,0.1442,0.05,n.s.
Q_T6conv_med_vs_PTQ,mtbench,0.1379,0.0689,0.2078,0.0001,0.0125,WIN
Q_T6conv_med_vs_PTQ,gsm8k,0.1368,0.0881,0.1856,0.0001,0.01667,WIN
Q_T6conv_med_vs_PTQ,sharegpt,0.1821,0.1127,0.2551,0.0001,0.025,WIN
Q_T6conv_med_vs_PTQ,humaneval,0.0871,0.0388,0.1338,0.0002,0.05,WIN
S0_hbhyb_s0_vs_T6conv_med,mtbench,0.0773,0.0102,0.1451,0.023,0.0125,n.s.
S0_hbhyb_s0_vs_T6conv_med,gsm8k,0.0088,-0.0351,0.0531,0.6924,0.025,n.s.
S0_hbhyb_s0_vs_T6conv_med,sharegpt,0.0136,-0.0691,0.0919,0.732,0.05,n.s.
S0_hbhyb_s0_vs_T6conv_med,humaneval,-0.0484,-0.1025,0.0041,0.0714,0.01667,n.s.
S1_hbhyb_s1_vs_T6conv_med,mtbench,0.0374,-0.0318,0.1069,0.2832,0.01667,n.s.
S1_hbhyb_s1_vs_T6conv_med,gsm8k,-0.0122,-0.0581,0.0341,0.607,0.05,n.s.
S1_hbhyb_s1_vs_T6conv_med,sharegpt,-0.0289,-0.1021,0.039,0.4374,0.025,n.s.
S1_hbhyb_s1_vs_T6conv_med,humaneval,-0.061,-0.1155,-0.0084,0.0214,0.0125,n.s.
