tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
GATE_BASIS,int4,mtbench,81,"[3, 3, 4, 2, 2, 3, 2, 4, 5, 6, 3, 3, 2, 2, 2, 1, 1, 3, 4, 2, 3, 4, 2, 2, 4, 2, 3, 3, 4, 3, 3, 3, 2, 2, 4, 2, 4, 4, 2, 5, 4, 3, 4]",43,7.714
GATE_BASIS,int4,mtbench,82,"[4, 4, 2, 5, 6, 4, 5, 4, 4, 4, 5, 5, 2, 2, 3, 4, 2, 2, 3, 3, 2, 4, 4, 5, 3, 5, 1, 3, 1, 4, 2, 3, 4, 4, 5, 3, 3]",37,5.411
GATE_BASIS,int4,mtbench,83,"[4, 6, 4, 6, 2, 4, 3, 5, 1, 4, 2, 5, 3, 5, 1, 2, 3, 1, 2, 1, 4, 1, 2, 3, 2, 1, 1, 5, 3, 2, 4, 4, 1, 4, 3, 1, 2, 2, 2, 3, 2, 3, 4, 3, 4]",45,6.273
GATE_BASIS,int4,mtbench,84,"[4, 2, 3, 3, 4, 4, 3, 6, 4, 5, 4, 2, 4, 3, 2, 3, 4, 4, 3, 3, 3, 4, 3, 2, 1, 3, 1, 1, 2, 3, 2, 3, 4, 2, 2, 2, 4, 5, 3, 2, 4, 3]",42,5.837
GATE_BASIS,int4,mtbench,85,"[1, 4, 4, 2, 3, 4, 2, 2, 2, 3, 4, 3, 2, 4, 2, 1, 3, 3, 4, 3, 2, 1, 4, 3, 2, 2, 4, 4, 4, 3, 2, 3, 2, 4, 2, 1, 2, 1, 4, 4, 2, 1, 2, 4, 1, 2, 2, 2, 2]",49,6.83
GATE_BASIS,int4,mtbench,86,"[1, 3, 6, 5, 1, 3, 4, 2, 2, 2, 1, 1, 2, 2, 2, 2, 1, 1, 3, 4, 1, 1, 1, 2, 2, 2, 1, 1, 1, 4, 1, 1, 2, 1, 1, 2, 1, 1, 3, 2, 2, 3, 2, 3, 1, 3, 4, 3, 1, 3, 1, 1, 3, 2, 2, 3, 2, 4, 3, 2, 1]",61,8.48
GATE_BASIS,int4,mtbench,87,"[2, 3, 6, 2, 5, 3, 3, 3, 3, 2, 2, 5, 3, 2, 3, 4, 3, 4, 3, 3, 2, 3, 2, 3, 1, 1, 3, 2, 3, 3, 1, 1, 1, 2, 1, 1, 2, 1, 3, 2, 2, 3, 3, 1, 4, 3, 3, 3, 3, 2]",50,6.939
GATE_BASIS,int4,mtbench,88,"[1, 3, 2, 3, 2, 1, 1, 3, 4, 2, 2, 4, 2, 3, 2, 3, 3, 2, 1, 4, 1, 2, 3, 3, 1, 1, 2, 1, 3, 4, 2, 1, 1, 2, 3, 3, 2, 2, 4, 1, 1, 4, 2, 2, 2, 1, 2, 4, 4, 2, 2, 2, 3, 2, 2, 3]",56,7.784
GATE_BASIS,int4,mtbench,89,"[1, 4, 4, 2, 2, 5, 3, 6, 4, 2, 2, 3, 3, 4, 4, 4, 2, 1, 3, 2, 4, 2, 2, 3, 4, 2, 1, 4, 1, 4, 4, 2, 2, 4, 5, 5, 5, 2, 1, 2, 4, 4]",42,5.809
GATE_BASIS,int4,mtbench,90,"[1, 3, 3, 4, 3, 4, 3, 3, 3, 2, 2, 2, 4, 3, 1, 2, 4, 3, 3, 3, 4, 5, 3, 3, 3, 4, 3, 3, 1]",29,4.07
GATE_BASIS,int4,mtbench,91,"[1, 4, 4, 4, 3, 3, 5, 4, 5, 2, 3, 1, 2, 1, 2, 1, 3, 2, 2, 2, 2, 3, 3, 2, 6, 3, 1, 1, 3, 3, 3, 3, 2, 4, 1, 2, 2, 3, 4, 2, 3, 3, 1, 2, 2, 4, 3, 3]",48,6.726
GATE_BASIS,int4,mtbench,92,"[3, 3, 2, 4, 1, 3, 1, 3, 1, 1, 4, 2, 4, 1, 2, 1, 1, 3, 4, 4, 4, 5, 4, 3, 2, 1, 1, 2, 2, 1, 1, 2, 1, 1, 3, 3, 3, 2, 2, 2, 1, 2, 1, 1, 3, 1, 3, 2, 2, 2, 3, 3, 1, 1, 2, 1, 2, 1, 2, 1]",60,7.988
GATE_BASIS,int4,mtbench,93,"[1, 3, 3, 4, 3, 2, 2, 3, 4, 3, 4, 2, 2, 4, 1, 2, 3, 3, 3, 2, 4, 3, 2, 3, 6, 3, 4, 4, 4, 4, 2, 3, 3, 3, 5, 2, 3, 4, 3, 3, 4, 4]",42,6.476
GATE_BASIS,int4,mtbench,94,"[1, 4, 3, 3, 1, 1, 1, 4, 2, 3, 1, 2, 1, 3, 3, 5, 1, 1, 6, 3, 5, 4, 4, 5, 4, 3, 2, 3, 4, 4, 1, 2, 3, 2, 4, 3, 2, 4, 4, 4, 2, 2, 1, 2, 2, 3]",46,7.057
GATE_BASIS,int4,mtbench,95,"[1, 2, 4, 1, 2, 3, 3, 5, 2, 2, 1, 2, 4, 2, 3, 3, 3, 2, 2, 2, 4, 3, 3, 4, 6, 5, 6, 2, 6, 5, 6, 4, 2, 3, 2, 4, 6, 3, 2, 4]",40,5.696
GATE_BASIS,int4,mtbench,96,"[2, 4, 3, 3, 2, 2, 4, 4, 3, 3, 4, 3, 3, 5, 3, 5, 1, 3, 6, 2, 2, 1, 2, 2, 4, 2, 4, 4, 2, 1, 3, 2, 4, 4, 2, 2, 3, 4, 2, 4, 2, 2, 2, 1, 3]",45,6.268
GATE_BASIS,int4,mtbench,97,"[2, 3, 6, 2, 2, 2, 3, 2, 3, 2, 1, 4, 3, 2, 2, 3, 5, 1, 3, 3, 3, 3, 4, 2, 3, 2, 1, 2, 3, 3, 4, 1, 2, 2, 3, 1, 3, 1, 1, 2, 4, 1, 2, 1, 2, 3, 1, 6, 6, 3]",50,7.016
GATE_BASIS,int4,mtbench,98,"[1, 2, 2, 2, 2, 2, 3, 2, 1, 1, 3, 1, 1, 1, 1, 4, 3, 2, 1, 2, 3, 4, 2, 2, 1, 1, 1, 2, 3, 3, 2, 4, 2, 2, 3, 4, 1, 1, 1, 2, 2, 4, 3, 2, 3, 4, 1, 2, 1, 3, 6, 2, 1, 1, 2, 2, 4, 4]",58,7.984
GATE_BASIS,int4,mtbench,99,"[1, 4, 1, 3, 3, 2, 2, 1, 4, 2, 2, 3, 2, 2, 4, 3, 4, 4, 3, 6, 2, 4, 5, 2, 3, 2, 3, 3, 1, 4, 4, 2, 3, 3, 4, 1, 4, 2, 5, 3, 4, 5, 4]",43,6.048
GATE_BASIS,int4,mtbench,100,"[1, 2, 2, 1, 1, 2, 2, 3, 2, 1, 2, 1, 1, 2, 1, 3, 3, 3, 3, 1, 1, 3, 3, 1, 1, 1, 1, 2, 2, 2, 1, 3, 2, 1, 3, 3, 1, 3, 4, 4, 2, 3, 3, 4, 2, 2, 2, 4, 3, 2, 4, 2, 1, 2, 2, 1, 1, 2, 2, 1, 1, 1, 1, 2]",64,8.83
GATE_BASIS,int4,mtbench,101,"[1, 3, 3, 4, 1, 3, 4, 4, 2, 3, 4, 1, 4, 6, 4, 3, 6, 4, 4, 2, 2, 4, 4, 2, 2, 3, 1, 2, 2, 1, 1, 3, 1, 2, 3, 1, 4, 4, 4, 3, 2, 2, 2, 4, 3]",45,6.305
