tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
JOINT_s0,int4,gsm8k,gsm8k_test_0,"[4, 3, 4, 3, 2, 4, 3, 5, 3, 4, 4, 5, 4, 2, 6, 4, 4, 2, 1, 2, 2, 2, 6, 2, 3, 4, 4, 6, 6, 2, 6, 2, 2, 4, 5, 2, 3]",37,5.902
JOINT_s0,int4,gsm8k,gsm8k_test_1,"[4, 3, 4, 3, 3, 3, 3, 4, 4, 2, 4, 4, 6, 4, 4, 3, 6, 1, 3, 2, 1, 6, 6, 2, 2, 5, 3, 5, 3, 2, 4, 2, 3, 3, 4, 4, 3]",37,4.745
JOINT_s0,int4,gsm8k,gsm8k_test_2,"[3, 3, 4, 4, 3, 3, 3, 4, 4, 5, 4, 6, 1, 1, 6, 4, 4, 1, 2, 1, 3, 6, 6, 6, 3, 4, 6, 4, 2, 4, 4, 2, 5, 3, 4]",35,4.47
JOINT_s0,int4,gsm8k,gsm8k_test_3,"[6, 6, 3, 4, 5, 6, 4, 4, 4, 3, 3, 1, 4, 5, 6, 2, 1, 4, 4, 4, 6, 4, 3, 6, 2, 4, 4, 4, 6, 5, 6]",31,4.033
JOINT_s0,int4,gsm8k,gsm8k_test_4,"[2, 5, 6, 3, 3, 4, 5, 2, 5, 2, 6, 4, 3, 2, 3, 3, 4, 5, 5, 6, 3, 4, 4, 3, 3, 6, 4, 3, 6, 5, 5, 1, 5]",33,4.236
JOINT_s0,int4,gsm8k,gsm8k_test_5,"[4, 6, 4, 4, 6, 6, 1, 4, 4, 4, 4, 3, 3, 2, 6, 6, 1, 4, 6, 4, 5, 5, 4, 6, 3, 3, 4, 3, 5, 6, 2]",31,4.083
JOINT_s0,int4,gsm8k,gsm8k_test_6,"[4, 4, 2, 5, 3, 3, 4, 2, 4, 6, 6, 4, 1, 2, 4, 4, 3, 1, 5, 5, 6, 2, 4, 2, 1, 4, 3, 3, 3, 3, 4, 5, 3, 5, 6, 4]",36,4.616
JOINT_s0,int4,gsm8k,gsm8k_test_7,"[3, 1, 4, 5, 3, 4, 5, 1, 5, 2, 4, 3, 5, 5, 2, 4, 2, 6, 4, 4, 4, 4, 3, 4, 4, 2, 2, 3, 2, 2, 3, 4, 4, 2, 2, 3, 3, 2, 3]",39,5.012
JOINT_s0,int4,gsm8k,gsm8k_test_8,"[4, 3, 3, 3, 2, 5, 4, 3, 4, 3, 4, 4, 3, 3, 5, 4, 6, 4, 5, 3, 6, 5, 3, 4, 4, 6, 3, 2, 5, 4, 4, 3, 3, 6]",34,4.321
JOINT_s0,int4,gsm8k,gsm8k_test_9,"[3, 3, 5, 4, 3, 4, 5, 4, 2, 6, 4, 4, 3, 5, 4, 4, 6, 4, 4, 3, 3, 3, 6, 3, 6, 3, 2, 6, 6, 1, 3, 4, 5]",33,4.333
