tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
JOINT_s0,int4,sharegpt,sharegpt_0,"[4, 4, 5, 5, 6, 5, 4, 5, 6, 2, 3, 3, 2, 3, 4, 3, 6, 5, 3, 4, 5, 4, 5, 6, 1, 1, 1, 2, 4, 2, 3, 3, 2, 2, 6]",35,6.501
JOINT_s0,int4,sharegpt,sharegpt_1,"[3, 4, 4, 4, 3, 3, 5, 6, 4, 4, 5, 4, 2, 1, 2, 1, 2, 2, 4, 2, 5, 4, 4, 4, 3, 4, 4, 1, 3, 3, 1, 3, 2, 2, 5, 2, 4, 3, 2, 1, 5]",41,6.65
JOINT_s0,int4,sharegpt,sharegpt_2,"[6, 4, 5, 2, 1, 4, 4, 6, 3, 4, 4, 5, 4, 4, 2, 2, 5, 4, 5, 4, 3, 5, 2, 4, 2, 2, 3, 2, 3, 4, 1, 4, 2, 4, 6, 2, 4]",37,6.882
JOINT_s0,int4,sharegpt,sharegpt_4,"[1, 3, 5, 4, 5, 1, 2, 2, 6, 1, 2, 3, 2, 1, 1, 4, 3, 4, 2, 2, 3, 3, 2, 6, 6, 3, 2, 4, 1, 1, 4, 6, 4, 4, 6, 3, 6, 6, 4]",39,5.268
JOINT_s0,int4,sharegpt,sharegpt_5,"[4, 4, 4, 3, 3, 2, 5, 1, 5, 2, 3, 1, 3, 6, 2, 4, 1, 3, 1, 2, 4, 5, 4, 3, 1, 2, 2, 3, 5, 4, 3, 1, 3, 4, 4, 3, 2, 3, 2, 5, 5, 4]",42,5.696
JOINT_s0,int4,sharegpt,sharegpt_6,"[6, 5, 3, 4, 3, 4, 3, 5, 6, 2, 2, 2, 5, 4, 4, 3, 4, 4, 3, 2, 2, 4, 4, 3, 3, 1, 1, 4, 4, 5, 1, 3, 2, 3, 3, 4, 4, 3]",38,5.169
JOINT_s0,int4,sharegpt,sharegpt_8,"[4, 4, 2, 5, 1, 2, 4, 4, 1, 4, 2, 2, 4, 3, 4, 2, 3, 2, 4, 6, 6, 4, 2, 4, 6, 3, 3, 5, 6, 6, 3, 5, 4, 6, 5]",35,4.818
JOINT_s0,int4,sharegpt,sharegpt_9,"[4, 6, 6, 5, 2, 6, 2, 3, 3, 1, 3, 3, 1, 2, 2, 4, 1, 2, 2, 2, 1, 3, 3, 2, 1, 3, 4, 1, 1, 4, 1, 1, 1, 2, 4, 6, 5, 6, 4, 1, 3, 2, 2, 3, 4]",45,6.089
JOINT_s0,int4,sharegpt,sharegpt_10,"[3, 1, 4, 3, 2, 2, 2, 5, 6, 3, 4, 1, 4, 2, 3, 4, 4, 2, 1, 3, 5, 4, 1, 3, 3, 4, 4, 1, 6, 3, 4, 4, 3, 6, 2, 1, 1, 2, 1, 4, 4, 4]",42,5.549
JOINT_s0,int4,sharegpt,sharegpt_13,"[3, 4, 3, 2, 2, 4, 4, 6, 2, 2, 2, 2, 1, 2, 1, 3, 1, 2, 4, 3, 4, 5, 3, 4, 4, 3, 4, 4, 1, 1, 2, 3, 5, 2, 3, 3, 1, 2, 1, 2, 1, 1, 1, 2, 1, 3, 4, 2, 4]",49,6.427
JOINT_s0,int4,sharegpt,sharegpt_15,"[4, 4, 5, 1, 4, 4, 3, 4, 2, 3, 4, 4, 3, 1, 4, 5, 4, 3, 1, 5, 3, 4, 3, 2, 1, 1, 2, 3, 3, 3, 2, 3, 2, 3, 4, 3, 1, 3, 2, 4, 2, 2, 2, 3]",44,5.735
JOINT_s0,int4,sharegpt,sharegpt_16,"[1, 1, 1, 2, 3, 1, 3]",7,1.069
JOINT_s0,int4,sharegpt,sharegpt_19,"[3, 3, 4, 1, 3, 2, 4, 5, 2, 2, 4, 1, 2, 2, 6, 3, 2, 1, 4, 4, 2, 1, 6, 6, 3, 4, 3, 5, 3, 1, 2, 5, 3, 4, 4, 4, 1, 4, 4, 3, 1, 5]",42,5.47
JOINT_s0,int4,sharegpt,sharegpt_23,"[4, 4, 5, 1, 3, 5, 5, 3, 4, 1, 4, 4, 4, 2, 5, 6, 3, 3, 3, 3, 2, 3, 3, 2, 3, 4, 4, 2, 3, 4, 2, 2, 4, 1, 3, 3, 2, 1, 3, 4, 2]",41,5.348
JOINT_s0,int4,sharegpt,sharegpt_24,"[4, 4, 4, 2, 1, 1, 3, 4, 4, 4, 3, 3, 3, 2, 4, 4, 2, 1, 2, 2, 4, 2, 2, 4, 2, 3, 2, 5, 4, 2, 3, 3, 4, 1, 4, 2, 5, 3, 3, 4, 2, 6, 4]",43,5.767
JOINT_s0,int4,sharegpt,sharegpt_25,"[3, 3, 3, 2, 5, 5, 6, 4, 4, 4, 4, 5, 4, 4, 3, 6, 4, 5, 3, 3, 4, 4, 2, 3, 4, 3, 3, 5, 1, 6, 4, 2, 4, 4]",34,4.598
JOINT_s0,int4,sharegpt,sharegpt_26,"[1, 3, 6, 2, 4, 3, 3, 6, 4, 6, 3, 5, 3, 3, 2, 4, 4, 4, 1, 1, 2, 3, 3, 4, 4, 2, 1, 3, 2, 3, 2, 3, 1, 4, 1, 1, 1, 2, 1, 2, 1, 4, 1, 1, 2, 4, 2]",47,7.149
JOINT_s0,int4,sharegpt,sharegpt_28,"[4, 4, 4, 2, 2, 4, 2, 5, 4, 4, 4, 3, 3, 3, 3, 4, 2, 4, 3, 4, 4, 3, 4, 3, 5, 3, 3, 1, 2, 4, 4, 4, 2, 3, 3, 2, 4, 3, 2, 5]",40,5.275
JOINT_s0,int4,sharegpt,sharegpt_29,"[6, 6, 2, 4, 2, 3, 3, 5, 5, 4, 4, 4, 5, 3, 2, 3, 4, 5, 2, 4, 3, 6, 3, 3, 4, 6, 2, 6, 4, 2, 2, 3, 2, 2, 2, 4]",36,4.764
JOINT_s0,int4,sharegpt,sharegpt_31,"[4, 4, 1, 2, 3, 4, 3, 4, 4, 4, 4, 3, 6, 4, 6, 3, 3, 5, 1, 2, 2, 4, 6, 3, 2, 3, 3, 2, 2, 6, 3, 4, 5, 2, 3, 5, 4]",37,4.759
JOINT_s0,int4,sharegpt,sharegpt_34,"[4, 2, 2, 4, 3, 2, 1, 2, 2, 3, 3, 3, 3, 4, 4, 2, 1, 2, 5, 3, 2, 3, 6, 2, 6, 5, 6, 5, 1, 6, 5, 6, 5, 6, 5, 6]",36,6.958
JOINT_s0,int4,sharegpt,sharegpt_35,"[3, 6, 4, 4, 3, 3, 6, 3, 4, 3, 2, 4, 3, 1, 2, 5, 6, 3, 3, 2, 4, 4, 3, 6, 4, 2, 6, 4, 2, 4, 4, 3, 3, 6, 1, 2]",36,5.941
JOINT_s0,int4,sharegpt,sharegpt_36,"[6, 4, 3, 2, 3, 2, 4, 5, 1, 1, 5, 2, 3, 4, 4, 4, 4, 4, 4, 2, 4, 6, 4, 1]",24,3.175
JOINT_s0,int4,sharegpt,sharegpt_39,"[1, 4, 3, 6, 4, 5, 4, 4, 4, 2, 3, 2, 4, 2, 1, 3, 3, 3, 1, 3, 5, 5, 4, 2, 3, 3, 2, 2, 2, 5, 4, 4, 2, 5, 1, 4, 4, 2, 4, 5]",40,5.302
JOINT_s0,int4,sharegpt,sharegpt_41,"[1, 2, 4, 6, 4, 4, 3, 3, 1, 3, 2, 2, 3, 2, 4, 4, 4, 1, 3, 4, 3, 4, 2, 4, 2, 4, 5, 6, 4, 2, 3, 2, 5, 5, 5, 1, 2, 4, 2, 2, 6]",41,5.329
JOINT_s0,int4,sharegpt,sharegpt_43,"[5, 6, 3, 4, 5, 6, 1, 2, 2, 3, 3, 5, 5, 4, 3, 2, 1, 4, 1, 2, 3, 4, 3, 2, 2, 2, 2, 1, 4, 2, 3, 2, 6, 3, 1, 3, 3, 1, 4, 1, 2, 6, 6]",43,5.54
JOINT_s0,int4,sharegpt,sharegpt_46,"[6, 4, 4, 4, 1, 5, 3, 2, 3, 3, 3, 2, 5, 4, 4, 3, 5, 5, 2, 3, 2, 6, 2, 1, 1, 4, 3, 1, 1, 1, 3, 4, 5, 5, 4, 5, 4, 5]",38,4.923
JOINT_s0,int4,sharegpt,sharegpt_48,"[5, 6, 3, 3, 2, 3, 3, 4, 4, 6, 3, 6, 4, 4, 6, 5, 4, 1, 2, 3, 3, 5, 3, 2, 1, 1, 2, 1, 4, 3, 4, 6, 4, 1, 4, 4, 2, 3]",38,5.045
JOINT_s0,int4,sharegpt,sharegpt_54,"[1, 2, 3, 1, 1, 1, 1, 1, 2, 2, 2, 1, 1, 3, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 1, 3, 3, 2, 2, 2, 1, 3, 3, 3, 1, 2, 1, 1, 6, 1, 4, 3, 1, 1, 3, 2, 2, 2, 2, 3, 3, 3, 3, 4, 2, 2, 1, 1, 4, 3, 2, 5, 1]",63,8.355
JOINT_s0,int4,sharegpt,sharegpt_56,"[3, 2, 5, 4, 2, 2, 2, 3, 3, 5, 1, 3, 4, 3, 4, 6, 2, 2, 3, 2, 3, 2, 2, 6, 1, 3, 4, 5, 3, 1, 3, 3, 2, 3, 4, 3, 3, 3, 3, 2, 2, 4, 2]",43,5.738
JOINT_s0,int4,sharegpt,sharegpt_58,"[5, 3, 1, 4, 2, 6, 4, 4, 6, 4, 1, 4, 2, 2, 3, 4, 4, 6, 4, 6, 3, 3, 5, 3, 4, 3, 4, 6, 5, 4, 3, 6, 5]",33,4.458
JOINT_s0,int4,sharegpt,sharegpt_60,"[1, 4, 6, 3, 2, 3, 1, 2, 3, 4, 4, 5, 1, 2, 2, 3, 4, 3, 2, 2, 4, 6, 2, 5, 2, 2, 4, 3, 4, 2, 3, 3, 6, 4, 3, 3, 2, 5, 3, 2, 3]",41,5.354
JOINT_s0,int4,sharegpt,sharegpt_65,"[1, 1, 2, 4, 2, 4, 4, 3, 4, 6, 4, 4, 2, 2, 3, 2, 2, 3, 4, 4, 6, 6, 6, 6, 6, 4, 6, 1, 4, 4, 2, 6, 4, 6]",34,4.639
JOINT_s0,int4,sharegpt,sharegpt_66,"[4, 4, 4, 6, 3, 1, 2, 2, 3, 1, 2, 4, 2, 3, 2, 6, 6, 6, 3, 5, 2, 4, 4, 4, 6, 3, 3, 3, 3, 4, 3, 4, 4, 2, 2, 4, 3, 2]",38,5.161
JOINT_s0,int4,sharegpt,sharegpt_67,"[1, 4, 4, 6, 4, 5, 2, 4, 1, 3, 1, 1, 1, 3, 3, 2, 6, 2, 2, 2, 4, 1, 4, 2, 3, 1, 1, 2, 3, 3, 2, 3, 1, 3, 2, 4, 6, 3, 4, 2, 4, 4, 1, 3, 3, 4]",46,6.183
JOINT_s0,int4,sharegpt,sharegpt_69,"[4, 4, 4, 5, 3, 4, 4, 6, 2, 3, 3, 4, 2, 4, 3, 4, 2, 3, 4, 3, 2, 5, 1, 4, 1, 1, 1, 5, 1, 4, 4, 6, 3, 2, 4, 6, 4, 4]",38,5.243
JOINT_s0,int4,sharegpt,sharegpt_70,"[1, 5, 4, 2, 6, 6, 2, 4, 3, 3, 5, 3, 3, 4, 3, 4, 5, 2, 4, 1, 3, 4, 6, 2, 3, 1, 2, 3, 4, 4, 5, 4, 1, 4, 4, 3, 3, 6]",38,5.201
JOINT_s0,int4,sharegpt,sharegpt_73,"[4, 6, 4, 1, 2, 3, 6, 2, 3, 5, 3, 2, 2, 2, 3, 2, 5, 3, 3, 4, 3, 4, 2, 6, 3, 2, 2, 3, 4, 4, 2, 3, 3, 2, 2, 3, 3, 3, 1, 4, 2, 3]",42,5.671
JOINT_s0,int4,sharegpt,sharegpt_74,"[5, 6, 5, 5, 4, 4, 3, 6, 2, 4, 6, 5, 2, 3, 4, 2, 2, 4, 2, 2, 2, 4, 4, 4, 4, 4, 3, 1, 2, 4, 2, 3, 4, 3, 2, 3, 3]",37,5.046
