tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
JOINT_s2,int4,mtbench,81,"[4, 1, 2, 4, 2, 3, 3, 4, 5, 6, 3, 2, 2, 3, 2, 1, 2, 2, 3, 3, 4, 3, 2, 4, 4, 3, 3, 5, 4, 1, 4, 5, 4, 5, 5, 4, 3, 3, 1, 4]",40,5.502
JOINT_s2,int4,mtbench,82,"[4, 2, 2, 2, 4, 5, 3, 6, 4, 2, 6, 2, 5, 6, 5, 3, 2, 2, 2, 4, 3, 5, 4, 4, 4, 3, 2, 1, 2, 2, 3, 4, 2, 2, 3, 4, 4, 2, 2, 4]",40,5.302
JOINT_s2,int4,mtbench,83,"[5, 5, 4, 6, 2, 4, 3, 5, 1, 2, 2, 4, 4, 2, 5, 1, 3, 3, 3, 4, 3, 4, 3, 2, 2, 3, 1, 2, 3, 3, 4, 3, 6, 3, 4, 2, 3, 1, 4, 3, 1]",41,5.261
JOINT_s2,int4,mtbench,84,"[4, 2, 1, 2, 2, 2, 4, 4, 4, 5, 3, 6, 1, 2, 3, 5, 4, 4, 5, 2, 2, 2, 4, 1, 3, 2, 4, 3, 1, 2, 3, 3, 4, 2, 2, 4, 6, 3, 2, 2, 3, 3, 4]",43,5.419
JOINT_s2,int4,mtbench,85,"[6, 5, 6, 2, 3, 4, 1, 3, 4, 2, 4, 2, 1, 4, 1, 2, 3, 2, 2, 2, 3, 3, 3, 4, 2, 4, 3, 2, 4, 4, 4, 4, 3, 2, 2, 2, 3, 2, 3, 2, 2, 1, 4, 3]",44,5.586
JOINT_s2,int4,mtbench,86,"[1, 3, 4, 6, 1, 1, 4, 4, 3, 2, 2, 2, 4, 1, 2, 5, 3, 1, 2, 3, 1, 2, 1, 1, 2, 2, 2, 3, 3, 4, 3, 5, 2, 1, 3, 1, 3, 2, 1, 1, 3, 3, 1, 3, 2, 3, 4, 3, 3, 3, 3]",51,6.479
JOINT_s2,int4,mtbench,87,"[2, 3, 6, 2, 5, 3, 3, 4, 2, 2, 2, 4, 2, 2, 2, 4, 6, 3, 4, 5, 2, 1, 1, 2, 1, 3, 1, 2, 4, 3, 2, 2, 3, 3, 1, 1, 2, 3, 4, 6, 2, 4, 2, 5, 2]",45,5.804
JOINT_s2,int4,mtbench,88,"[1, 3, 3, 2, 2, 2, 3, 3, 1, 2, 2, 4, 1, 1, 3, 5, 2, 5, 1, 2, 4, 2, 2, 3, 5, 2, 3, 2, 3, 4, 1, 3, 2, 3, 2, 4, 3, 2, 6, 2, 4, 3, 4, 3, 2, 2, 4]",47,5.964
JOINT_s2,int4,mtbench,89,"[3, 3, 6, 3, 5, 4, 6, 3, 2, 3, 3, 4, 6, 3, 1, 3, 1, 1, 3, 2, 2, 4, 6, 1, 2, 3, 2, 2, 3, 3, 5, 6, 3, 5, 3, 3, 2, 3, 3, 6]",40,5.124
JOINT_s2,int4,mtbench,90,"[1, 3, 4, 3, 3, 4, 4, 2, 3, 2, 2, 2, 6, 1, 1, 4, 2, 4, 2, 4, 4, 4, 3, 3, 1, 4, 1, 2, 3, 4, 3, 4, 1, 2, 5, 4, 3, 3, 4, 2, 5, 1, 3, 5]",44,5.594
JOINT_s2,int4,mtbench,91,"[5, 2, 4, 4, 1, 2, 3, 3, 4, 4, 1, 2, 1, 4, 1, 1, 4, 3, 3, 4, 2, 4, 2, 2, 3, 3, 4, 1, 2, 3, 3, 1, 2, 4, 3, 1, 3, 3, 1, 2, 3, 1, 2, 1, 4, 1, 3, 3, 2, 3]",50,6.305
JOINT_s2,int4,mtbench,92,"[3, 3, 3, 3, 1, 4, 4, 4, 2, 5, 4, 3, 2, 1, 1, 2, 2, 4, 2, 2, 4, 4, 4, 2, 2, 1, 1, 1, 2, 3, 5, 3, 3, 4, 4, 4, 2, 2, 2, 4, 4, 6, 2, 5]",44,5.574
JOINT_s2,int4,mtbench,93,"[4, 6, 4, 4, 3, 4, 3, 4, 3, 3, 3, 2, 3, 3, 3, 2, 3, 2, 4, 2, 4, 2, 4, 3, 2, 2, 2, 3, 5, 4, 2, 3, 2, 4, 6, 2, 3, 3, 3, 1, 2, 4]",42,5.469
JOINT_s2,int4,mtbench,94,"[4, 3, 4, 2, 1, 1, 3, 2, 4, 4, 5, 2, 2, 6, 3, 5, 2, 3, 3, 2, 3, 4, 1, 3, 1, 4, 5, 4, 4, 4, 2, 3, 3, 4, 1, 3, 2, 3, 3, 3, 2, 1, 3, 2]",44,5.678
JOINT_s2,int4,mtbench,95,"[1, 2, 4, 4, 2, 2, 3, 2, 2, 1, 2, 1, 4, 2, 4, 4, 1, 3, 2, 1, 3, 2, 4, 1, 3, 3, 4, 4, 6, 2, 5, 6, 6, 4, 2, 3, 2, 5, 6, 2, 2, 4, 3]",43,5.543
JOINT_s2,int4,mtbench,96,"[6, 1, 3, 4, 2, 4, 6, 5, 2, 4, 3, 3, 3, 3, 4, 3, 6, 3, 3, 5, 3, 4, 4, 3, 3, 1, 2, 3, 1, 2, 4, 3, 4, 5, 4, 3, 5, 4]",38,4.942
JOINT_s2,int4,mtbench,97,"[6, 5, 2, 2, 2, 4, 4, 2, 2, 2, 3, 5, 6, 3, 3, 3, 3, 3, 3, 1, 1, 3, 6, 2, 3, 6, 3, 3, 5, 2, 3, 3, 3, 4, 2, 3, 2, 1, 4, 4, 5]",41,5.198
JOINT_s2,int4,mtbench,98,"[3, 3, 2, 3, 3, 2, 1, 1, 2, 2, 2, 3, 3, 1, 5, 4, 1, 1, 3, 1, 1, 4, 3, 2, 2, 1, 3, 1, 2, 4, 1, 2, 1, 2, 2, 3, 1, 1, 3, 1, 1, 1, 5, 1, 2, 1, 2, 4, 1, 2, 2, 3, 3, 5, 1, 2, 2, 3, 1]",59,7.479
JOINT_s2,int4,mtbench,99,"[3, 2, 3, 2, 2, 2, 1, 5, 2, 6, 5, 4, 5, 6, 5, 4, 3, 4, 2, 4, 6, 2, 4, 5, 5, 6, 2, 1, 4, 4, 3, 3, 3, 3, 2, 2, 1, 4]",38,4.892
JOINT_s2,int4,mtbench,100,"[3, 3, 1, 1, 3, 3, 3, 2, 3, 2, 4, 1, 4, 5, 2, 4, 1, 3, 2, 3, 1, 2, 1, 2, 4, 3, 2, 3, 2, 3, 3, 4, 2, 2, 4, 1, 2, 4, 3, 1, 5, 3, 2, 3, 4, 3, 1, 6]",48,6.119
JOINT_s2,int4,mtbench,101,"[4, 3, 4, 4, 4, 6, 3, 4, 6, 2, 2, 4, 4, 5, 3, 5, 4, 6, 1, 3, 4, 4, 2, 5, 3, 2, 4, 6, 4, 6, 2]",31,3.932
JOINT_s2,int4,mtbench,102,"[3, 4, 5, 2, 1, 2, 3, 1, 4, 3, 2, 2, 3, 2, 3, 4, 3, 3, 4, 2, 3, 6, 2, 1, 4, 4, 3, 3, 4, 3, 3, 1, 2, 5, 4, 2, 2, 3, 1, 4, 4, 2, 4, 4]",44,5.57
JOINT_s2,int4,mtbench,103,"[3, 3, 6, 5, 6, 1, 5, 2, 4, 3, 3, 2, 2, 3, 4, 4, 3, 4, 4, 4, 4, 3, 5, 6, 2, 3, 4, 3, 1, 1, 2, 6, 4, 2, 2, 3, 4, 1, 1]",39,4.957
JOINT_s2,int4,mtbench,104,"[6, 5, 3, 2, 4, 6, 4, 4, 1, 3, 3, 1, 5, 4, 2]",15,1.997
JOINT_s2,int4,mtbench,105,"[2, 4, 1, 4, 3, 2, 3, 3, 3, 2, 2, 5, 1]",13,1.755
JOINT_s2,int4,mtbench,106,"[6, 5, 4, 4, 1, 3, 5, 6, 2, 1, 4, 3, 2, 6, 3, 3, 2, 2, 4, 3, 1, 2, 4, 2, 2, 3, 2, 4, 4, 4, 2, 3, 2, 4, 4, 4, 3, 2, 2, 3, 3]",41,5.238
JOINT_s2,int4,mtbench,107,"[3, 3, 5, 4, 2, 4, 4, 3, 6, 2, 4, 4, 5, 2, 4, 4, 4, 4, 4, 3]",20,2.651
JOINT_s2,int4,mtbench,108,"[6, 5, 3, 3, 3, 2, 5, 3, 2, 3, 3, 3, 4, 3, 6, 3, 3, 2, 1, 4, 2, 3, 3, 1, 1, 4, 3, 2, 4, 6, 5]",31,4.061
JOINT_s2,int4,mtbench,109,"[2, 6, 4, 3, 2, 3, 3, 4, 4, 6, 4, 6, 5, 1, 4, 6, 2, 1, 1, 2, 1, 3, 2, 4, 2, 1, 6, 3, 3, 3, 2, 5, 1, 1, 2, 4, 6, 3, 4, 6]",40,5.293
JOINT_s2,int4,mtbench,110,"[6, 5, 4, 2, 4, 3, 3, 2, 1, 2, 4, 2, 1]",13,1.772
JOINT_s2,int4,mtbench,111,"[4, 3, 5, 3, 5, 5, 3, 4, 2, 1, 1, 1, 2, 3, 2, 3, 2, 3, 3, 1, 1, 4, 4, 3, 4, 1, 6, 5, 3, 6, 2, 5, 1, 4, 6, 3, 6, 4, 2, 6]",40,5.234
JOINT_s2,int4,mtbench,112,"[4, 6, 4, 3, 6, 6, 3, 2, 3, 4, 4, 6, 6, 4, 6, 4, 4, 4, 3, 4, 4, 6, 4, 3, 4, 3, 6, 3, 4, 6]",30,3.988
JOINT_s2,int4,mtbench,113,"[3, 4, 6, 2, 3, 4, 2, 6, 2, 3, 2, 4, 4, 3, 6, 6, 2, 4, 4, 2, 6, 2, 3, 4, 2, 6, 2, 4, 3, 3, 4, 4, 4, 6, 4]",35,4.588
JOINT_s2,int4,mtbench,114,"[2, 4, 6, 2, 3, 2, 4, 5, 2, 4, 2, 2, 4, 3, 5, 2, 3, 1, 4, 2, 2, 2, 2, 4, 3, 2, 2, 3, 4, 2, 6, 6, 6, 3, 3, 3, 4, 6, 5]",39,5.518
JOINT_s2,int4,mtbench,115,"[4, 3, 5, 3, 3, 2, 2, 4, 2, 3, 4, 3, 4, 1, 3, 1, 1, 4, 4, 1, 3, 3, 1, 2, 2, 3, 4, 5, 2, 1, 6, 1, 4, 4, 3, 1, 6, 4, 3, 2, 2, 4, 6]",43,5.842
