tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
SR6_s0,int4,mtbench,81,"[3, 3, 2, 2, 2, 2, 3, 2, 4, 5, 6, 3, 5, 2, 2, 1, 2, 2, 3, 1, 2, 3, 4, 2, 4, 2, 4, 3, 4, 5, 4, 6, 2, 3, 3, 4, 3, 1, 2, 4, 2, 4, 2]",43,7.565
SR6_s0,int4,mtbench,82,"[4, 4, 2, 5, 6, 4, 5, 2, 4, 4, 2, 5, 5, 4, 3, 1, 3, 3, 2, 3, 2, 2, 3, 4, 6, 3, 4, 2, 5, 1, 3, 3, 4, 5, 3, 2, 4, 1]",38,7.198
SR6_s0,int4,mtbench,83,"[4, 5, 5, 6, 1, 1, 4, 3, 4, 2, 4, 4, 4, 3, 2, 6, 6, 2, 5, 1, 1, 3, 2, 1, 3, 1, 1, 2, 2, 4, 2, 2, 2, 3, 3, 5, 3, 1, 1, 2, 1, 4, 1, 4, 4]",45,8.985
SR6_s0,int4,mtbench,84,"[4, 2, 3, 3, 2, 5, 2, 4, 5, 3, 5, 4, 4, 3, 4, 4, 4, 2, 4, 2, 2, 2, 2, 2, 4, 4, 5, 1, 3, 4, 4, 2, 2, 4, 6, 2, 3, 4, 1, 3]",40,5.935
SR6_s0,int4,mtbench,85,"[1, 5, 4, 4, 4, 1, 3, 3, 2, 3, 4, 2, 2, 1, 4, 4, 4, 2, 2, 2, 2, 2, 2, 2, 5, 1, 1, 1, 3, 2, 1, 1, 4, 4, 2, 4, 3, 3, 1, 2, 1, 2, 4, 2, 3, 3, 1, 3, 2, 2, 2]",51,8.418
SR6_s0,int4,mtbench,86,"[1, 3, 5, 6, 1, 4, 3, 2, 2, 3, 1, 2, 3, 2, 1, 2, 3, 4, 1, 2, 2, 2, 2, 1, 4, 1, 2, 2, 1, 3, 1, 3, 3, 3, 1, 4, 1, 4, 2, 1, 2, 1, 3, 2, 3, 2, 1, 1, 2, 4, 2, 1, 3, 1, 3, 3]",56,8.0
SR6_s0,int4,mtbench,87,"[3, 4, 5, 6, 4, 2, 3, 3, 4, 4, 2, 2, 1, 1, 2, 1, 1, 4, 3, 4, 2, 3, 2, 1, 1, 1, 1, 2, 2, 3, 3, 4, 2, 3, 4, 4, 4, 2, 2, 2, 2, 3, 2, 2, 2, 2, 3, 4, 3]",49,7.229
SR6_s0,int4,mtbench,88,"[1, 3, 2, 3, 2, 1, 1, 3, 4, 2, 2, 4, 1, 3, 3, 2, 2, 2, 3, 4, 3, 4, 2, 6, 2, 3, 2, 2, 2, 5, 2, 2, 2, 3, 2, 1, 2, 1, 1, 2, 1, 1, 2, 2, 3, 4, 2, 3, 1, 2, 1, 4, 3, 4]",54,7.71
SR6_s0,int4,mtbench,89,"[3, 3, 6, 4, 4, 6, 3, 2, 2, 2, 4, 2, 4, 6, 6, 5, 4, 1, 2, 4, 3, 1, 2, 3, 4, 6, 1, 2, 3, 1, 4, 4, 3, 2, 4, 3, 2, 4, 4]",39,5.444
SR6_s0,int4,mtbench,90,"[1, 4, 3, 4, 2, 4, 4, 2, 3, 2, 3, 4, 4, 1, 1, 2, 4, 4, 2, 4, 4, 4, 3, 3, 4, 3, 3, 3, 2, 3, 2, 3, 2, 1, 2, 4, 4, 1, 2, 1, 6, 3, 5, 2]",44,6.817
