tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
SR6_s0,int4,sharegpt,sharegpt_0,"[4, 4, 4, 6, 4, 4, 3, 4, 5, 6, 3, 2, 2, 3, 4, 3, 2, 4, 5, 5, 2, 5, 2, 3, 6, 4, 1, 2, 2, 3, 2, 3, 2, 6, 2, 3, 4]",37,6.449
SR6_s0,int4,sharegpt,sharegpt_1,"[3, 3, 6, 4, 2, 4, 5, 6, 2, 2, 3, 2, 3, 3, 3, 1, 2, 1, 4, 4, 1, 4, 5, 2, 4, 3, 3, 4, 3, 3, 3, 1, 2, 2, 1, 3, 2, 4, 3, 3, 4, 4, 6]",43,6.173
SR6_s0,int4,sharegpt,sharegpt_2,"[1, 3, 2, 4, 2, 4, 2, 4, 6, 5, 4, 4, 3, 4, 2, 1, 2, 4, 4, 4, 3, 3, 3, 2, 2, 4, 6, 3, 3, 4, 3, 4, 1, 3, 2, 3, 2, 1, 4, 4, 4]",41,5.811
SR6_s0,int4,sharegpt,sharegpt_4,"[4, 4, 5, 6, 2, 4, 2, 3, 2, 3, 2, 1, 1, 4, 2, 6, 3, 3, 2, 2, 2, 3, 4, 5, 1, 2, 4, 4, 4, 1, 5, 1, 3, 4, 5, 4, 3, 4, 5, 4]",40,5.659
SR6_s0,int4,sharegpt,sharegpt_5,"[1, 4, 2, 3, 2, 3, 3, 3, 4, 3, 4, 4, 5, 6, 3, 1, 4, 3, 2, 4, 4, 3, 2, 4, 4, 2, 4, 3, 2, 3, 1, 2, 2, 1, 4, 3, 2, 4, 4, 2, 3, 2, 2, 2]",44,6.901
SR6_s0,int4,sharegpt,sharegpt_6,"[2, 5, 4, 6, 2, 2, 4, 3, 5, 6, 2, 4, 2, 4, 4, 4, 5, 3, 2, 3, 1, 4, 4, 1, 1, 3, 1, 2, 4, 2, 4, 5, 2, 4, 6, 5, 4, 2, 1]",39,5.58
SR6_s0,int4,sharegpt,sharegpt_8,"[3, 3, 4, 5, 1, 2, 1, 3, 4, 4, 4, 1, 4, 1, 4, 3, 4, 3, 2, 1, 1, 5, 2, 5, 3, 2, 2, 3, 2, 2, 2, 1, 4, 5, 2, 4, 1, 3, 5, 3, 4, 3, 1, 6]",44,9.367
SR6_s0,int4,sharegpt,sharegpt_9,"[3, 3, 5, 3, 2, 5, 2, 6, 2, 3, 4, 2, 1, 3, 4, 2, 2, 4, 1, 4, 5, 2, 1, 5, 4, 1, 4, 4, 3, 1, 2, 2, 3, 3, 4, 4, 4, 5, 3, 4, 2, 3]",42,8.708
SR6_s0,int4,sharegpt,sharegpt_10,"[2, 2, 4, 2, 2, 3, 2, 1, 2, 4, 6, 2, 3, 6, 4, 2, 4, 3, 2, 3, 2, 4, 3, 1, 2, 2, 4, 3, 3, 4, 5, 5, 2, 1, 3, 2, 6, 4, 4, 2, 2, 3, 2]",43,6.163
SR6_s0,int4,sharegpt,sharegpt_13,"[1, 3, 2, 2, 3, 3, 4, 2, 2, 5, 2, 2, 2, 2, 2, 3, 5, 4, 3, 3, 2, 2, 3, 3, 2, 4, 3, 4, 4, 4, 4, 4, 5, 4, 4, 1, 1, 3, 3, 3, 2, 3, 2, 2, 4]",45,6.442
