tag,target,dataset,prompt_id,acceptance_list,n_cycles,gen_seconds
SR6_s2,int4,gsm8k,gsm8k_test_0,"[2, 3, 4, 4, 4, 1, 2, 5, 5, 2, 4, 4, 3, 2, 2, 4, 2, 6, 3, 4, 4, 4, 2, 6, 3, 2, 6, 2, 5, 4, 3, 2, 6, 2, 2, 6, 2, 2]",38,6.229
SR6_s2,int4,gsm8k,gsm8k_test_1,"[1, 2, 3, 5, 2, 1, 3, 2, 2, 4, 4, 4, 4, 3, 5, 2, 3, 3, 3, 2, 5, 2, 3, 2, 2, 5, 6, 2, 2, 4, 4, 4, 4, 4, 3, 2, 2, 3, 6, 2, 2, 4]",42,5.367
SR6_s2,int4,gsm8k,gsm8k_test_2,"[1, 2, 3, 4, 2, 2, 3, 2, 2, 4, 3, 4, 3, 6, 4, 2, 5, 3, 6, 2, 2, 2, 2, 2, 3, 6, 4, 6, 5, 5, 6, 4, 6, 5, 3, 6]",36,4.699
SR6_s2,int4,gsm8k,gsm8k_test_3,"[1, 1, 4, 5, 3, 3, 4, 4, 4, 2, 6, 4, 5, 3, 4, 2, 3, 4, 4, 5, 2, 5, 4, 5, 5, 6, 1, 2, 6, 4, 2, 6, 2, 3, 4]",35,4.625
SR6_s2,int4,gsm8k,gsm8k_test_4,"[2, 4, 4, 3, 3, 3, 2, 5, 4, 5, 2, 6, 4, 3, 2, 3, 3, 6, 3, 4, 3, 4, 4, 4, 5, 2, 4, 6, 4, 6, 6, 6, 1, 4]",34,4.457
SR6_s2,int4,gsm8k,gsm8k_test_5,"[5, 6, 4, 2, 4, 4, 6, 2, 3, 4, 2, 3, 3, 4, 2, 6, 6, 5, 2, 4, 3, 4, 2, 2, 6, 6, 6, 3, 6, 3, 5, 4, 2]",33,4.329
SR6_s2,int4,gsm8k,gsm8k_test_6,"[2, 3, 4, 3, 3, 2, 2, 2, 4, 4, 6, 2, 6, 4, 3, 4, 5, 3, 5, 4, 3, 5, 2, 3, 2, 4, 6, 5, 4, 6, 4, 4, 4, 2, 5]",35,4.562
SR6_s2,int4,gsm8k,gsm8k_test_7,"[3, 1, 3, 2, 6, 6, 3, 1, 3, 5, 1, 2, 4, 3, 4, 5, 2, 5, 5, 1, 3, 6, 4, 4, 4, 2, 4, 3, 5, 2, 5, 6, 3, 6, 4, 3]",36,4.694
SR6_s2,int4,gsm8k,gsm8k_test_8,"[1, 2, 2, 4, 2, 4, 3, 2, 3, 4, 4, 2, 5, 5, 2, 3, 3, 6, 1, 2, 2, 3, 6, 5, 3, 4, 4, 5, 4, 1, 6, 4, 3, 3, 3, 4, 4, 2, 6]",39,5.193
SR6_s2,int4,gsm8k,gsm8k_test_9,"[5, 5, 6, 4, 3, 6, 6, 5, 4, 4, 4, 2, 6, 5, 3, 2, 4, 2, 4, 5, 2, 6, 5, 4, 5, 5, 6, 5, 2, 2, 6]",31,4.031
SR6_s2,int4,gsm8k,gsm8k_test_10,"[5, 6, 3, 4, 4, 6, 3, 4, 4, 3, 4, 1, 1, 5, 3, 4, 5, 5, 4, 4, 1, 1, 4, 6, 4, 4, 3, 4, 6, 3, 2, 5, 3, 4]",34,4.427
SR6_s2,int4,gsm8k,gsm8k_test_11,"[1, 1, 4, 5, 4, 2, 4, 3, 6, 2, 4, 3, 3, 4, 2, 3, 4, 2, 3, 2, 2, 4, 6, 2, 4, 5, 1, 6, 3, 5, 4, 6, 4, 2, 6, 2, 2, 6]",38,4.828
SR6_s2,int4,gsm8k,gsm8k_test_12,"[3, 3, 2, 4, 3, 2, 4, 4, 4, 3, 3, 4, 4, 3, 1, 2, 4, 2, 2, 4, 4, 4, 4, 4, 3, 3, 3, 4, 4, 4, 3, 4, 4, 3, 2, 4, 2, 4, 5]",39,4.956
SR6_s2,int4,gsm8k,gsm8k_test_13,"[4, 6, 4, 2, 4, 4, 4, 3, 4, 1, 3, 6, 3, 2, 2, 6, 6, 3, 4, 4, 3, 3, 4, 3, 2, 3, 4, 2, 5, 4, 4, 2, 2, 2, 5, 6]",36,4.641
SR6_s2,int4,gsm8k,gsm8k_test_14,"[1, 1, 3, 4, 3, 2, 3, 3, 4, 4, 4, 3, 4, 3, 6, 4, 4, 2, 5, 2, 4, 6, 5, 5, 3, 6, 2, 6, 4, 4, 3, 5, 3, 4, 4]",35,4.477
SR6_s2,int4,gsm8k,gsm8k_test_15,"[5, 5, 3, 2, 3, 4, 5, 4, 4, 6, 6, 4, 5, 6, 5, 6, 6, 3, 5, 4, 6, 6, 4, 2, 2, 1, 3, 4, 4, 4, 6]",31,4.03
SR6_s2,int4,gsm8k,gsm8k_test_16,"[1, 1, 3, 5, 4, 4, 4, 3, 4, 2, 6, 2, 3, 4, 3, 2, 3, 4, 3, 3, 4, 3, 3, 4, 4, 4, 3, 3, 3, 5, 1, 4, 6, 3, 4, 2, 2, 2, 2, 5]",40,5.093
