dataset,condition,layer,kind,nmse,max_abs_err,n_elems
sharegpt,QOFF,0,kctx,0.393956789648595,9.350442886352539,7805952
sharegpt,QOFF,0,vctx,0.6928000108020841,32.037742614746094,7805952
sharegpt,QOFF,0,kdr,0.009807059153565731,1.3785358667373657,788480
sharegpt,QOFF,0,vdr,0.04276221041723214,3.672708034515381,788480
sharegpt,QOFF,1,kctx,0.3024501306654592,12.34393310546875,7805952
sharegpt,QOFF,1,vctx,0.7310437595991852,33.942813873291016,7805952
sharegpt,QOFF,1,kdr,0.04990891962191909,10.190296173095703,788480
sharegpt,QOFF,1,vdr,0.737480068685083,30.044681549072266,788480
sharegpt,QOFF,2,kctx,0.42847377150328664,10.601194381713867,7805952
sharegpt,QOFF,2,vctx,0.6438107192062525,45.12757110595703,7805952
sharegpt,QOFF,2,kdr,0.310587473230705,7.393661022186279,788480
sharegpt,QOFF,2,vdr,0.9337191279098885,57.322044372558594,788480
sharegpt,QOFF,3,kctx,0.3503826687696153,10.272197723388672,7805952
sharegpt,QOFF,3,vctx,0.6371486758272275,48.54789733886719,7805952
sharegpt,QOFF,3,kdr,0.26919162844490335,7.870821952819824,788480
sharegpt,QOFF,3,vdr,1.0062955207683162,77.91647338867188,788480
sharegpt,QOFF,4,kctx,0.3465171844762698,10.368707656860352,7805952
sharegpt,QOFF,4,vctx,0.8091710505989707,50.288665771484375,7805952
sharegpt,QOFF,4,kdr,0.3585178379551946,8.272821426391602,788480
sharegpt,QOFF,4,vdr,1.2011194624576336,70.48802947998047,788480
sharegpt,QON,0,kctx,0.19431243076524127,8.327295303344727,7805952
sharegpt,QON,0,vctx,0.44071308773136786,33.91016387939453,7805952
sharegpt,QON,0,kdr,0.009807059153565731,1.3785358667373657,788480
sharegpt,QON,0,vdr,0.04276221041723214,3.672708034515381,788480
sharegpt,QON,1,kctx,0.16539439605062015,10.188282012939453,7805952
sharegpt,QON,1,vctx,0.5534908574943727,38.85810852050781,7805952
sharegpt,QON,1,kdr,0.02405762357406156,3.242511034011841,788480
sharegpt,QON,1,vdr,0.36833301061248547,19.71674346923828,788480
sharegpt,QON,2,kctx,0.2690955153399616,8.686716079711914,7805952
sharegpt,QON,2,vctx,0.4462017572896558,46.012962341308594,7805952
sharegpt,QON,2,kdr,0.16297000090145514,6.592993259429932,788480
sharegpt,QON,2,vdr,0.5230893118305462,45.435768127441406,788480
sharegpt,QON,3,kctx,0.21910125895159127,10.204580307006836,7805952
sharegpt,QON,3,vctx,0.39508423464541587,48.44343566894531,7805952
sharegpt,QON,3,kdr,0.13691839827703065,6.208420276641846,788480
sharegpt,QON,3,vdr,0.5860347576220682,66.1139144897461,788480
sharegpt,QON,4,kctx,0.2185439518343912,12.000988960266113,7805952
sharegpt,QON,4,vctx,0.5788588097058807,52.543968200683594,7805952
sharegpt,QON,4,kdr,0.1935823644774718,7.548380374908447,788480
sharegpt,QON,4,vdr,0.7693890147600463,65.56004333496094,788480
