figure_stage,tensor,condition,dataset,prompt_id,turn,cycle_id,token_position,layer_id
A,gsm8k__Hconcat_after_R1,FP,gsm8k,0,0,0,0,-1
A,gsm8k__Hconcat_after_R1,FP,gsm8k,0,0,0,16,-1
A,gsm8k__Hconcat_after_R1,FP,gsm8k,0,0,0,32,-1
A,gsm8k__Hconcat_after_R1,FP,gsm8k,0,0,0,48,-1
A,gsm8k__Hconcat_after_R1,FP,gsm8k,0,0,0,65,-1
A,gsm8k__Hconcat_after_R1,FP,gsm8k,0,0,0,81,-1
A,gsm8k__Hconcat_after_R1,FP,gsm8k,0,0,0,97,-1
A,gsm8k__Hconcat_after_R1,FP,gsm8k,0,0,0,114,-1
A,gsm8k__Hconcat_before_R1,FP,gsm8k,0,0,0,0,-1
A,gsm8k__Hconcat_before_R1,FP,gsm8k,0,0,0,16,-1
A,gsm8k__Hconcat_before_R1,FP,gsm8k,0,0,0,32,-1
A,gsm8k__Hconcat_before_R1,FP,gsm8k,0,0,0,48,-1
A,gsm8k__Hconcat_before_R1,FP,gsm8k,0,0,0,65,-1
A,gsm8k__Hconcat_before_R1,FP,gsm8k,0,0,0,81,-1
A,gsm8k__Hconcat_before_R1,FP,gsm8k,0,0,0,97,-1
A,gsm8k__Hconcat_before_R1,FP,gsm8k,0,0,0,114,-1
D,gsm8k__L0_kctx_cache_FP,FP,gsm8k,0,0,0,0,0
D,gsm8k__L0_kctx_cache_FP,FP,gsm8k,0,0,0,16,0
D,gsm8k__L0_kctx_cache_FP,FP,gsm8k,0,0,0,32,0
D,gsm8k__L0_kctx_cache_FP,FP,gsm8k,0,0,0,48,0
D,gsm8k__L0_kctx_cache_FP,FP,gsm8k,0,0,0,65,0
D,gsm8k__L0_kctx_cache_FP,FP,gsm8k,0,0,0,81,0
D,gsm8k__L0_kctx_cache_FP,FP,gsm8k,0,0,0,97,0
D,gsm8k__L0_kctx_cache_FP,FP,gsm8k,0,0,0,114,0
D,gsm8k__L0_vctx_cache_FP,FP,gsm8k,0,0,0,0,0
D,gsm8k__L0_vctx_cache_FP,FP,gsm8k,0,0,0,16,0
D,gsm8k__L0_vctx_cache_FP,FP,gsm8k,0,0,0,32,0
D,gsm8k__L0_vctx_cache_FP,FP,gsm8k,0,0,0,48,0
D,gsm8k__L0_vctx_cache_FP,FP,gsm8k,0,0,0,65,0
D,gsm8k__L0_vctx_cache_FP,FP,gsm8k,0,0,0,81,0
D,gsm8k__L0_vctx_cache_FP,FP,gsm8k,0,0,0,97,0
D,gsm8k__L0_vctx_cache_FP,FP,gsm8k,0,0,0,114,0
D,gsm8k__L0_kdr_cache_FP,FP,gsm8k,0,0,0,0,0
D,gsm8k__L0_kdr_cache_FP,FP,gsm8k,0,0,0,1,0
D,gsm8k__L0_kdr_cache_FP,FP,gsm8k,0,0,0,2,0
D,gsm8k__L0_kdr_cache_FP,FP,gsm8k,0,0,0,3,0
D,gsm8k__L0_kdr_cache_FP,FP,gsm8k,0,0,0,5,0
D,gsm8k__L0_kdr_cache_FP,FP,gsm8k,0,0,0,6,0
D,gsm8k__L0_kdr_cache_FP,FP,gsm8k,0,0,0,7,0
D,gsm8k__L0_kdr_cache_FP,FP,gsm8k,0,0,0,9,0
D,gsm8k__L0_vdr_cache_FP,FP,gsm8k,0,0,0,0,0
D,gsm8k__L0_vdr_cache_FP,FP,gsm8k,0,0,0,1,0
D,gsm8k__L0_vdr_cache_FP,FP,gsm8k,0,0,0,2,0
D,gsm8k__L0_vdr_cache_FP,FP,gsm8k,0,0,0,3,0
D,gsm8k__L0_vdr_cache_FP,FP,gsm8k,0,0,0,5,0
D,gsm8k__L0_vdr_cache_FP,FP,gsm8k,0,0,0,6,0
D,gsm8k__L0_vdr_cache_FP,FP,gsm8k,0,0,0,7,0
D,gsm8k__L0_vdr_cache_FP,FP,gsm8k,0,0,0,9,0
D,gsm8k__L1_kctx_cache_FP,FP,gsm8k,0,0,0,0,1
D,gsm8k__L1_kctx_cache_FP,FP,gsm8k,0,0,0,16,1
D,gsm8k__L1_kctx_cache_FP,FP,gsm8k,0,0,0,32,1
D,gsm8k__L1_kctx_cache_FP,FP,gsm8k,0,0,0,48,1
D,gsm8k__L1_kctx_cache_FP,FP,gsm8k,0,0,0,65,1
D,gsm8k__L1_kctx_cache_FP,FP,gsm8k,0,0,0,81,1
D,gsm8k__L1_kctx_cache_FP,FP,gsm8k,0,0,0,97,1
D,gsm8k__L1_kctx_cache_FP,FP,gsm8k,0,0,0,114,1
D,gsm8k__L1_vctx_cache_FP,FP,gsm8k,0,0,0,0,1
D,gsm8k__L1_vctx_cache_FP,FP,gsm8k,0,0,0,16,1
D,gsm8k__L1_vctx_cache_FP,FP,gsm8k,0,0,0,32,1
D,gsm8k__L1_vctx_cache_FP,FP,gsm8k,0,0,0,48,1
D,gsm8k__L1_vctx_cache_FP,FP,gsm8k,0,0,0,65,1
D,gsm8k__L1_vctx_cache_FP,FP,gsm8k,0,0,0,81,1
D,gsm8k__L1_vctx_cache_FP,FP,gsm8k,0,0,0,97,1
D,gsm8k__L1_vctx_cache_FP,FP,gsm8k,0,0,0,114,1
D,gsm8k__L1_kdr_cache_FP,FP,gsm8k,0,0,0,0,1
D,gsm8k__L1_kdr_cache_FP,FP,gsm8k,0,0,0,1,1
D,gsm8k__L1_kdr_cache_FP,FP,gsm8k,0,0,0,2,1
D,gsm8k__L1_kdr_cache_FP,FP,gsm8k,0,0,0,3,1
D,gsm8k__L1_kdr_cache_FP,FP,gsm8k,0,0,0,5,1
