config,dataset,tensor,absmax_max_over_min,kurtosis_max,kurtosis_min,rms_max_over_min
R0,gsm8k,A_src_1..29,1.0062111801242235,227494.8240006941,60399.487624090405,1.4029858670457525
R0,mtbench,A_src_1..29,1.0062111801242235,369352.6402916137,50691.316498799206,1.654940169670851
R0q,gsm8k,A_src_1..29,1.0,394836.71836005425,8079.534233247793,2.648586364862162
R0q,mtbench,A_src_1..29,1.0,632960.4887680509,5186.1463227943295,3.33592853803711
R1,gsm8k,A_src_1..29,1.0205128205128204,458.2310699815683,83.5426398906106,1.5507237181863915
R1,mtbench,A_src_1..29,1.0256410256410255,743.7160229467418,68.41407933460239,1.8444231273034442
R1f,gsm8k,A_src_1..29,1.0,456.11401728522867,122.47631350035968,1.3992974415099402
R1f,mtbench,A_src_1..29,1.0,740.5514968613764,103.66615712353898,1.6492665346039501
R2,gsm8k,A_src_1..29,1.0205128205128204,458.2310699815683,83.5426398906106,1.5507237181863915
R2,mtbench,A_src_1..29,1.0256410256410255,743.7160229467418,68.41407933460239,1.8444231273034442
R3,gsm8k,A_src_1..29,1.0205128205128204,458.2310699815683,83.5426398906106,1.5507237181863915
R3,mtbench,A_src_1..29,1.0256410256410255,743.7160229467418,68.41407933460239,1.8444231273034442
R4,gsm8k,A_src_1..29,1.0205128205128204,458.2310699815683,83.5426398906106,1.5507237181863915
R4,mtbench,A_src_1..29,1.0256410256410255,743.7160229467418,68.41407933460239,1.8444231273034442
