config,dataset,tensor,abs_p50,abs_p75,abs_p90,abs_p95,abs_p99,abs_p99_5,abs_p99_9,abs_p99_99,absmax,absmax_over_rms,channel.absmax_top1,channel.absmax_top10_ids,channel.energy_gini,channel.rms_mean,channel.top0.1pct_energy,channel.top0.5pct_energy,channel.top1pct_energy,channel.top5pct_energy,count_rows,dim,excess_kurtosis,kurtosis,max,mean,mean_abs,median_abs,min,p99_9_over_rms,p99_over_rms,rms,row.absmax.max,row.absmax.mean,row.absmax.median,row.absmax.p90,row.absmax.p95,row.absmax.p99,row.kurt.max,row.kurt.mean,row.kurt.median,row.kurt.p90,row.kurt.p95,row.kurt.p99,row.max.max,row.max.mean,row.max.median,row.max.p90,row.max.p95,row.max.p99,row.min.max,row.min.mean,row.min.median,row.min.p90,row.min.p95,row.min.p99,row.range.max,row.range.mean,row.range.median,row.range.p90,row.range.p95,row.range.p99,row.rms.max,row.rms.mean,row.rms.median,row.rms.p90,row.rms.p95,row.rms.p99,skewness,std
R0,gsm8k,A_src1,0.01129150390625,0.0205078125,0.032470703125,0.042724609375,0.09228515625,0.12793457031250455,0.251953125,1.9375015624991647,322.0,510.1026163709653,322.0,788.0;1384.0;4062.0;290.0;2352.0;4055.0;2629.0;133.0;2265.0;2992.0,0.998355390251131,0.04532376068771542,0.9887005566306786,0.9965106431741267,0.9978464117117143,0.998918155880971,20490,4096,227491.8240006941,227494.8240006941,322.0,-0.0003930170990317893,0.017749781694574033,0.01129150390625,-294.0,0.39913648529608964,0.14619534054449795,0.6312455370074593,322.0,2.1567244597212056,0.27734375,0.3671875,0.396484375,0.50390625,1335.7506726655727,36.772640500591265,17.255750540862003,73.84859878878699,97.49267777464607,157.0664912164266,322.0,2.1544368775545997,0.27734375,0.3671875,0.396484375,0.50390625,-0.095703125,-1.9055509642661055,-0.1875,-0.140625,-0.130859375,-0.11669921875,616.0,4.059987841820705,0.462890625,0.5888671875,0.62890625,0.8046875,8.262438110402302,0.07037735449151872,0.022487581602908834,0.02616452248731305,0.02714835069115134,0.030714605369188692,-95.94441374772576,0.6312454146600953
R0,gsm8k,A_src8,0.05126953125,0.0888671875,0.1328125,0.1640625,0.26953125,0.353515625,0.65625,2.7500031249983294,322.0,505.11242318346274,322.0,788.0;1384.0;4062.0;290.0;2352.0;4055.0;2629.0;133.0;709.0;2992.0,0.9861851110665171,0.10269913439154929,0.9699032704453109,0.9807036200476478,0.9831074142463504,0.9861062384096541,20490,4096,218722.60291859636,218725.60291859636,322.0,-0.0001596402117417425,0.0665700813833384,0.05126953125,-294.0,1.0294410798576008,0.42280615779865743,0.6374818460623088,322.0,3.6419472913616397,1.78125,2.5,2.75,3.407968750000009,1334.341788784279,75.55588204252764,47.39456642164522,157.1422882920963,213.37949125769634,388.7080590080062,322.0,3.641195304874329,1.78125,2.5,2.75,3.407968750000009,-0.34765625,-2.4585071033125914,-0.7265625,-0.55078125,-0.51171875,-0.451171875,616.0,6.09970240818692,2.52734375,3.3359375,3.5859375,4.4617968750000045,8.264626872790917,0.13812295862622523,0.09007892084575049,0.10162418730492882,0.10653721652925292,0.12385290792995177,-93.18610684792877,0.6374818260735062
R0,gsm8k,A_src15,0.08203125,0.142578125,0.2109375,0.26171875,0.439453125,0.59375,1.1015625,4.500006249996659,324.0,495.9273421960088,324.0,788.0;1384.0;4062.0;2352.0;290.0;4055.0;133.0;2629.0;2992.0;2265.0,0.9683437907944499,0.15057444463773573,0.9391517082671168,0.9555715326230116,0.9596604906363365,0.9673564993637759,20490,4096,203543.93698617766,203546.93698617766,324.0,0.0002831991680259178,0.10651749035644648,0.08203125,-296.0,1.6860955644684907,0.6726445071017915,0.6533215098915502,324.0,5.502776125549048,3.6640625,5.09375,5.65625,7.1875,1335.8005195040726,123.46770895604772,90.15242350616573,249.79838179706752,332.5552517856849,612.5988771384227,324.0,5.502214876159102,3.6640625,5.09375,5.65625,7.1875,-0.48828125,-2.9433212466447047,-1.1953125,-0.875,-0.8125,-0.6015625,620.0,8.445536122803807,4.8828125,6.4921875,7.1484375,9.048593750000009,8.316665515369799,0.20103750615270552,0.15526518863140548,0.17027497903022998,0.17472505576368155,0.1925309497209483,-88.65736759736005,0.653321448511532
R0,gsm8k,A_src22,0.154296875,0.26953125,0.40234375,0.50390625,0.8671875,1.1953125,2.40625,9.187506249996659,324.0,458.9634496476953,324.0,788.0;1384.0;4062.0;2352.0;290.0;4055.0;133.0;2629.0;2992.0;2265.0,0.9036100232006781,0.2697181325126811,0.8355881548998724,0.8633563905035864,0.8733015722302568,0.8990550342980234,20490,4096,149319.35647278023,149322.35647278023,324.0,-0.0003150479943771932,0.20224109919380623,0.154296875,-296.0,3.4085827182554533,1.2284177978128419,0.7059385671096586,324.0,9.66795311737433,8.1875,10.6875,11.25,12.75,1337.6013640797003,159.95534065992072,126.61889732085825,321.9304257374933,393.3146154243719,577.3775621364616,324.0,5.671986334797462,3.71875,5.15625,5.84375,7.625,-0.79296875,-9.449069858772573,-8.1875,-4.0625,-2.265625,-1.015625,620.0,15.121056193570034,11.9375,15.5,16.5,19.319375000000036,8.313880333277854,0.3538740224986386,0.3146741640230375,0.3529657286283649,0.36200173187841583,0.3845464365989939,-70.69894975456191,0.7059384968094595
R0,gsm8k,A_src29,0.3125,0.5390625,0.79296875,0.97265625,1.4765625,1.859375,3.421875,24.375012499993318,324.0,365.8418574692206,324.0,788.0;1384.0;4062.0;2352.0;290.0;1658.0;133.0;1951.0;761.0;2219.0,0.754461326781671,0.507939086072725,0.6614018851112078,0.6913585970029991,0.7045087296736606,0.7434473044758972,20490,4096,60396.487624090405,60399.487624090405,324.0,-0.004779277127130735,0.3942585080175073,0.3125,-296.0,3.863781191442868,1.6672480483623335,0.885628567057172,324.0,22.639547873962908,22.0,28.0,29.75,33.5,1578.9576339711787,403.7102802223357,372.91965857119067,755.850852834091,869.5691545809029,1209.3128968156573,324.0,6.148097776354319,4.34375,5.65625,6.09375,7.09375,-1.203125,-22.456170311737434,-22.0,-11.9375,-7.139062500000023,-1.4453125,620.0,28.604268088091754,26.46875,32.875,34.71875,38.90968750000002,8.32692185401322,0.6583273667619598,0.6245490886584888,0.7034229660090268,0.7240697254007976,0.7684137021348423,-39.634097743913706,0.8856156713258194
R0,gsm8k,B_concat,0.07470703125,0.19140625,0.404296875,0.5859375,1.0234375,1.2421875,2.171890625000742,6.750006249996659,324.0,456.89394009019225,324.0,8980.0;13076.0;17172.0;4884.0;788.0;9576.0;17768.0;13672.0;1384.0;16350.0,0.9588609775725913,0.21525091166048133,0.8468027281275566,0.8710065553210746,0.879268323134888,0.9056734392808079,20490,20480,145176.17105766173,145179.17105766173,324.0,-0.0010727566528511085,0.1574673921291345,0.07470703125,-296.0,3.062727361424504,1.4432172586760992,0.7091361289143853,324.0,22.648665888848218,22.0,28.0,29.75,33.5,4477.211765207123,1147.1058427824942,1070.4600979928468,2144.206746044568,2476.258346551611,3206.1389274467097,324.0,6.595547370668619,4.75,6.0,6.46875,7.78125,-1.203125,-22.468746949731575,-22.0,-11.9375,-7.15625,-1.5625,620.0,29.064294320400194,26.90625,33.3125,35.0,39.0,8.296950111766595,0.363925193322953,0.3236103430119893,0.3603061007326389,0.36966028567316905,0.39027661918228945,-70.33151195083745,0.7091353174993072
R0,gsm8k,C_Zt_fp,2.28125,3.96875,5.96875,7.59375,67.0,121.0,254.0,596.0007999995723,1552.0,80.59491409574277,1552.0,432.0;2017.0;2117.0;2062.0;3960.0;977.0;2910.0;3230.0;4030.0;3447.0,0.7525191318440307,13.771352736500758,0.07287868691973454,0.19829779199174066,0.2800799091710246,0.5161061597255443,42995,4096,726.398316006219,729.398316006219,1552.0,0.03336098706801688,4.462884355963506,2.28125,-1320.0,13.190147023401199,3.4792907502672454,19.256798241093737,1552.0,168.09911617629956,132.0,225.0,249.0,1544.0,570.9793608372908,260.4306552899594,246.13973075731235,411.8242270831143,454.5209100412207,519.8775051913516,1552.0,146.0524595883242,103.5,225.0,249.0,1544.0,-64.5,-155.50465170368648,-130.0,-105.5,-95.5,-85.0,2872.0,301.5571112920107,237.5,389.0,455.0,2856.0,143.66611451023115,7.412993057825804,4.730623865448805,7.249965674392077,7.932045954576315,143.59885270304258,2.253425104492175,19.256769343343464
R0,gsm8k,C_Ht_fp,0.515625,0.91015625,1.3671875,1.671875,2.359375,2.6875781250000728,5.625,21.25,27.125,28.659171049881376,27.125,3573.0;604.0;2361.0;3230.0;1601.0;494.0;707.0;3510.0;2117.0;3331.0,0.35496298029982765,0.8325679808526523,0.21381818652925716,0.25277877972177754,0.26362989161676087,0.3107636946886854,42995,4096,79.18077563805168,82.18077563805168,22.375,-0.001551678717900967,0.6545387687815849,0.515625,-27.125,5.943146070251898,2.4928196016889905,0.9464684080634731,27.125,19.46137923014304,20.375,23.375,24.25,25.625,237.00630561553902,83.6365265740731,78.36643212277463,134.02280357718863,159.59170140774663,201.52565727440455,22.375,14.682723281776951,15.1875,18.25,19.75,21.25,-6.8125,-19.46137923014304,-20.375,-14.0,-12.5,-6.84375,48.5,34.14410251191999,35.5,41.375,44.125,46.375,1.1302465013849516,0.9384411319524663,0.9897179358567866,1.0385795112240608,1.0514203145007537,1.0800722833294112,-0.823409136134387,0.9464671361200881
R0,gsm8k,S4_kctx_lin_l0,6.15625,12.0625,20.125,28.25,59.5,74.5,112.0,171.0,348.0,23.312041952818937,348.0,130.0;135.0;386.0;420.0;932.0;519.0;258.0;559.0;36.0;134.0,0.6252665900329191,12.303063105046952,0.02924051054031404,0.09572718495513274,0.14684100501449818,0.3697321598716958,42995,1024,21.10371814223753,24.10371814223753,192.0,-0.011828981309345897,9.381976724337344,6.15625,-348.0,7.50272614573483,3.9858232649216285,14.927907246577307,348.0,87.07591289684846,58.75,153.0,193.0,324.0,40.62236291048716,7.703061352284805,4.853133627333269,12.15693424384549,22.432688003739596,39.25114731665646,192.0,73.90859111524595,57.25,139.0,155.0,171.0,-29.125,-79.98305616932201,-52.0,-39.75,-37.5,-34.0,518.0,153.89164728456797,105.5,282.0,369.0,495.0,28.737189478148554,13.988792983333889,11.18442225135493,22.51516767276115,25.469260716382248,27.677861570019683,-0.48090118376941543,14.927902559891542
R0,gsm8k,S4_vctx_lin_l0,3.125,5.4375,8.125,10.0,14.125,15.8125,19.75,24.75,37.75,7.590125335766206,37.75,36.0;101.0;46.0;64.0;474.0;103.0;115.0;72.0;33.0;80.0,0.2258011534340365,4.867483298334114,0.006324879135069199,0.02388985634395426,0.03791427280065615,0.11700448886907071,42995,1024,0.7938545764494904,3.7938545764494904,37.0,-0.04219838017126664,3.857960763512865,3.125,-37.75,3.970992725334638,2.8400137845747726,4.973567408974706,37.75,20.382697115943714,19.75,24.75,27.625,33.5,6.9808109921957255,3.6836323125688075,3.607903617616818,4.167926943919223,4.327287988402705,5.997078442139208,37.0,18.703910338411443,18.375,22.625,24.125,27.875,-11.8125,-19.22032358413769,-18.5,-15.3125,-14.8125,-13.8125,64.5,37.924233922549135,37.125,45.125,48.75,56.5,6.880006669769269,4.953159004533765,4.959079890914027,5.523003627901335,5.6929143702129315,6.07942770552367,-0.00989582620098542,4.973388389048887
