config,dataset,tensor,abs_p50,abs_p75,abs_p90,abs_p95,abs_p99,abs_p99_5,abs_p99_9,abs_p99_99,absmax,absmax_over_rms,channel.absmax_top1,channel.absmax_top10_ids,channel.energy_gini,channel.rms_mean,channel.top0.1pct_energy,channel.top0.5pct_energy,channel.top1pct_energy,channel.top5pct_energy,count_rows,dim,excess_kurtosis,kurtosis,max,mean,mean_abs,median_abs,min,p99_9_over_rms,p99_over_rms,rms,row.absmax.max,row.absmax.mean,row.absmax.median,row.absmax.p90,row.absmax.p95,row.absmax.p99,row.kurt.max,row.kurt.mean,row.kurt.median,row.kurt.p90,row.kurt.p95,row.kurt.p99,row.max.max,row.max.mean,row.max.median,row.max.p90,row.max.p95,row.max.p99,row.min.max,row.min.mean,row.min.median,row.min.p90,row.min.p95,row.min.p99,row.range.max,row.range.mean,row.range.median,row.range.p90,row.range.p95,row.range.p99,row.rms.max,row.rms.mean,row.rms.median,row.rms.p90,row.rms.p95,row.rms.p99,skewness,std
R0,gsm8k,S4_kctx_lin_l0,6.15625,12.0625,20.125,28.25,59.5,74.5,112.0,171.0,348.0,23.312041952818937,348.0,130.0;135.0;386.0;420.0;932.0;519.0;258.0;559.0;36.0;134.0,0.6252665900329191,12.303063105046952,0.02924051054031404,0.09572718495513274,0.14684100501449818,0.3697321598716958,42995,1024,21.10371814223753,24.10371814223753,192.0,-0.011828981309345897,9.381976724337344,6.15625,-348.0,7.50272614573483,3.9858232649216285,14.927907246577307,348.0,87.07591289684846,58.75,153.0,193.0,324.0,40.62236291048716,7.703061352284805,4.853133627333269,12.15693424384549,22.432688003739596,39.25114731665646,192.0,73.90859111524595,57.25,139.0,155.0,171.0,-29.125,-79.98305616932201,-52.0,-39.75,-37.5,-34.0,518.0,153.89164728456797,105.5,282.0,369.0,495.0,28.737189478148554,13.988792983333889,11.18442225135493,22.51516767276115,25.469260716382248,27.677861570019683,-0.48090118376941543,14.927902559891542
R0,gsm8k,S4_vctx_lin_l0,3.125,5.4375,8.125,10.0,14.125,15.8125,19.75,24.75,37.75,7.590125335766206,37.75,36.0;101.0;46.0;64.0;474.0;103.0;115.0;72.0;33.0;80.0,0.2258011534340365,4.867483298334114,0.006324879135069199,0.02388985634395426,0.03791427280065615,0.11700448886907071,42995,1024,0.7938545764494904,3.7938545764494904,37.0,-0.04219838017126664,3.857960763512865,3.125,-37.75,3.970992725334638,2.8400137845747726,4.973567408974706,37.75,20.382697115943714,19.75,24.75,27.625,33.5,6.9808109921957255,3.6836323125688075,3.607903617616818,4.167926943919223,4.327287988402705,5.997078442139208,37.0,18.703910338411443,18.375,22.625,24.125,27.875,-11.8125,-19.22032358413769,-18.5,-15.3125,-14.8125,-13.8125,64.5,37.924233922549135,37.125,45.125,48.75,56.5,6.880006669769269,4.953159004533765,4.959079890914027,5.523003627901335,5.6929143702129315,6.07942770552367,-0.00989582620098542,4.973388389048887
R0,gsm8k,S4_kdraft_lin_l0,7.875,15.375,25.0,32.5,53.25,66.5,94.0,113.0,132.0,8.220808421057281,132.0,269.0;964.0;898.0;904.0;909.0;259.0;8.0;263.0;902.0;776.0,0.685404664807024,12.550440767926979,0.03335540452769045,0.11510928266872233,0.17851236184211605,0.4114677316274642,3600,1024,4.356048517451988,7.356048517451988,132.0,-0.29989480314983263,11.317124599979984,7.875,-109.0,5.85421205741958,3.316348851676517,16.05681500397055,132.0,92.31399305555556,95.0,113.0,117.5,123.5,9.775603818246012,6.6541838870839864,6.617632244118367,8.479731487431746,8.744831578695996,9.638258093370176,132.0,91.9004861111111,95.0,113.0,117.5,123.5,-21.875,-79.68788194444444,-77.5,-55.75,-52.25,-33.75,236.5,171.58836805555555,172.0,213.0,217.5,229.0,19.69427455400743,15.890926729273508,16.47194436151964,18.20444792928101,18.924459079751497,19.279352632440894,-0.31017956572029237,16.05401417648488
R0,gsm8k,S4_vdraft_lin_l0,2.0,3.53125,5.25,6.40625,8.875,9.8125,11.875,14.875,20.125,6.342256058063942,20.125,932.0;944.0;916.0;38.0;956.0;58.0;950.0;18.0;993.0;296.0,0.22646764679673237,3.109411151149506,0.003086721227793528,0.013823027690048352,0.0260884493813586,0.10900605057896225,3600,1024,0.5643238885835942,3.564323888583594,19.75,0.03960569213222091,2.469406532210867,2.0,-20.125,3.7423250032054316,2.7968955287114277,3.173161066937973,20.125,12.00185763888889,11.875,14.375,15.0625,17.25,4.276522985214636,3.411296403440495,3.373793786311544,3.797955823805439,3.877544571918552,3.94230978874565,19.75,11.380902777777777,11.1875,13.5,14.875,16.75124999999997,-8.0,-10.975243055555556,-11.3125,-8.0,-8.0,-8.0,35.875,22.356145833333333,22.5625,26.3125,27.5625,31.3125,3.863297320720136,3.143299734282192,3.335846452213318,3.580068485253367,3.6574117382863576,3.7164209416698175,0.004388282086879194,3.1729138888223334
R0,gsm8k,S4_kctx_lin_l1,6.625,12.875,21.25,27.25,39.5,44.5,55.75,70.5,98.5,7.689573253272112,98.5,783.0;23.0;782.0;786.0;85.0;798.0;856.0;90.0;779.0;211.0,0.537927703762005,11.21720629498845,0.011731355393481267,0.04943488088260387,0.08354297358737475,0.26628310173624264,42995,1024,1.8625411155308793,4.862541115530879,98.5,0.3719276024212562,9.304125789876675,6.625,-81.5,4.352220394618479,3.0836359746624207,12.809553502606365,98.5,53.71770263984184,53.5,67.5,73.5,79.5,20.614110394269566,5.0479223933432396,4.038245532888343,8.087790149462775,14.22701242627422,20.09989174474563,98.5,50.53496336783347,50.5,66.0,71.0,79.5,-27.375,-48.391190836143736,-48.25,-35.75,-33.5,-28.5,171.5,98.9261542039772,98.25,122.0,128.0,140.0,21.324652404468214,12.409768598703295,13.45401884856393,15.662270871960382,16.1691905288939,17.319813201981237,0.13753917682912303,12.804152872981959
R0,gsm8k,S4_vctx_lin_l1,3.421875,6.0625,9.0625,11.0625,15.3125,17.0,21.125,28.125037499979953,60.0,10.867413094051154,60.0,870.0;867.0;350.0;836.0;693.0;874.0;858.0;343.0;278.0;333.0,0.16030580757012225,5.460114734879006,0.005791818347389289,0.016396144850849108,0.02704819588460017,0.09636460959898471,42995,1024,0.7037457824750653,3.7037457824750653,52.0,-0.014706304813578685,4.278741752613561,3.421875,-60.0,3.826235026863843,2.773454383377638,5.521093150755826,60.0,20.657788696360043,21.125,27.25,30.25,36.5,10.262490686214582,3.243617840634667,3.177306791624435,3.565202542611633,3.7964368836633637,4.4304027103823085,52.0,19.049292068845215,19.5,24.75,27.0,34.25,-8.0625,-19.167150250029074,-19.75,-10.8125,-9.5625,-8.3125,96.0,38.216442318874286,39.875,49.0,52.0,60.125,7.739257641308689,5.4103704440996365,5.79969911871451,6.422048462328539,6.564727358167599,6.870726374611952,-0.0023976383967334826,5.521073564436687
R0,gsm8k,S4_kdraft_lin_l1,5.15625,12.0,21.625,27.875,40.75,46.0,60.0,77.50004999997327,91.0,7.206312141470473,91.0,783.0;256.0;786.0;23.0;529.0;856.0;85.0;597.0;528.0;848.0,0.7344390955840038,9.331503975678583,0.02198577910126078,0.07858051537641493,0.12852915581853583,0.3924172612180816,3600,1024,2.8662920773128473,5.866292077312847,91.0,0.34810487114203476,8.605619059742118,5.15625,-77.5,4.751414598771741,3.2270024149991405,12.627818253433459,91.0,60.03388888888889,60.0,73.5,77.5,85.0,7.152794406925255,5.244308343233712,5.236979495489164,5.688753027534372,5.910698209678919,6.322919907216357,91.0,60.03388888888889,60.0,73.5,77.5,85.0,-23.375,-43.385416666666664,-42.5,-33.75,-31.625,-28.625,168.5,103.41930555555555,102.75,125.0,134.5,155.5,19.363065814654846,12.499037205450442,12.377389376420012,14.713113990245567,15.677215853026352,17.569926499608872,0.3698312997984615,12.6230193234596
R0,gsm8k,S4_vdraft_lin_l1,2.03125,3.734375,6.0625,8.0625,12.4375,14.25,17.625,23.000012499993318,31.125,8.166269064529395,31.125,273.0;277.0;747.0;262.0;333.0;337.0;358.0;278.0;741.0;375.0,0.46814628367168265,3.4696935484283875,0.0064515856532517705,0.026321687325013374,0.04880356890503026,0.19303029863162333,3600,1024,2.564897990226748,5.564897990226748,31.125,-0.006456140578051822,2.7758474089197502,2.03125,-29.375,4.624272843769657,3.263227999681425,3.811410052014208,31.125,18.756944444444443,18.25,23.125,24.5,26.75124999999997,10.836937027626448,5.406045785518902,5.212293341247282,6.496032169275916,7.346393480441735,8.548078347290202,31.125,17.22206597222222,16.75,21.625,23.75,26.37624999999997,-7.21875,-17.299878472222222,-17.0,-14.0,-13.1875,-11.436875000000015,55.125,34.52194444444444,34.0,40.75,42.5,48.87624999999997,5.220894233468501,3.790523425010748,3.8656368513590973,4.18392797690769,4.304419973338,4.630532993871567,-0.015270991602883597,3.811404583987875
R0,gsm8k,S4_kctx_lin_l2,6.0625,11.875,19.0,24.0,34.5,39.0,48.25,61.5,93.0,8.126982708222503,93.0,414.0;1008.0;30.0;1003.0;787.0;1020.0;943.0;86.0;1000.0;416.0,0.45261526888506975,10.417487717038387,0.008593070826602106,0.03477626150005083,0.06276082501883197,0.20989890039620926,42995,1024,1.6430310988143928,4.643031098814393,93.0,-0.14193807875161144,8.384806300714267,6.0625,-83.5,4.2164184480831794,3.014848424018025,11.443361372715477,93.0,46.476200721014074,48.0,60.75,64.5,73.0,7.3959698513515,4.119152718808045,3.953876431067839,5.105183681236137,5.471402234827075,6.234717447147628,93.0,44.27125973950459,46.25,59.5,63.25,72.0,-19.5,-42.02955866961275,-43.25,-26.0,-23.0,-20.375,157.5,86.30081840911734,90.0,111.75,117.25,131.0,16.718395787722084,11.117838512919395,12.114280698067336,13.667899118898118,14.028692980402727,14.682818274005843,0.03923172104987086,11.442481072230663
R0,gsm8k,S4_vctx_lin_l2,4.5,8.3125,12.75,15.8125,22.125,24.625,30.25,37.0,57.25,7.438664857366822,57.25,450.0;960.0;331.0;397.0;330.0;402.0;349.0;421.0;467.0;800.0,0.17129006442521666,7.607979733625979,0.0022417323284920606,0.01069780351405008,0.02010624853402823,0.08674932898294185,42995,1024,0.9848088366881802,3.98480883668818,57.25,0.07995795830581712,5.83293465105716,4.5,-52.25,3.9304735709230805,2.8747678597247326,7.6962736052428715,57.25,27.528811489708104,29.0,36.75,38.75,44.5,7.998448236489611,3.3195587615318223,3.2359393031771773,3.676171072357278,3.873846156022169,4.23958341687644,57.25,25.79147793348064,27.25,34.5,36.75,42.25,-8.625,-25.72036719385975,-27.0,-12.75,-11.25,-8.75,95.75,51.511845127340386,54.875,68.0,71.25,79.75,11.756478829210453,7.4119629879630144,8.219430745804496,9.318942717841484,9.567954898273992,10.084003759288805,0.012624425805521115,7.695858245294132
