basis,rank,channel,branch,channel_in_branch,act_rms,w_col_norm,contrib
stock,0,788,0,788,24.58855628967285,4.542375087738037,111.69044553365438
stock,1,4062,0,4062,22.292724609375,4.521481037139893,100.79613158747088
stock,2,4884,1,788,24.588956832885742,4.0842061042785645,100.42636759471407
stock,3,1384,0,1384,22.445756912231445,4.392389297485352,98.59050243524325
stock,4,9576,2,1384,22.60127830505371,4.196308135986328,94.84192803518818
stock,5,5480,1,1384,22.44694709777832,3.8064675331115723,85.44357534516621
stock,6,8158,1,4062,22.292875289916992,3.5200343132019043,78.47168596043866
stock,7,12254,2,4062,22.44666862487793,2.886357545852661,64.78911136467059
stock,8,13672,3,1384,22.616180419921875,2.842742681503296,64.29198137229105
stock,9,8980,2,788,24.747539520263672,2.5918917655944824,64.14294390129544
stock,10,17768,4,1384,22.653093338012695,2.5027122497558594,56.69417419190722
stock,11,16350,3,4062,22.456884384155273,2.36836314201355,53.186057259893005
stock,12,13076,3,788,24.791461944580078,1.8220369815826416,45.17096049052361
stock,13,20446,4,4062,22.47686195373535,1.886669397354126,42.40640759666576
stock,14,17172,4,788,24.91570472717285,1.5447533130645752,38.48861742463896
stock,15,18736,4,2352,22.038314819335938,1.309504747390747,28.859277880412264
stock,16,8482,2,290,3.2445666790008545,5.075397968292236,16.467467130589625
stock,17,2352,0,2352,2.6718621253967285,6.159589767456055,16.457574607647075
stock,18,12578,3,290,4.027204513549805,3.8462536334991455,15.489649993085095
stock,19,16674,4,290,4.653833866119385,3.0556223392486572,14.220358724466337
stock,20,14640,3,2352,8.672654151916504,1.5376238822937012,13.335280146860441
stock,21,10544,2,2352,2.9849913120269775,3.257915735244751,9.724850165021564
stock,22,4386,1,290,2.998887300491333,2.9784445762634277,8.932019614973683
stock,23,6448,1,2352,2.8204500675201416,3.104649066925049,8.756507670435099
stock,24,290,0,290,2.884432077407837,2.8745052814483643,8.291315240487904
stock,25,17066,4,682,2.531527042388916,2.8597779273986816,7.239605158436689
stock,26,18603,4,2219,3.41383695602417,2.1155624389648438,7.222185236914811
stock,27,12970,3,682,1.707230567932129,3.845716953277588,6.565525538250313
stock,28,12247,2,4055,3.847028970718384,1.6314890384674072,6.276385596393595
stock,29,16343,3,4055,3.7558631896972656,1.6186033487319946,6.079252736223225
stock,30,10457,2,2265,0.7412264347076416,8.145103454589844,6.037365993970525
stock,31,8325,2,133,0.9244980216026306,6.457046985626221,5.969527163606671
stock,32,16675,4,291,2.1845314502716064,2.6099295616149902,5.701473210341533
stock,33,18042,4,1658,2.8105223178863525,1.9960556030273438,5.609958820050451
stock,34,15554,3,3266,1.4687718152999878,3.6610307693481445,5.377218808964585
stock,35,17805,4,1421,2.2622320652008057,2.376863479614258,5.3770167781881355
stock,36,9381,2,1189,0.8788055777549744,6.065695285797119,5.330566850120562
stock,37,14553,3,2265,0.9859439730644226,5.333111763000488,5.258149400409309
stock,38,12579,3,291,1.5092334747314453,3.4151859283447266,5.1543129254896485
stock,39,13477,3,1189,1.2046005725860596,4.19406795501709,5.05217666007843
stock,40,19650,4,3266,1.5056445598602295,3.285598039627075,4.9469428142519405
stock,41,12421,3,133,1.2577354907989502,3.906254768371582,4.913035258283571
stock,42,18869,4,2485,1.373209834098816,3.538748264312744,4.859443916954376
stock,43,14507,3,2219,1.8150526285171509,2.662019729614258,4.831705907400874
